Total Objects,Sample Time,Time (ms)
1,01:46:39.512344600,830
2,01:46:44.211336700,83
3,01:46:44.486333800,49
4,01:46:44.737333400,47
5,01:46:45.000343400,53
6,01:46:45.277334,55
7,01:46:45.577336400,60
8,01:46:45.863333200,51
9,01:46:46.173338200,45
10,01:46:46.411332500,41
11,01:46:46.651335800,40
12,01:46:46.889344400,54
13,01:46:47.228348100,62
14,01:46:47.570347,64
15,01:46:47.865333600,50
16,01:46:48.145340800,41
17,01:46:48.429333400,46
18,01:46:48.679341900,38
19,01:46:48.911344600,44
20,01:46:49.189334500,45
21,01:46:49.469352800,44
22,01:46:49.766338800,62
23,01:46:50.054345800,61
24,01:46:50.329336900,38
25,01:46:50.575351700,60
26,01:46:50.863344700,45
27,01:46:51.150344300,55
28,01:46:51.439344600,48
29,01:46:51.773351100,113
30,01:46:52.268348,89
31,01:46:52.762342300,78
32,01:46:53.184473400,115
33,01:46:53.783477400,61
34,01:46:54.135467400,55
35,01:46:54.445472200,58
36,01:46:54.768476900,61
37,01:46:55.085465,56
38,01:46:55.393465400,59
39,01:46:55.712466,63
40,01:46:56.110470400,69
41,01:46:56.517469200,53
42,01:46:56.855478200,74
43,01:46:57.320473500,83
44,01:46:57.762477600,56
45,01:46:58.076461200,42
46,01:46:58.348465400,34
47,01:46:58.643469200,42
48,01:46:58.910472500,42
49,01:46:59.226466400,103
50,01:46:59.632479200,121
51,01:47:00.129468200,54
52,01:47:00.440460700,42
53,01:47:00.725503200,37
54,01:47:00.960461,45
55,01:47:01.218465500,34
56,01:47:01.460474100,31
57,01:47:01.678479200,32
58,01:47:01.903487300,34
59,01:47:02.123477100,32
60,01:47:02.348460600,32
61,01:47:02.580460800,31
62,01:47:02.806460400,35
63,01:47:03.050459600,33
64,01:47:03.277460900,31
65,01:47:03.534466500,37
66,01:47:03.769460900,31
67,01:47:03.994471600,32
68,01:47:04.198462100,27
69,01:47:04.375493700,32
70,01:47:04.603495400,32
71,01:47:04.780505100,21
72,01:47:04.940556,20
73,01:47:05.088558200,24
74,01:47:05.265670700,31
75,01:47:05.460655300,27
76,01:47:05.655118400,25
77,01:47:05.845121,29
78,01:47:06.026164300,29
79,01:47:06.209163200,23
80,01:47:06.401290300,26
81,01:47:06.618293800,32
82,01:47:06.807306300,28
83,01:47:06.979299500,29
84,01:47:07.162291300,21
85,01:47:07.327292400,23
86,01:47:07.482290900,33
87,01:47:07.664366400,25
88,01:47:07.873364500,34
89,01:47:08.082374900,34
90,01:47:08.297369100,35
91,01:47:08.496357200,25
92,01:47:08.662417100,20
93,01:47:08.816441100,32
94,01:47:08.989424900,30
95,01:47:09.190477600,26
96,01:47:09.386470300,27
97,01:47:09.588481200,29
98,01:47:09.797479,23
