Total Objects, Sample Time,Memory Usage (MB)
1,14:55:37.437774400,51.55078125
2,14:55:38.480008300,53.66346740722656
3,14:55:38.580030500,56.075401306152344
4,14:55:38.688054800,58.502410888671875
5,14:55:38.793078400,60.59910583496094
6,14:55:38.910260200,63.026573181152344
7,14:55:39.009833800,65.15444946289062
8,14:55:39.129858200,67.55116271972656
9,14:55:39.235620800,69.64793395996094
10,14:55:39.361120200,24.259201049804688
11,14:55:39.470904200,27.160377502441406
12,14:55:39.587930800,29.91162872314453
13,14:55:39.680951500,32.272438049316406
14,14:55:39.798977700,34.98145294189453
15,14:55:39.888998200,36.84764099121094
16,14:55:40.006025,38.98741149902344
17,14:55:40.104047300,41.91162872314453
18,14:55:40.212070900,44.03569030761719
19,14:55:40.303091100,45.911643981933594
20,14:55:40.424118600,48.035728454589844
21,14:55:40.521140700,49.91749572753906
22,14:55:40.621282100,52.84764099121094
23,14:55:40.730306300,54.97377014160156
24,14:55:40.823327400,28.700515747070312
25,14:55:40.934352200,30.797012329101562
26,14:55:41.038375,33.5335693359375
27,14:55:41.172405900,36.19818115234375
28,14:55:41.307436800,38.279090881347656
29,14:55:41.401457200,40.18449401855469
30,14:55:41.510481600,42.26536560058594
31,14:55:41.596501100,45.22492980957031
32,14:55:41.697523800,48.18561553955078
33,14:55:41.800546900,50.266517639160156
34,14:55:41.890007300,52.198150634765625
35,14:55:41.990487500,54.286834716796875
36,14:55:42.076507100,57.226837158203125
37,14:55:42.198534300,59.14207458496094
38,14:55:42.277552400,61.224945068359375
39,14:55:42.372573400,63.14207458496094
40,14:55:42.462593400,65.22496032714844
41,14:55:42.542611500,68.1844711303711
42,14:55:42.652636200,70.26539611816406
43,14:55:42.731654,72.18543243408203
44,14:55:42.827675500,74.2663345336914
45,14:55:42.919696200,77.22493743896484
46,14:55:43.000714300,79.14207458496094
47,14:55:43.107738600,81.2249755859375
48,14:55:43.184755800,83.14207458496094
49,14:55:43.274775400,85.22493743896484
50,14:55:43.376799,87.14207458496094
51,14:55:43.452816,89.2308578491211
52,14:55:43.551838300,35.98638916015625
53,14:55:43.649860200,38.27564239501953
54,14:55:43.743881600,39.732948303222656
55,14:55:43.831901500,42.02214050292969
56,14:55:43.905917800,44.877540588378906
57,14:55:44.006940500,46.58628845214844
58,14:55:44.085958100,48.87754821777344
59,14:55:44.168976900,50.58628845214844
60,14:55:44.264998500,52.885284423828125
61,14:55:44.340015200,55.73283386230469
62,14:55:44.435036900,58.02222442626953
63,14:55:44.527248700,59.732948303222656
64,14:55:44.604266,62.12933349609375
65,14:55:44.714893200,64.87745666503906
66,14:55:44.795911400,66.58628845214844
67,14:55:44.879930100,68.87751770019531
68,14:55:44.973951500,70.58628845214844
69,14:55:45.050968700,72.88353729248047
70,14:55:45.159993200,75.73284149169922
71,14:55:45.234009800,76.87742614746094
72,14:55:45.310026800,79.74655151367188
73,14:55:45.409049300,82.03580474853516
74,14:55:45.489067700,83.73284149169922
75,14:55:45.588089400,86.02205657958984
76,14:55:45.670107700,41.28083038330078
77,14:55:45.778132300,43.44251251220703
78,14:55:45.869152800,46.13713073730469
79,14:55:45.961172900,47.97331237792969
80,14:55:46.066196900,50.202293395996094
81,14:55:46.141213700,53.061973571777344
82,14:55:46.237235200,54.14280700683594
83,14:55:46.323254600,57.05633544921875
84,14:55:46.422276700,59.218017578125
85,14:55:46.521643800,61.06981658935547
86,14:55:46.595659600,63.404869079589844
87,14:55:46.705915,65.05609893798828
88,14:55:46.816733600,67.2178726196289
89,14:55:46.927272900,70.13704681396484
90,14:55:47.004290400,71.97331237792969
91,14:55:47.109314200,74.13794708251953
92,14:55:47.197333900,75.97331237792969
93,14:55:47.296356300,78.1584243774414
94,14:55:47.387376600,81.05609893798828
95,14:55:47.461393100,83.22563171386719
96,14:55:47.570417500,85.05613708496094
97,14:55:47.649435500,87.23365783691406
98,14:55:47.746457200,89.05621337890625
99,14:55:47.836477300,91.21795654296875
100,14:55:47.908493400,46.8074951171875
101,14:55:48.018518200,49.61597442626953
102,14:55:48.091534600,51.64276885986328
103,14:55:48.173553100,53.61597442626953
104,14:55:48.264573600,55.64259338378906
105,14:55:48.338590400,57.61597442626953
106,14:55:48.439613,59.650291442871094
107,14:55:48.513629300,62.669532775878906
108,14:55:48.593647800,64.70972442626953
109,14:55:48.687668700,66.63045501708984
110,14:55:48.760684900,68.662841796875
111,14:55:48.847704400,70.63026428222656
112,14:55:48.933763200,72.66266632080078
113,14:55:49.006779200,75.64252471923828
114,14:55:49.104801400,77.61597442626953
115,14:55:49.178818,79.64290618896484
116,14:55:49.254835300,81.61597442626953
117,14:55:49.349856400,83.65029907226562
118,14:55:49.421872700,85.61597442626953
119,14:55:49.512784,87.6484375
120,14:55:49.596802600,90.63801574707031
121,14:55:49.669819100,92.66312408447266
122,14:55:49.769543600,52.36249542236328
123,14:55:49.863565300,54.245079040527344
124,14:55:49.954585900,56.283233642578125
125,14:55:50.039604700,58.181312561035156
126,14:55:50.109621100,60.283119201660156
127,14:55:50.205642300,63.10686492919922
128,14:55:50.283659800,65.80331420898438
129,14:55:50.380681600,67.34188842773438
130,14:55:50.479703700,70.16969299316406
131,14:55:50.552719900,72.28315734863281
132,14:55:50.645741300,74.1656494140625
133,14:55:50.724758800,76.28311920166016
134,14:55:50.825781600,78.16571807861328
135,14:55:50.929454800,80.28326416015625
136,14:55:51.011472700,83.10709381103516
137,14:55:51.107899400,85.22435760498047
138,14:55:51.178883800,87.10688018798828
139,14:55:51.266903700,89.23809814453125
140,14:55:51.349922,91.13616943359375
141,14:55:51.424939,93.22447204589844
142,14:55:51.541965400,95.1072769165039
143,14:55:51.626984200,97.22437286376953
144,14:55:51.713003900,99.33993530273438
145,14:55:51.799023400,59.04219055175781
146,14:55:51.879041100,61.12054443359375
147,14:55:51.977063,63.00822448730469
148,14:55:52.050079500,65.12057495117188
149,14:55:52.126096900,67.00814056396484
150,14:55:52.218117400,70.08641815185547
151,14:55:52.294134200,71.97181701660156
152,14:55:52.379153500,74.06339263916016
153,14:55:52.462172100,75.94889068603516
154,14:55:52.532188,78.06330871582031
155,14:55:52.625208700,79.9488296508789
156,14:55:52.703226300,82.06362915039062
157,14:55:52.774242200,84.17589569091797
158,14:55:52.874264500,87.01180267333984
159,14:55:52.944280400,89.12055969238281
160,14:55:53.034300700,91.00601959228516
161,14:55:53.123746200,93.12055206298828
162,14:55:53.201763700,95.0059814453125
163,14:55:53.294401,61.11341857910156
164,14:55:53.381610400,63.48070526123047
165,14:55:53.457628500,65.91149139404297
166,14:55:53.549647800,67.48822784423828
167,14:55:53.626665800,69.8899154663086
168,14:55:53.742693800,72.27080535888672
169,14:55:53.834712300,73.88223266601562
170,14:55:53.940736,76.24736022949219
171,14:55:54.035757200,78.99882507324219
172,14:55:54.150783400,81.09375
173,14:55:54.239802900,82.67057800292969
174,14:55:54.337825500,85.09375
175,14:55:54.416843,87.46678161621094
176,14:55:54.487859300,89.09375
177,14:55:54.577879600,91.45907592773438
178,14:55:54.646894900,93.91149139404297
179,14:55:54.732914100,95.4882583618164
180,14:55:54.847940300,97.89775848388672
181,14:55:54.946962200,100.27851867675781
182,14:55:55.043984100,65.95860290527344
183,14:55:55.161010400,68.32694244384766
184,14:55:55.252030900,70.73494720458984
185,14:55:55.329047900,72.3132095336914
186,14:55:55.428070300,74.7352294921875
187,14:55:55.510089400,77.16256713867188
188,14:55:55.597108500,78.74085998535156
189,14:55:55.693130200,81.15670013427734
190,14:55:55.765146,83.53177642822266
191,14:55:55.860773100,85.1568832397461
192,14:55:55.935789900,88.08525085449219
193,14:55:56.017808400,89.94584655761719
194,14:55:56.115830600,92.31409454345703
195,14:55:56.182845400,93.94587707519531
196,14:55:56.262863600,96.31312561035156
197,14:55:56.343881900,98.73484802246094
198,14:55:56.420898900,100.3131103515625
199,14:55:56.512919300,69.99352264404297
200,14:55:56.597938800,72.5612564086914
201,14:55:56.679957100,74.70482635498047
202,14:55:56.768977300,76.5612564086914
203,14:55:56.836992500,78.7046890258789
204,14:55:56.913010,80.5612564086914
205,14:55:57.004030100,82.68925476074219
206,14:55:57.072045200,85.2705307006836
207,14:55:57.157064200,87.39845275878906
208,14:55:57.237082200,89.27079772949219
209,14:55:57.305097500,91.4065170288086
210,14:55:57.399118800,93.271728515625
211,14:55:57.465133600,95.39990997314453
212,14:55:57.557154200,97.98761749267578
213,14:55:57.644174600,99.85003662109375
214,14:55:57.716190500,72.81877899169922
215,14:55:57.834847100,74.92035675048828
216,14:55:57.904862200,76.82241821289062
217,14:55:57.980879400,78.9146728515625
218,14:55:58.072890300,80.8167495727539
219,14:55:58.142905800,82.91451263427734
220,14:55:58.228925400,85.4477310180664
