Total Objects,Sample Time,Time (ms)
1,1701638975819,16
2,1701638976713,6
3,1701638976795,7
4,1701638976882,6
5,1701638976986,5
6,1701638977074,5
7,1701638977162,6
8,1701638977241,6
9,1701638977331,7
10,1701638977417,5
11,1701638977493,7
12,1701638977591,6
13,1701638977683,6
14,1701638977772,5
15,1701638977852,7
16,1701638977932,9
17,1701638978021,6
18,1701638978097,5
19,1701638978167,5
20,1701638978256,6
21,1701638978340,6
22,1701638978421,5
23,1701638978506,6
24,1701638978578,5
25,1701638978656,5
26,1701638978743,5
27,1701638978836,5
28,1701638978924,6
29,1701638979006,5
30,1701638979088,6
31,1701638979165,4
32,1701638979234,15
33,1701638979322,5
34,1701638979395,4
35,1701638979462,4
36,1701638979547,6
37,1701638979628,5
38,1701638979704,6
39,1701638979782,6
40,1701638979850,7
41,1701638979926,6
42,1701638980009,5
43,1701638980081,4
44,1701638980158,4
45,1701638980230,4
46,1701638980298,6
47,1701638980374,4
48,1701638980443,5
49,1701638980512,6
50,1701638980594,6
51,1701638980670,5
52,1701638980739,4
53,1701638980814,5
54,1701638980889,5
55,1701638980959,4
56,1701638981031,5
57,1701638981104,5
58,1701638981170,6
59,1701638981243,5
60,1701638981316,3
61,1701638981380,5
62,1701638981454,6
63,1701638981535,5
64,1701638981607,5
65,1701638981701,4
66,1701638981785,5
67,1701638981865,4
68,1701638981941,4
69,1701638982009,3
70,1701638982087,4
71,1701638982155,4
72,1701638982221,4
73,1701638982292,4
74,1701638982364,4
75,1701638982426,4
76,1701638982494,4
77,1701638982566,5
78,1701638982645,5
79,1701638982722,6
80,1701638982794,3
81,1701638982858,4
82,1701638982928,6
83,1701638983005,4
84,1701638983075,6
85,1701638983153,4
86,1701638983220,6
87,1701638983293,4
88,1701638983375,4
89,1701638983453,5
90,1701638983518,5
91,1701638983589,4
92,1701638983663,6
93,1701638983737,4
94,1701638983823,4
95,1701638983892,4
96,1701638983962,6
97,1701638984035,4
98,1701638984108,5
99,1701638984173,3
100,1701638984239,3
101,1701638984308,5
102,1701638984382,5
103,1701638984454,3
104,1701638984521,4
105,1701638984584,5
106,1701638984653,5
107,1701638984723,5
108,1701638984790,6
109,1701638984856,4
110,1701638984926,5
111,1701638984990,3
112,1701638985056,5
113,1701638985129,3
114,1701638985191,4
115,1701638985251,5
116,1701638985323,4
117,1701638985389,4
118,1701638985449,5
119,1701638985515,5
120,1701638985587,4
121,1701638985650,3
122,1701638985710,4
123,1701638985778,3
124,1701638985852,3
125,1701638985913,5
126,1701638985984,5
127,1701638986051,4
128,1701638986110,7
129,1701638986187,4
130,1701638986260,5
131,1701638986326,3
132,1701638986392,5
133,1701638986462,4
134,1701638986527,4
135,1701638986597,5
136,1701638986668,3
137,1701638986728,5
138,1701638986797,5
139,1701638986867,3
140,1701638986926,3
141,1701638986990,4
142,1701638987071,3
143,1701638987138,4
144,1701638987205,4
145,1701638987272,3
146,1701638987342,5
147,1701638987403,2
148,1701638987469,6
149,1701638987537,3
150,1701638987595,3
151,1701638987661,4
152,1701638987729,3
153,1701638987788,4
154,1701638987851,3
155,1701638987921,5
156,1701638987987,5
157,1701638988052,4
158,1701638988122,3
159,1701638988189,3
160,1701638988255,7
161,1701638988335,3
162,1701638988404,5
163,1701638988468,4
164,1701638988535,5
165,1701638988599,3
166,1701638988657,3
167,1701638988733,3
168,1701638988796,3
169,1701638988855,4
170,1701638988918,5
171,1701638988988,5
172,1701638989054,3
173,1701638989117,2
174,1701638989188,5
175,1701638989252,3
176,1701638989309,4
177,1701638989376,4
178,1701638989446,6
179,1701638989514,5
180,1701638989585,4
181,1701638989652,4
182,1701638989711,3
183,1701638989776,4
184,1701638989844,5
185,1701638989908,5
186,1701638990000,4
187,1701638990067,2
188,1701638990125,4
189,1701638990184,4
190,1701638990249,3
191,1701638990310,3
192,1701638990369,8
193,1701638990440,4
194,1701638990513,4
195,1701638990569,4
196,1701638990632,4
197,1701638990700,4
198,1701638990760,3
199,1701638990817,3
200,1701638990883,5
201,1701638990949,4
202,1701638991020,5
203,1701638991087,5
204,1701638991152,3
205,1701638991210,3
206,1701638991275,4
207,1701638991341,3
208,1701638991400,5
209,1701638991462,5
210,1701638991533,3
211,1701638991590,4
212,1701638991647,4
213,1701638991714,4
214,1701638991777,3
215,1701638991845,5
216,1701638991923,5
217,1701638991994,3
218,1701638992051,4
219,1701638992117,4
220,1701638992182,3
221,1701638992237,2
222,1701638992292,3
223,1701638992356,5
224,1701638992423,4
225,1701638992484,4
226,1701638992552,3
227,1701638992618,5
228,1701638992688,5
229,1701638992756,17
230,1701638992851,4
231,1701638992916,4
232,1701638992981,3
233,1701638993046,4
234,1701638993106,4
235,1701638993169,3
236,1701638993236,5
237,1701638993298,4
238,1701638993358,4
239,1701638993425,4
240,1701638993492,3
241,1701638993558,4
242,1701638993625,4
243,1701638993689,3
244,1701638993747,3
245,1701638993805,4
246,1701638993872,3
247,1701638993937,4
248,1701638994002,3
249,1701638994069,3
250,1701638994130,4
251,1701638994192,4
252,1701638994269,2
253,1701638994330,4
254,1701638994388,4
255,1701638994448,5
256,1701638994521,3
257,1701638994585,5
258,1701638994653,4
259,1701638994728,3
260,1701638994786,4
261,1701638994844,4
262,1701638994908,3
263,1701638994970,2
264,1701638995029,2
265,1701638995088,4
266,1701638995154,4
267,1701638995216,2
268,1701638995275,3
269,1701638995340,6
270,1701638995407,3
271,1701638995465,3
272,1701638995527,3
273,1701638995599,3
274,1701638995660,3
275,1701638995719,5
276,1701638995786,4
277,1701638995845,6
278,1701638995934,4
279,1701638996000,3
280,1701638996058,3
281,1701638996113,3
282,1701638996176,4
283,1701638996238,5
284,1701638996299,4
285,1701638996363,5
286,1701638996429,4
287,1701638996487,5
288,1701638996552,2
289,1701638996619,4
290,1701638996680,4
291,1701638996738,4
292,1701638996805,2
293,1701638996869,3
294,1701638996928,3
295,1701638996992,3
296,1701638997054,3
297,1701638997111,4
298,1701638997172,4
299,1701638997240,2
300,1701638997311,4
301,1701638997371,3
302,1701638997437,4
303,1701638997499,2
304,1701638997553,2
305,1701638997613,3
306,1701638997678,3
307,1701638997735,3
308,1701638997791,5
309,1701638997866,3
310,1701638997929,4
311,1701638997992,5
312,1701638998057,4
313,1701638998121,3
314,1701638998194,5
315,1701638998275,4
316,1701638998337,4
317,1701638998396,4
318,1701638998461,3
319,1701638998522,2
320,1701638998578,3
321,1701638998641,4
322,1701638998709,2
323,1701638998763,3
324,1701638998820,4
325,1701638998884,5
326,1701638998948,4
327,1701638999006,3
328,1701638999069,3
329,1701638999130,4
330,1701638999189,3
331,1701638999250,4
332,1701638999315,6
333,1701638999393,5
334,1701638999460,3
335,1701638999525,5
336,1701638999583,3
337,1701638999644,3
338,1701638999710,2
339,1701638999769,3
340,1701638999824,4
341,1701638999890,4
342,1701638999954,3
343,1701639000012,3
344,1701639000073,3
345,1701639000140,3
346,1701639000200,4
347,1701639000258,5
348,1701639000324,4
349,1701639000386,3
350,1701639000446,2
351,1701639000506,4
352,1701639000571,3
353,1701639000630,2
354,1701639000687,4
355,1701639000754,5
356,1701639000816,4
357,1701639000876,2
358,1701639000940,3
359,1701639000999,3
360,1701639001057,4
361,1701639001119,4
362,1701639001183,3
363,1701639001242,3
364,1701639001299,4
365,1701639001364,3
366,1701639001422,3
367,1701639001479,4
368,1701639001544,4
369,1701639001608,5
370,1701639001666,3
371,1701639001739,3
372,1701639001829,3
373,1701639001897,3
