Total Objects,Sample Time,Time (ms)
1,14:55:37.437774400,20
2,14:55:38.480008300,16
3,14:55:38.580030500,17
4,14:55:38.688054800,16
5,14:55:38.793078400,17
6,14:55:38.910260200,14
7,14:55:39.009833800,16
8,14:55:39.129858200,14
9,14:55:39.235620800,17
10,14:55:39.361120200,14
11,14:55:39.470904200,17
12,14:55:39.587930800,12
13,14:55:39.680951500,17
14,14:55:39.798977700,12
15,14:55:39.888998200,13
16,14:55:40.006025,13
17,14:55:40.104047300,13
18,14:55:40.212070900,11
19,14:55:40.303091100,12
20,14:55:40.424118600,13
21,14:55:40.521140700,11
22,14:55:40.621282100,13
23,14:55:40.730306300,10
24,14:55:40.823327400,24
25,14:55:40.934352200,11
26,14:55:41.038375,18
27,14:55:41.172405900,14
28,14:55:41.307436800,11
29,14:55:41.401457200,12
30,14:55:41.510481600,11
31,14:55:41.596501100,11
32,14:55:41.697523800,12
33,14:55:41.800546900,10
34,14:55:41.890007300,10
35,14:55:41.990487500,9
36,14:55:42.076507100,12
37,14:55:42.198534300,9
38,14:55:42.277552400,10
39,14:55:42.372573400,11
40,14:55:42.462593400,10
41,14:55:42.542611500,11
42,14:55:42.652636200,10
43,14:55:42.731654,13
44,14:55:42.827675500,10
45,14:55:42.919696200,9
46,14:55:43.000714300,11
47,14:55:43.107738600,10
48,14:55:43.184755800,10
49,14:55:43.274775400,11
50,14:55:43.376799,10
51,14:55:43.452816,10
52,14:55:43.551838300,14
53,14:55:43.649860200,9
54,14:55:43.743881600,10
55,14:55:43.831901500,9
56,14:55:43.905917800,10
57,14:55:44.006940500,9
58,14:55:44.085958100,8
59,14:55:44.168976900,10
60,14:55:44.264998500,8
61,14:55:44.340015200,9
62,14:55:44.435036900,9
63,14:55:44.527248700,9
64,14:55:44.604266,14
65,14:55:44.714893200,9
66,14:55:44.795911400,8
67,14:55:44.879930100,9
68,14:55:44.973951500,8
69,14:55:45.050968700,9
70,14:55:45.159993200,9
71,14:55:45.234009800,8
72,14:55:45.310026800,13
73,14:55:45.409049300,9
74,14:55:45.489067700,9
75,14:55:45.588089400,9
76,14:55:45.670107700,17
77,14:55:45.778132300,10
78,14:55:45.869152800,9
79,14:55:45.961172900,10
80,14:55:46.066196900,8
81,14:55:46.141213700,9
82,14:55:46.237235200,9
83,14:55:46.323254600,9
84,14:55:46.422276700,10
85,14:55:46.521643800,8
86,14:55:46.595659600,10
87,14:55:46.705915,9
88,14:55:46.816733600,11
89,14:55:46.927272900,8
90,14:55:47.004290400,9
91,14:55:47.109314200,8
92,14:55:47.197333900,9
93,14:55:47.296356300,9
94,14:55:47.387376600,7
95,14:55:47.461393100,10
96,14:55:47.570417500,10
97,14:55:47.649435500,9
98,14:55:47.746457200,8
99,14:55:47.836477300,7
100,14:55:47.908493400,18
101,14:55:48.018518200,8
102,14:55:48.091534600,7
103,14:55:48.173553100,8
104,14:55:48.264573600,8
105,14:55:48.338590400,8
106,14:55:48.439613,7
107,14:55:48.513629300,9
108,14:55:48.593647800,9
109,14:55:48.687668700,8
110,14:55:48.760684900,8
111,14:55:48.847704400,8
112,14:55:48.933763200,7
113,14:55:49.006779200,9
114,14:55:49.104801400,8
115,14:55:49.178818,8
116,14:55:49.254835300,8
