Total Objects, Sample Time,Memory Usage (MB)
1001,1701639039802,294.89417266845703
1002,1701639039860,296.89417266845703
1003,1701639039909,298.89417266845703
1004,1701639039961,300.89221954345703
1005,1701639040020,302.89417266845703
1006,1701639040076,302.89417266845703
1007,1701639040126,304.89221954345703
1008,1701639040179,306.89417266845703
1009,1701639040235,308.89221954345703
1010,1701639040288,308.89221954345703
1011,1701639040337,310.89417266845703
1012,1701639040388,312.89221954345703
1013,1701639040449,314.9000473022461
1014,1701639040505,316.89221954345703
1015,1701639040561,316.89221954345703
1016,1701639040617,318.9078598022461
1017,1701639040674,320.89221954345703
1018,1701639040725,322.89417266845703
1019,1701639040774,324.89221954345703
1020,1701639040831,324.89221954345703
1021,1701639040890,326.89417266845703
1022,1701639040941,328.89221954345703
1023,1701639040992,330.89417266845703
1024,1701639041049,332.89221954345703
1025,1701639041108,332.89221954345703
1026,1701639041158,334.89417266845703
1027,1701639041205,336.89221954345703
1028,1701639041262,338.89417266845703
1029,1701639041321,340.89221954345703
1030,1701639041372,340.89221954345703
1031,1701639041442,258.83939361572266
1032,1701639041518,260.7430191040039
1033,1701639041578,262.660400390625
1034,1701639041628,264.57586669921875
1035,1701639041683,264.57586669921875
1036,1701639041741,266.66058349609375
1037,1701639041792,268.5760040283203
1038,1701639041840,270.6605682373047
1039,1701639041896,272.5759811401367
1040,1701639041956,272.5759811401367
1041,1701639042007,274.66050720214844
1042,1701639042057,276.57596588134766
1043,1701639042118,278.6606216430664
1044,1701639042175,280.57605743408203
1045,1701639042225,280.57605743408203
1046,1701639042273,282.660400390625
1047,1701639042328,284.5758285522461
1048,1701639042387,286.6604537963867
1049,1701639042438,286.6604537963867
1050,1701639042487,288.5758743286133
1051,1701639042546,290.6604232788086
1052,1701639042602,292.5758743286133
1053,1701639042653,294.6604461669922
1054,1701639042701,294.6604461669922
1055,1701639042759,296.5914840698242
1056,1701639042816,298.660400390625
1057,1701639042868,300.5758514404297
1058,1701639042919,302.6604232788086
1059,1701639042978,302.6604232788086
1060,1701639043037,304.57584381103516
1061,1701639043087,306.660400390625
1062,1701639043136,308.59143829345703
1063,1701639043192,310.660400390625
1064,1701639043250,310.660400390625
1065,1701639043301,312.5758743286133
1066,1701639043349,314.6604232788086
1067,1701639043406,316.57616424560547
1068,1701639043469,316.7430191040039
1069,1701639043522,318.66039276123047
1070,1701639043574,320.5758514404297
1071,1701639043632,322.66040802001953
1072,1701639043687,324.57630920410156
1073,1701639043735,324.57630920410156
1074,1701639043784,326.67407989501953
1075,1701639043842,328.58951568603516
1076,1701639043898,330.66039276123047
1077,1701639043953,332.5758514404297
1078,1701639044007,332.5758514404297
1079,1701639044065,334.660400390625
1080,1701639044120,336.57582092285156
1081,1701639044169,338.66039276123047
1082,1701639044223,340.57582092285156
1083,1701639044279,340.57582092285156
1084,1701639044332,342.6604232788086
1085,1701639044380,344.5758743286133
1086,1701639044432,268.11869049072266
1087,1701639044498,269.8895797729492
1088,1701639044552,270.3538589477539
1089,1701639044604,272.1120300292969
1090,1701639044665,273.86730194091797
1091,1701639044722,276.111083984375
1092,1701639044772,277.8664245605469
1093,1701639044819,277.8664245605469
1094,1701639044874,280.1111526489258
1095,1701639044932,281.8664245605469
1096,1701639044982,284.1248016357422
1097,1701639045031,285.8800735473633
1098,1701639045088,285.8800735473633
1099,1701639045146,288.11112213134766
1100,1701639045195,289.8663864135742
1101,1701639045250,292.1111373901367
1102,1701639045332,292.1111373901367
1103,1701639045396,293.86656188964844
1104,1701639045444,296.111083984375
1105,1701639045494,297.8663558959961
1106,1701639045550,300.11119842529297
1107,1701639045606,300.11119842529297
1108,1701639045654,301.86647033691406
1109,1701639045702,304.111083984375
1110,1701639045759,305.8664093017578
1111,1701639045817,306.3538589477539
1112,1701639045866,308.1112289428711
1113,1701639045917,309.86673736572266
1114,1701639045973,312.11695861816406
1115,1701639046028,313.8878479003906
1116,1701639046078,314.3538589477539
1117,1701639046127,316.12476348876953
1118,1701639046185,317.88006591796875
1119,1701639046241,320.11695861816406
1120,1701639046291,321.8722915649414
1121,1701639046338,322.3538589477539
1122,1701639046395,324.11109924316406
1123,1701639046450,325.8663787841797
1124,1701639046500,328.12477111816406
1125,1701639046549,329.88004302978516
1126,1701639046609,330.3538589477539
1127,1701639046665,332.1111145019531
1128,1701639046712,333.86643981933594
1129,1701639046760,336.1111068725586
1130,1701639046817,337.87418365478516
1131,1701639046872,338.3538589477539
1132,1701639046921,340.11695098876953
1133,1701639046977,341.8723602294922
1134,1701639047049,344.111083984375
1135,1701639047104,345.8663635253906
1136,1701639047153,345.8663635253906
1137,1701639047203,348.11302947998047
1138,1701639047262,349.87024688720703
1139,1701639047316,352.1248016357422
1140,1701639047363,353.88011169433594
1141,1701639047416,353.88011169433594
1142,1701639047475,356.11119842529297
1143,1701639047535,357.8665313720703
1144,1701639047583,360.11302947998047
1145,1701639047639,360.11302947998047
1146,1701639047697,361.8683166503906
1147,1701639047749,364.11302947998047
1148,1701639047798,365.87610626220703
1149,1701639047849,368.111083984375
1150,1701639047908,368.111083984375
1151,1701639047969,369.88197326660156
1152,1701639048024,372.111083984375
1153,1701639048092,373.87416076660156
1154,1701639048150,374.3538589477539
1155,1701639048198,376.11890411376953
1156,1701639048248,377.87449645996094
1157,1701639048303,380.11695861816406
1158,1701639048363,381.8878479003906
1159,1701639048413,382.3538589477539
1160,1701639048461,384.12476348876953
1161,1701639048516,385.88004302978516
1162,1701639048575,279.5540008544922
1163,1701639048636,281.53607177734375
1164,1701639048685,281.53607177734375
1165,1701639048755,283.53802490234375
1166,1701639048827,285.53607177734375
1167,1701639048891,287.5517120361328
1168,1701639048963,289.53607177734375
1169,1701639049026,289.53607177734375
1170,1701639049075,291.53802490234375
1171,1701639049130,293.53607177734375
1172,1701639049192,295.53802490234375
1173,1701639049242,295.53802490234375
1174,1701639049291,297.53607177734375
1175,1701639049348,299.5438995361328
1176,1701639049408,301.53607177734375
1177,1701639049457,303.53802490234375
1178,1701639049505,303.53802490234375
1179,1701639049561,305.53607177734375
1180,1701639049618,307.53802490234375
1181,1701639049669,309.53607177734375
1182,1701639049717,311.53802490234375
1183,1701639049772,311.53802490234375
1184,1701639049829,313.53607177734375
1185,1701639049880,315.53802490234375
1186,1701639049929,317.53607177734375
1187,1701639049984,319.53802490234375
1188,1701639050041,319.53802490234375
1189,1701639050090,321.53607177734375
1190,1701639050138,323.5438995361328
1191,1701639050193,325.53607177734375
1192,1701639050250,325.53607177734375
1193,1701639050301,327.53802490234375
1194,1701639050349,329.53607177734375
1195,1701639050402,331.53802490234375
1196,1701639050461,333.53607177734375
1197,1701639050513,333.53607177734375
1198,1701639050559,335.53802490234375
1199,1701639050614,337.53607177734375
1200,1701639050673,339.53802490234375
1201,1701639050721,341.53607177734375
1202,1701639050769,341.53607177734375
1203,1701639050825,343.53802490234375
1204,1701639050881,345.53607177734375
1205,1701639050933,347.5517120361328
1206,1701639050981,349.53607177734375
1207,1701639051036,349.53607177734375
1208,1701639051093,351.53802490234375
1209,1701639051143,353.53607177734375
1210,1701639051193,355.53802490234375
1211,1701639051248,355.53802490234375
1212,1701639051304,357.53607177734375
1213,1701639051358,359.5438995361328
1214,1701639051407,361.53607177734375
1215,1701639051463,363.53802490234375
1216,1701639051520,363.53802490234375
1217,1701639051571,365.53607177734375
1218,1701639051620,367.53802490234375
1219,1701639051676,369.53607177734375
1220,1701639051735,371.53802490234375
1221,1701639051785,371.53802490234375
1222,1701639051833,373.53607177734375
1223,1701639051887,375.53802490234375
1224,1701639051945,377.53607177734375
1225,1701639051996,379.53802490234375
1226,1701639052043,379.53802490234375
1227,1701639052099,381.53607177734375
1228,1701639052157,383.5438995361328
1229,1701639052207,385.53607177734375
1230,1701639052255,385.53607177734375
1231,1701639052310,387.53802490234375
1232,1701639052367,389.53607177734375
1233,1701639052416,290.6590881347656
1234,1701639052473,292.64703369140625
1235,1701639052531,292.64703369140625
1236,1701639052590,294.6548614501953
1237,1701639052643,296.64703369140625
1238,1701639052697,298.64898681640625
1239,1701639052769,300.64703369140625
1240,1701639052831,300.64703369140625
1241,1701639052884,302.6626739501953
1242,1701639052945,304.64703369140625
1243,1701639053007,306.6626739501953
1244,1701639053061,308.64703369140625
1245,1701639053118,308.64703369140625
1246,1701639053181,310.64898681640625
1247,1701639053244,312.64703369140625
1248,1701639053297,314.64898681640625
1249,1701639053354,316.64703369140625
1250,1701639053411,316.64703369140625
1251,1701639053462,318.64898681640625
1252,1701639053512,320.64703369140625
1253,1701639053563,322.64898681640625
1254,1701639053624,322.64898681640625
1255,1701639053678,324.64703369140625
1256,1701639053728,326.64898681640625
1257,1701639053784,328.64703369140625
1258,1701639053843,330.6626739501953
1259,1701639053894,330.6626739501953
1260,1701639053944,332.64703369140625
1261,1701639053996,334.64898681640625
1262,1701639054055,336.64703369140625
1263,1701639054109,338.64898681640625
1264,1701639054157,338.64898681640625
1265,1701639054208,340.64703369140625
1266,1701639054266,342.64898681640625
1267,1701639054320,344.64703369140625
1268,1701639054367,346.64898681640625
1269,1701639054416,346.64898681640625
1270,1701639054476,348.64703369140625
1271,1701639054531,350.64898681640625
1272,1701639054580,352.64703369140625
1273,1701639054633,352.64703369140625
1274,1701639054692,354.64898681640625
1275,1701639054751,356.64703369140625
1276,1701639054803,358.64898681640625
1277,1701639054863,360.64703369140625
1278,1701639054922,360.64703369140625
1279,1701639054972,362.64898681640625
1280,1701639055021,364.64703369140625
1281,1701639055079,366.64898681640625
1282,1701639055136,368.64703369140625
1283,1701639055185,368.64703369140625
1284,1701639055233,370.64898681640625
1285,1701639055292,372.64703369140625
1286,1701639055351,374.64898681640625
1287,1701639055410,376.64703369140625
1288,1701639055470,376.64703369140625
1289,1701639055529,378.64898681640625
1290,1701639055583,380.64703369140625
1291,1701639055632,382.64898681640625
1292,1701639055685,382.64898681640625
1293,1701639055744,384.64703369140625
1294,1701639055802,386.64898681640625
1295,1701639055851,388.64703369140625
1296,1701639055904,390.64898681640625
1297,1701639055964,390.64898681640625
1298,1701639056018,392.64703369140625
1299,1701639056085,299.11366271972656
1300,1701639056158,301.1016082763672
1301,1701639056229,303.1035614013672
1302,1701639056281,303.1035614013672
1303,1701639056334,305.1016082763672
1304,1701639056394,307.1035614013672
1305,1701639056448,309.1016082763672
1306,1701639056497,311.1035614013672
1307,1701639056554,311.1035614013672
1308,1701639056613,313.1016082763672
1309,1701639056666,315.1035614013672
1310,1701639056715,317.1016082763672
1311,1701639056770,317.1016082763672
1312,1701639056829,319.10943603515625
1313,1701639056881,321.1016082763672
1314,1701639056928,323.1035614013672
1315,1701639056980,325.1016082763672
1316,1701639057038,325.1016082763672
1317,1701639057093,327.1035614013672
1318,1701639057141,329.1016082763672
1319,1701639057195,331.10943603515625
1320,1701639057253,333.1016082763672
1321,1701639057319,333.1016082763672
1322,1701639057370,335.1035614013672
1323,1701639057427,337.1016082763672
1324,1701639057485,339.11724853515625
1325,1701639057535,341.1016082763672
1326,1701639057584,341.1016082763672
1327,1701639057638,343.1035614013672
1328,1701639057695,345.1016082763672
1329,1701639057745,347.10379791259766
1330,1701639057795,347.10379791259766
1331,1701639057850,349.1016082763672
1332,1701639057909,351.1035614013672
1333,1701639057960,353.1016082763672
1334,1701639058008,355.1035614013672
1335,1701639058064,355.1035614013672
1336,1701639058123,357.1016082763672
1337,1701639058172,359.1035614013672
1338,1701639058219,361.1016082763672
1339,1701639058276,363.1035614013672
1340,1701639058334,363.1035614013672
1341,1701639058385,365.1016082763672
1342,1701639058434,367.1035614013672
1343,1701639058491,369.1016082763672
1344,1701639058549,371.1035614013672
1345,1701639058604,371.1035614013672
1346,1701639058658,373.1016082763672
1347,1701639058715,375.1035614013672
1348,1701639058771,377.1016082763672
1349,1701639058821,377.1016082763672
1350,1701639058870,379.10943603515625
1351,1701639058929,381.1016082763672
1352,1701639058984,383.1035614013672
1353,1701639059035,385.1016082763672
1354,1701639059084,385.1016082763672
1355,1701639059144,387.1035614013672
1356,1701639059197,389.1016082763672
1357,1701639059245,391.10943603515625
1358,1701639059293,393.1016082763672
1359,1701639059350,393.1016082763672
1360,1701639059416,309.6190490722656
1361,1701639059464,311.53646087646484
1362,1701639059520,313.6251754760742
1363,1701639059576,315.54247283935547
1364,1701639059630,315.54247283935547
1365,1701639059680,317.611572265625
1366,1701639059732,319.5366744995117
1367,1701639059797,321.61148834228516
1368,1701639059856,323.5287857055664
1369,1701639059914,323.5287857055664
1370,1701639059974,325.6115264892578
1371,1701639060034,327.5288314819336
1372,1701639060083,329.611572265625
1373,1701639060131,329.611572265625
1374,1701639060187,331.5366744995117
1375,1701639060245,333.61145782470703
1376,1701639060294,335.5287551879883
1377,1701639060345,337.61146545410156
1378,1701639060401,337.61146545410156
1379,1701639060460,339.5365676879883
1380,1701639060510,341.61146545410156
1381,1701639060559,343.5287628173828
1382,1701639060613,345.6116943359375
1383,1701639060671,345.6116943359375
1384,1701639060721,347.52899169921875
1385,1701639060769,349.6114807128906
1386,1701639060823,351.5288314819336
1387,1701639060883,351.6922073364258
1388,1701639060933,353.6114730834961
1389,1701639060988,355.5288848876953
1390,1701639061067,357.61146545410156
1391,1701639061127,359.52879333496094
1392,1701639061176,359.52879333496094
1393,1701639061224,361.61146545410156
1394,1701639061282,363.5287857055664
1395,1701639061340,365.6173324584961
1396,1701639061389,367.5502471923828
1397,1701639061438,367.5502471923828
1398,1701639061496,369.61155700683594
1399,1701639061551,371.52909088134766
1400,1701639061600,373.6251754760742
1401,1701639061650,375.54248046875
1402,1701639061707,375.54248046875
1403,1701639061764,377.6115951538086
1404,1701639061819,379.52889251708984
1405,1701639061897,381.61145782470703
1406,1701639061960,383.5287628173828
1407,1701639062021,383.5287628173828
1408,1701639062076,385.6115188598633
1409,1701639062145,387.5288543701172
1410,1701639062206,389.61145782470703
1411,1701639062260,389.61145782470703
1412,1701639062320,391.53656005859375
1413,1701639062379,393.61145782470703
1414,1701639062430,395.5287857055664
1415,1701639062483,397.6114730834961
1416,1701639062544,397.6114730834961
1417,1701639062601,399.5443878173828
1418,1701639062652,401.61145782470703
1419,1701639062709,403.54437255859375
1420,1701639062770,405.6117172241211
1421,1701639062831,405.6117172241211
1422,1701639062908,407.5311813354492
1423,1701639062991,409.61148834228516
1424,1701639063056,411.52882385253906
1425,1701639063107,411.6922073364258
1426,1701639063170,413.6114501953125
1427,1701639063240,415.5287780761719
1428,1701639063312,417.61146545410156
1429,1701639063382,419.52877044677734
1430,1701639063450,419.52877044677734
1431,1701639063512,421.61732482910156
1432,1701639063576,423.5346221923828
1433,1701639063655,425.61146545410156
1434,1701639063720,427.52877044677734
1435,1701639063783,427.52877044677734
1436,1701639063857,429.61155700683594
1437,1701639063916,431.52891540527344
1438,1701639063977,433.61148834228516
1439,1701639064036,435.52881622314453
1440,1701639064092,435.52881622314453
1441,1701639064151,437.61145782470703
1442,1701639064208,439.53656005859375
1443,1701639064268,441.61145782470703
1444,1701639064323,441.61145782470703
1445,1701639064373,443.5287628173828
1446,1701639064428,445.6114501953125
1447,1701639064492,447.52880096435547
1448,1701639064548,449.611572265625
1449,1701639064601,449.611572265625
1450,1701639064656,451.5444869995117
1451,1701639064727,323.94588470458984
1452,1701639064775,325.9313049316406
1453,1701639064824,327.9332580566406
1454,1701639064882,327.9332580566406
1455,1701639064940,329.9313049316406
1456,1701639064993,331.9391326904297
1457,1701639065051,333.9313049316406
1458,1701639065113,333.9313049316406
1459,1701639065167,335.9332580566406
1460,1701639065219,337.9313049316406
1461,1701639065277,339.9332580566406
1462,1701639065340,341.9313049316406
1463,1701639065394,341.9313049316406
1464,1701639065443,343.9332580566406
1465,1701639065501,345.9313049316406
1466,1701639065558,347.9391326904297
1467,1701639065606,349.9313049316406
1468,1701639065660,349.9313049316406
1469,1701639065724,351.9332580566406
1470,1701639065783,353.9313049316406
1471,1701639065839,355.9332580566406
1472,1701639065900,357.9313049316406
1473,1701639065967,357.9313049316406
