Total Objects, Sample Time,Time (ms)
1001,01:49:31.250834800,9
1002,01:49:31.360835100,9
1003,01:49:31.475844100,9
1004,01:49:31.579833100,9
1005,01:49:31.692837200,12
1006,01:49:31.799833600,9
1007,01:49:31.912838600,11
1008,01:49:32.013833800,9
1009,01:49:32.124837500,11
1010,01:49:32.229833600,9
1011,01:49:32.343832200,12
1012,01:49:32.453832700,9
1013,01:49:32.571836300,9
1014,01:49:32.676833500,9
1015,01:49:32.794832300,11
1016,01:49:32.897025700,9
1017,01:49:33.013031600,12
1018,01:49:33.117030100,8
1019,01:49:33.225033300,12
1020,01:49:33.331024200,9
1021,01:49:33.454026800,12
1022,01:49:33.561086300,9
1023,01:49:33.678091500,10
1024,01:49:33.778124100,9
1025,01:49:33.896142100,11
1026,01:49:34.006122800,8
1027,01:49:34.120123900,9
1028,01:49:34.219123800,8
1029,01:49:34.328135300,11
1030,01:49:34.431123900,9
1031,01:49:34.545168800,12
1032,01:49:34.652166500,9
1033,01:49:34.769177800,10
1034,01:49:34.895171300,16
1035,01:49:35.055169300,13
1036,01:49:35.213256600,16
1037,01:49:35.378257900,18
1038,01:49:35.549279200,17
1039,01:49:35.723299400,11
1040,01:49:35.854308100,11
1041,01:49:35.967309100,14
1042,01:49:36.108304800,11
1043,01:49:36.217312500,14
1044,01:49:36.350741900,11
1045,01:49:36.469740400,13
1046,01:49:36.593740400,11
1047,01:49:36.711755300,13
1048,01:49:36.822740400,10
1049,01:49:36.930747400,11
1050,01:49:37.044740300,9
1051,01:49:37.152744600,11
1052,01:49:37.267741200,10
1053,01:49:37.376741200,12
1054,01:49:37.493739900,10
1055,01:49:37.595750500,11
1056,01:49:37.713898700,10
1057,01:49:37.828908600,12
1058,01:49:37.944467600,11
1059,01:49:38.057473,11
1060,01:49:38.167469100,10
1061,01:49:38.274483500,12
1062,01:49:38.384467500,9
1063,01:49:38.492474800,12
1064,01:49:38.605467800,10
1065,01:49:38.718516700,11
1066,01:49:38.829505700,10
1067,01:49:38.942511200,11
1068,01:49:39.057506500,12
1069,01:49:39.173513800,12
1070,01:49:39.290556300,10
1071,01:49:39.399568800,11
1072,01:49:39.510557,9
1073,01:49:39.619560500,11
1074,01:49:39.734682700,10
1075,01:49:39.846691600,12
1076,01:49:39.964684500,10
1077,01:49:40.076690,13
1078,01:49:40.191755900,10
1079,01:49:40.310769200,11
1080,01:49:40.423756100,9
1081,01:49:40.533759900,13
1082,01:49:40.652756100,9
1083,01:49:40.766770,13
1084,01:49:40.880758900,9
1085,01:49:40.992763900,12
1086,01:49:41.104755400,9
1087,01:49:41.214607100,11
1088,01:49:41.329596,10
1089,01:49:41.478110400,27
1090,01:49:41.670112100,19
1091,01:49:41.852221900,17
1092,01:49:42.049222800,28
1093,01:49:42.270223200,23
1094,01:49:42.465235800,20
1095,01:49:42.621219900,10
1096,01:49:42.740297900,13
1097,01:49:42.856292700,11
1098,01:49:42.971292900,12
1099,01:49:43.086295600,8
1100,01:49:43.194296100,11
1101,01:49:43.310292800,10
1102,01:49:43.422387900,11
1103,01:49:43.535387600,10
1104,01:49:43.651393700,12
1105,01:49:43.769380700,8
1106,01:49:43.876386600,11
1107,01:49:43.991381700,9
1108,01:49:44.099384900,10
1109,01:49:44.210381200,10
1110,01:49:44.320392200,12
1111,01:49:44.440395100,11
1112,01:49:44.562383900,12
1113,01:49:44.678232200,9
1114,01:49:44.791688800,11
1115,01:49:44.902684900,9
1116,01:49:45.014706,10
1117,01:49:45.123685700,10
1118,01:49:45.232746200,12
1119,01:49:45.348737400,9
1120,01:49:45.458740900,10
1121,01:49:45.573736800,9
1122,01:49:45.678740400,12
1123,01:49:45.792738200,9
1124,01:49:45.902802900,11
1125,01:49:46.015795700,10
1126,01:49:46.130801,10
1127,01:49:46.244797,9
1128,01:49:46.369804900,14
1129,01:49:46.491795800,10
1130,01:49:46.608797200,12
1131,01:49:46.718803200,8
1132,01:49:46.833803100,11
1133,01:49:46.941821200,10
1134,01:49:47.061825600,9
1135,01:49:47.169826100,8
1136,01:49:47.287832600,9
1137,01:49:47.388821600,10
1138,01:49:47.507882600,10
1139,01:49:47.615887700,9
1140,01:49:47.728887,11
1141,01:49:47.835884,8
1142,01:49:47.944945800,11
1143,01:49:48.053959400,11
1144,01:49:48.196957,12
1145,01:49:48.314942300,11
1146,01:49:48.432941500,10
1147,01:49:48.542942200,11
1148,01:49:48.663123,9
1149,01:49:48.771119,12
1150,01:49:48.888118900,9
1151,01:49:48.996128500,10
1152,01:49:49.110118600,10
1153,01:49:49.227125200,11
1154,01:49:49.349119200,10
1155,01:49:49.459118800,10
1156,01:49:49.573119200,9
1157,01:49:49.675120500,10
1158,01:49:49.794118100,9
1159,01:49:49.899119,10
1160,01:49:50.016089500,8
1161,01:49:50.120091100,12
1162,01:49:50.236089900,11
1163,01:49:50.345100100,10
1164,01:49:50.460089100,9
1165,01:49:50.570100400,12
1166,01:49:50.736663500,12
1167,01:49:50.890654,12
1168,01:49:51.006798100,11
1169,01:49:51.126794100,10
1170,01:49:51.237803200,10
1171,01:49:51.357800900,10
1172,01:49:51.462795700,11
1173,01:49:51.582036400,9
1174,01:49:51.688037800,10
1175,01:49:51.803035800,10
1176,01:49:51.908053400,11
1177,01:49:52.024113400,9
1178,01:49:52.128120800,10
1179,01:49:52.242113600,8
1180,01:49:52.346116,12
1181,01:49:52.463113600,9
1182,01:49:52.562125100,12
1183,01:49:52.676114400,9
1184,01:49:52.777136800,9
1185,01:49:52.890167700,10
1186,01:49:52.989180100,12
1187,01:49:53.113167200,9
1188,01:49:53.216174300,11
1189,01:49:53.330168400,9
1190,01:49:53.434178400,13
1191,01:49:53.554167400,8
1192,01:49:53.656167300,10
1193,01:49:53.770168,10
1194,01:49:53.879173800,10
1195,01:49:53.999166900,9
1196,01:49:54.099830600,12
1197,01:49:54.227826700,11
1198,01:49:54.340822900,10
1199,01:49:54.460822700,10
1200,01:49:54.570827200,11
1201,01:49:54.680818700,9
1202,01:49:54.786828100,11
1203,01:49:54.901818300,9
1204,01:49:55.007099200,11
1205,01:49:55.119659600,9
1206,01:49:55.227672400,12
1207,01:49:55.343662600,9
1208,01:49:55.452680500,10
1209,01:49:55.564659600,9
1210,01:49:55.670680100,12
1211,01:49:55.784659800,9
1212,01:49:55.887671600,10
1213,01:49:56.005665900,8
1214,01:49:56.112683400,10
1215,01:49:56.222659800,9
1216,01:49:56.334665100,12
1217,01:49:56.450661500,9
1218,01:49:56.574669800,11
1219,01:49:56.684673,9
1220,01:49:56.799671100,10
1221,01:49:56.904659400,8
1222,01:49:57.015739,11
1223,01:49:57.128725400,10
1224,01:49:57.236735900,11
1225,01:49:57.346720200,9
1226,01:49:57.451730600,12
1227,01:49:57.570725,8
1228,01:49:57.674740900,12
1229,01:49:57.790719800,8
1230,01:49:57.898721800,10
1231,01:49:58.013721300,9
1232,01:49:58.123927600,11
1233,01:49:58.234908600,9
1234,01:49:58.340906300,12
1235,01:49:58.458903800,9
1236,01:49:58.566919200,12
1237,01:49:58.712899100,10
1238,01:49:58.833912400,11
1239,01:49:58.940909700,10
1240,01:49:59.060909300,9
1241,01:49:59.166761800,9
1242,01:49:59.276788500,12
1243,01:49:59.384762500,9
1244,01:49:59.499776,12
1245,01:49:59.612767800,8
1246,01:49:59.729857800,10
1247,01:49:59.837832600,9
1248,01:49:59.954836600,10
1249,01:50:00.065890100,10
1250,01:50:00.187890600,10
1251,01:50:00.294895500,9
1252,01:50:00.411914600,9
1253,01:50:00.514890300,9
1254,01:50:00.633910,11
1255,01:50:00.741890300,9
1256,01:50:00.856908900,9
1257,01:50:00.963889400,8
1258,01:50:01.079216500,10
1259,01:50:01.189196,8
1260,01:50:01.306212100,9
1261,01:50:01.411196,9
1262,01:50:01.523218400,17
1263,01:50:01.635283100,10
1264,01:50:01.758297,10
1265,01:50:01.863282500,8
1266,01:50:01.977299200,9
1267,01:50:02.079286500,11
1268,01:50:02.200438500,11
1269,01:50:02.311417300,9
1270,01:50:02.426424100,10
1271,01:50:02.532417300,10
1272,01:50:02.651418100,10
1273,01:50:02.760417200,9
1274,01:50:02.875427500,10
1275,01:50:02.979417,9
1276,01:50:03.091440300,10
1277,01:50:03.198450600,8
1278,01:50:03.311449200,11
1279,01:50:03.419448,8
1280,01:50:03.536460800,10
1281,01:50:03.642448400,10
1282,01:50:03.767526700,10
1283,01:50:03.874519400,9
1284,01:50:03.988528300,10
1285,01:50:04.093518800,9
1286,01:50:04.208546300,12
1287,01:50:04.333632400,13
1288,01:50:04.481624900,13
1289,01:50:04.623626600,14
1290,01:50:04.748617,10
1291,01:50:04.871617800,11
1292,01:50:04.983616200,10
1293,01:50:05.105620800,10
1294,01:50:05.216633,10
1295,01:50:05.337635100,9
1296,01:50:05.443634900,9
1297,01:50:05.560652,10
1298,01:50:05.668633600,8
1299,01:50:05.787646700,10
1300,01:50:05.895633300,9
1301,01:50:06.012647100,9
1302,01:50:06.127690700,9
1303,01:50:06.248697500,10
1304,01:50:06.423700800,21
1305,01:50:06.604727500,21
1306,01:50:06.807728,18
1307,01:50:07.003720700,21
1308,01:50:07.205724200,18
1309,01:50:07.385730300,15
1310,01:50:07.526716200,14
1311,01:50:07.655721500,11
1312,01:50:07.766717300,9
1313,01:50:07.878909500,11
1314,01:50:07.988902800,9
1315,01:50:08.104918900,11
1316,01:50:08.211895500,9
1317,01:50:08.332032800,12
1318,01:50:08.443021600,9
1319,01:50:08.557029100,10
1320,01:50:08.658022,9
1321,01:50:08.770024600,12
1322,01:50:08.876021600,9
1323,01:50:08.994036,10
1324,01:50:09.098020800,9
1325,01:50:09.208064200,11
1326,01:50:09.311046200,11
1327,01:50:09.439074900,10
1328,01:50:09.550044900,11
1329,01:50:09.671059600,10
1330,01:50:09.771051400,10
1331,01:50:09.885066500,11
1332,01:50:09.991046,9
1333,01:50:10.104069400,12
1334,01:50:10.215044900,9
1335,01:50:10.331585900,12
1336,01:50:10.437575100,9
1337,01:50:10.559580800,11
1338,01:50:10.666639100,10
1339,01:50:10.783653500,9
1340,01:50:10.886644400,10
1341,01:50:11.000643700,11
1342,01:50:11.105647100,9
1343,01:50:11.223653700,12
1344,01:50:11.332637800,9
1345,01:50:11.455041900,10
1346,01:50:11.566038800,11
1347,01:50:11.690038900,9
1348,01:50:11.798031100,10
1349,01:50:11.914031800,11
1350,01:50:12.021081900,10
1351,01:50:12.145090500,11
1352,01:50:12.250083800,8
1353,01:50:12.363100700,10
1354,01:50:12.468924200,9
1355,01:50:12.582939300,11
1356,01:50:12.689922,9
1357,01:50:12.806937200,10
1358,01:50:12.912919800,9
1359,01:50:13.027933400,11
1360,01:50:13.132919700,9
1361,01:50:13.248934,10
1362,01:50:13.354980800,31
1363,01:50:13.510982500,11
1364,01:50:13.618980600,9
1365,01:50:13.741981600,9
1366,01:50:13.843979800,8
1367,01:50:13.958981500,12
1368,01:50:14.070981400,10
1369,01:50:14.193980500,10
1370,01:50:14.297980200,10
1371,01:50:14.413981400,10
