Total Objects, Sample Time,Time (ms)
1001,14:56:57.273196900,1
1002,14:56:57.335211300,1
1003,14:56:57.411227800,2
1004,14:56:57.480243700,1
1005,14:56:57.540256800,2
1006,14:56:57.614273400,2
1007,14:56:57.688294900,2
1008,14:56:57.750308800,2
1009,14:56:57.834812800,2
1010,14:56:57.906564400,2
1011,14:56:57.970578600,2
1012,14:56:58.052492600,1
1013,14:56:58.123508400,2
1014,14:56:58.182521700,2
1015,14:56:58.261538900,2
1016,14:56:58.334555900,1
1017,14:56:58.404571900,2
1018,14:56:58.495592200,2
1019,14:56:58.567608300,2
1020,14:56:58.625621200,2
1021,14:56:58.703187700,2
1022,14:56:58.774203700,1
1023,14:56:58.832217100,2
1024,14:56:58.908234100,1
1025,14:56:58.982250700,1
1026,14:56:59.040263500,1
1027,14:56:59.116280800,1
1028,14:56:59.188297,1
1029,14:56:59.248427200,1
1030,14:56:59.325444400,2
1031,14:56:59.397460800,1
1032,14:56:59.455473400,2
1033,14:56:59.531490900,2
1034,14:56:59.602506600,1
1035,14:56:59.662520,2
1036,14:56:59.739537500,2
1037,14:56:59.810553200,1
1038,14:56:59.869567,1
1039,14:56:59.942125,2
1040,14:57:00.017539300,1
1041,14:57:00.078012800,2
1042,14:57:00.154030,2
1043,14:57:00.227046300,2
1044,14:57:00.288059800,1
1045,14:57:00.363076900,2
1046,14:57:00.434092700,1
1047,14:57:00.493106,2
1048,14:57:00.565122,2
1049,14:57:00.638138600,1
1050,14:57:00.718156700,2
1051,14:57:00.826180900,1
1052,14:57:00.885194100,2
1053,14:57:00.958210500,2
1054,14:57:01.036228600,2
1055,14:57:01.095241300,1
1056,14:57:01.163256800,2
1057,14:57:01.247275600,2
1058,14:57:01.309289400,2
1059,14:57:01.383306100,2
1060,14:57:01.459323200,1
1061,14:57:01.518336300,2
1062,14:57:01.585351300,2
1063,14:57:01.664369100,1
1064,14:57:01.724774900,2
1065,14:57:01.793790200,2
1066,14:57:01.872808200,2
1067,14:57:01.933822,2
1068,14:57:02.015840700,2
1069,14:57:02.092857600,1
1070,14:57:02.150870600,2
1071,14:57:02.218886,2
1072,14:57:02.294902900,2
1073,14:57:02.356917,1
1074,14:57:02.427932900,2
1075,14:57:02.508951600,2
1076,14:57:02.567964400,2
1077,14:57:02.647982700,2
1078,14:57:02.724143,1
1079,14:57:02.783156400,2
1080,14:57:02.854172400,2
1081,14:57:02.931736500,1
1082,14:57:02.993750100,2
1083,14:57:03.061765300,2
1084,14:57:03.141783400,1
1085,14:57:03.200796500,2
1086,14:57:03.265811200,2
1087,14:57:03.344828900,2
1088,14:57:03.406842900,2
1089,14:57:03.486702600,2
1090,14:57:03.566719900,2
1091,14:57:03.624733,2
1092,14:57:03.693749,2
1093,14:57:03.772766200,1
1094,14:57:03.832779600,2
1095,14:57:03.913798600,1
1096,14:57:03.988815300,2
1097,14:57:04.046828,1
1098,14:57:04.108841500,2
1099,14:57:04.189860100,2
1100,14:57:04.250688,2
1101,14:57:04.317703100,1
1102,14:57:04.409723900,1
1103,14:57:04.470737400,2
1104,14:57:04.532751600,2
1105,14:57:04.614849200,2
1106,14:57:04.675862900,1
1107,14:57:04.733875700,2
1108,14:57:04.814894200,2
1109,14:57:04.880908800,2
1110,14:57:04.941922400,2
1111,14:57:05.026941300,2
1112,14:57:05.087955500,2
1113,14:57:05.147969300,2
1114,14:57:05.229987400,1
1115,14:57:05.293001600,2
1116,14:57:05.350014100,2
1117,14:57:05.430864,1
1118,14:57:05.496392400,2
1119,14:57:05.556405900,2
1120,14:57:05.633423600,2
1121,14:57:05.699434900,2
1122,14:57:05.758447500,2
1123,14:57:05.840466900,2
1124,14:57:05.905480500,2
1125,14:57:05.966494700,2
1126,14:57:06.047513,1
1127,14:57:06.110526400,2
1128,14:57:06.169540400,2
1129,14:57:06.253559400,2
1130,14:57:06.314573,2
1131,14:57:06.372585700,2
1132,14:57:06.460605800,2
1133,14:57:06.523620,2
1134,14:57:06.589634800,2
1135,14:57:06.670653200,2
1136,14:57:06.733729,2
1137,14:57:06.791742100,2
1138,14:57:06.873760200,2
1139,14:57:06.938774900,2
1140,14:57:06.998788400,2
1141,14:57:07.080806800,2
1142,14:57:07.143820900,2
1143,14:57:07.201833600,2
1144,14:57:07.278851300,1
1145,14:57:07.343865800,1
1146,14:57:07.401878900,2
1147,14:57:07.482897100,1
1148,14:57:07.548847100,1
1149,14:57:07.606859300,2
1150,14:57:07.679875500,2
1151,14:57:07.754892200,2
1152,14:57:07.813906200,2
1153,14:57:07.883921800,2
1154,14:57:07.963939700,2
1155,14:57:08.024953700,2
1156,14:57:08.093969300,2
1157,14:57:08.170986400,1
1158,14:57:08.228999400,2
1159,14:57:08.292013500,2
1160,14:57:08.371031400,1
1161,14:57:08.431044700,2
1162,14:57:08.490057900,2
1163,14:57:08.568075400,2
1164,14:57:08.633090,2
1165,14:57:08.700104700,2
1166,14:57:08.786982,2
1167,14:57:08.853328300,2
1168,14:57:08.911341600,2
1169,14:57:08.990359500,2
1170,14:57:09.061213600,2
1171,14:57:09.118226500,1
1172,14:57:09.180240500,2
1173,14:57:09.260258600,1
1174,14:57:09.322272300,2
1175,14:57:09.378285,2
1176,14:57:09.469305500,2
1177,14:57:09.535320200,1
1178,14:57:09.599334500,2
1179,14:57:09.688354500,2
1180,14:57:09.769457400,1
1181,14:57:09.827470400,2
1182,14:57:09.905488200,2
1183,14:57:09.973503300,2
1184,14:57:10.031516300,2
1185,14:57:10.102532400,2
1186,14:57:10.176548800,1
1187,14:57:10.234562,2
1188,14:57:10.295575800,2
1189,14:57:10.373593700,2
1190,14:57:10.434606900,2
1191,14:57:10.491619700,2
1192,14:57:10.572638100,2
1193,14:57:10.638652700,2
1194,14:57:10.696665700,1
1195,14:57:10.767681800,1
1196,14:57:10.845076300,2
1197,14:57:10.903389600,2
1198,14:57:10.965403200,3
1199,14:57:11.045984700,1
1200,14:57:11.107998800,2
1201,14:57:11.166011500,2
1202,14:57:11.246029300,1
1203,14:57:11.311044,1
1204,14:57:11.368057500,2
1205,14:57:11.449075300,2
1206,14:57:11.514089800,1
1207,14:57:11.572103,2
1208,14:57:11.652393300,2
1209,14:57:11.717407900,1
1210,14:57:11.774420900,2
1211,14:57:11.852316500,2
1212,14:57:11.918330800,1
1213,14:57:11.975343900,2
1214,14:57:12.087369,2
1215,14:57:12.179389600,2
1216,14:57:12.260407800,2
1217,14:57:12.326422500,1
1218,14:57:12.384436300,2
1219,14:57:12.464453700,1
1220,14:57:12.528467900,2
1221,14:57:12.587481900,1
1222,14:57:12.667499200,2
1223,14:57:12.731513500,2
1224,14:57:12.789526500,1
1225,14:57:12.866133400,1
1226,14:57:12.952393100,2
1227,14:57:13.021409200,1
1228,14:57:13.101426500,1
1229,14:57:13.160439900,2
1230,14:57:13.227454900,2
1231,14:57:13.307472900,1
1232,14:57:13.366486900,2
1233,14:57:13.433500900,2
1234,14:57:13.517520,2
1235,14:57:13.576533200,2
1236,14:57:13.646549200,2
1237,14:57:13.725566800,2
1238,14:57:13.782579500,2
1239,14:57:13.848598300,2
1240,14:57:13.927615700,1
1241,14:57:13.986629100,2
1242,14:57:14.056644400,2
1243,14:57:14.139663500,2
1244,14:57:14.197676900,3
1245,14:57:14.265123100,2
1246,14:57:14.342140400,2
1247,14:57:14.401153600,2
1248,14:57:14.468168800,2
1249,14:57:14.556188800,2
1250,14:57:14.619202500,2
1251,14:57:14.690219100,1
1252,14:57:14.764235300,1
1253,14:57:14.822422800,1
1254,14:57:14.882436800,2
1255,14:57:14.962454400,1
1256,14:57:15.023467800,2
1257,14:57:15.082481400,2
1258,14:57:15.164499300,1
1259,14:57:15.229514300,1
1260,14:57:15.288527400,2
