Total Objects, Sample Time,Memory Usage (MB)
1001,00:00:42.034366500,281.2015838623047
1002,00:00:42.088361300,283.1996307373047
1003,00:00:42.133355300,285.2015838623047
1004,00:00:42.178351800,285.2015838623047
1005,00:00:42.227836300,287.1996307373047
1006,00:00:42.279346300,289.2015838623047
1007,00:00:42.328345500,291.1996307373047
1008,00:00:42.377758900,293.2015838623047
1009,00:00:42.426814700,293.2015838623047
1010,00:00:42.478332100,295.1996307373047
1011,00:00:42.529330800,297.20182037353516
1012,00:00:42.575305900,299.1996307373047
1013,00:00:42.622815600,301.2015838623047
1014,00:00:42.675324200,301.2015838623047
1015,00:00:42.728316700,303.1996307373047
1016,00:00:42.773312100,305.2015838623047
1017,00:00:42.819309600,307.1996307373047
1018,00:00:42.871307300,309.2015838623047
1019,00:00:42.924348,309.2015838623047
1020,00:00:42.974451700,311.1996307373047
1021,00:00:43.021295800,313.2015838623047
1022,00:00:43.073300800,315.1996307373047
1023,00:00:43.123291500,317.2015838623047
1024,00:00:43.173704300,317.2015838623047
1025,00:00:43.220281400,319.1996307373047
1026,00:00:43.270700800,321.2015838623047
1027,00:00:43.324277200,323.1996307373047
1028,00:00:43.374758600,325.2015838623047
1029,00:00:43.422269200,325.2015838623047
1030,00:00:43.472267100,327.1996307373047
1031,00:00:43.531686,329.2015838623047
1032,00:00:43.582260600,331.1996307373047
1033,00:00:43.630253700,331.1996307373047
1034,00:00:43.676147500,333.2015838623047
1035,00:00:43.729668800,335.1996307373047
1036,00:00:43.781248100,337.2015838623047
1037,00:00:43.830237300,339.1996307373047
1038,00:00:43.880240700,339.1996307373047
1039,00:00:43.931233100,341.20745849609375
1040,00:00:43.985250,343.1996307373047
1041,00:00:44.033230300,345.2015838623047
1042,00:00:44.081643200,347.1996307373047
1043,00:00:44.134571500,347.1996307373047
1044,00:00:44.187219700,349.2015838623047
1045,00:00:44.234038800,351.1996307373047
1046,00:00:44.280208200,262.4740982055664
1047,00:00:44.341625900,264.2730026245117
1048,00:00:44.391766900,264.2730026245117
1049,00:00:44.438197900,266.2749557495117
1050,00:00:44.483887300,268.2730026245117
1051,00:00:44.534617100,270.2749557495117
1052,00:00:44.587624,272.2730026245117
1053,00:00:44.634184500,272.2730026245117
1054,00:00:44.678605900,274.2808303833008
1055,00:00:44.728597800,276.2730026245117
1056,00:00:44.779596400,278.2749557495117
1057,00:00:44.828175,280.2730026245117
1058,00:00:44.877589800,280.2730026245117
1059,00:00:44.928590700,282.2749557495117
1060,00:00:44.979582100,284.2730026245117
1061,00:00:45.030719700,286.2808303833008
1062,00:00:45.077573900,288.2730026245117
1063,00:00:45.122575,288.2730026245117
1064,00:00:45.174573400,290.2808303833008
1065,00:00:45.228145400,292.2730026245117
1066,00:00:45.275227200,294.2749557495117
1067,00:00:45.322558700,296.2730026245117
1068,00:00:45.383564400,296.2730026245117
1069,00:00:45.435554200,298.2749557495117
1070,00:00:45.484639400,300.2730026245117
1071,00:00:45.532541400,302.2886428833008
1072,00:00:45.583545700,304.2730026245117
1073,00:00:45.635536700,304.2730026245117
1074,00:00:45.684694100,306.2808303833008
1075,00:00:45.730527800,308.2730026245117
1076,00:00:45.780526200,310.2749557495117
1077,00:00:45.838526400,310.2749557495117
1078,00:00:45.888517,312.2730026245117
1079,00:00:45.936542900,314.2749557495117
1080,00:00:45.984856,316.2730026245117
1081,00:00:46.036657500,318.2749557495117
1082,00:00:46.089515900,318.2749557495117
1083,00:00:46.135504300,320.2730026245117
1084,00:00:46.185502600,322.2749557495117
1085,00:00:46.237500100,324.2730026245117
1086,00:00:46.288070,326.2749557495117
1087,00:00:46.334469100,326.2749557495117
1088,00:00:46.379066300,328.2730026245117
1089,00:00:46.434694500,330.2749557495117
1090,00:00:46.492503400,332.2730026245117
1091,00:00:46.542483600,334.2749557495117
1092,00:00:46.587917600,334.2749557495117
1093,00:00:46.650473,336.2730026245117
1094,00:00:46.703556600,338.2749557495117
1095,00:00:46.750041400,340.2730026245117
1096,00:00:46.796556300,342.2749557495117
1097,00:00:46.848451200,342.2749557495117
1098,00:00:46.901365900,344.2730026245117
1099,00:00:46.950443200,346.2749557495117
1100,00:00:46.997023900,348.2730026245117
1101,00:00:47.057191500,350.2749557495117
1102,00:00:47.120439300,350.2749557495117
1103,00:00:47.181429900,352.2730026245117
1104,00:00:47.227007600,273.6527557373047
1105,00:00:47.307432400,275.4888687133789
1106,00:00:47.379422500,275.80711364746094
1107,00:00:47.427408100,277.64517974853516
1108,00:00:47.474411400,279.4813461303711
1109,00:00:47.525553700,281.6452865600586
1110,00:00:47.576407800,283.49700927734375
1111,00:00:47.624600500,283.80711364746094
1112,00:00:47.670410100,285.64517974853516
1113,00:00:47.722044100,287.4812927246094
1114,00:00:47.772973200,289.64517974853516
