Total Objects, Sample Time,Time (ms)
1001,00:00:42.034366500,4
1002,00:00:42.088361300,4
1003,00:00:42.133355300,4
1004,00:00:42.178351800,4
1005,00:00:42.227836300,4
1006,00:00:42.279346300,5
1007,00:00:42.328345500,4
1008,00:00:42.377758900,4
1009,00:00:42.426814700,5
1010,00:00:42.478332100,5
1011,00:00:42.529330800,4
1012,00:00:42.575305900,5
1013,00:00:42.622815600,5
1014,00:00:42.675324200,4
1015,00:00:42.728316700,4
1016,00:00:42.773312100,4
1017,00:00:42.819309600,5
1018,00:00:42.871307300,4
1019,00:00:42.924348,5
1020,00:00:42.974451700,4
1021,00:00:43.021295800,5
1022,00:00:43.073300800,4
1023,00:00:43.123291500,4
1024,00:00:43.173704300,4
1025,00:00:43.220281400,4
1026,00:00:43.270700800,5
1027,00:00:43.324277200,4
1028,00:00:43.374758600,4
1029,00:00:43.422269200,4
1030,00:00:43.472267100,5
1031,00:00:43.531686,5
1032,00:00:43.582260600,5
1033,00:00:43.630253700,4
1034,00:00:43.676147500,5
1035,00:00:43.729668800,5
1036,00:00:43.781248100,5
1037,00:00:43.830237300,5
1038,00:00:43.880240700,4
1039,00:00:43.931233100,5
1040,00:00:43.985250,5
1041,00:00:44.033230300,4
1042,00:00:44.081643200,5
1043,00:00:44.134571500,5
1044,00:00:44.187219700,4
1045,00:00:44.234038800,4
1046,00:00:44.280208200,12
1047,00:00:44.341625900,4
1048,00:00:44.391766900,4
1049,00:00:44.438197900,4
1050,00:00:44.483887300,4
1051,00:00:44.534617100,5
1052,00:00:44.587624,4
1053,00:00:44.634184500,3
1054,00:00:44.678605900,4
1055,00:00:44.728597800,5
1056,00:00:44.779596400,5
1057,00:00:44.828175,4
1058,00:00:44.877589800,5
1059,00:00:44.928590700,4
1060,00:00:44.979582100,5
1061,00:00:45.030719700,3
1062,00:00:45.077573900,4
1063,00:00:45.122575,5
1064,00:00:45.174573400,5
1065,00:00:45.228145400,4
1066,00:00:45.275227200,4
1067,00:00:45.322558700,5
1068,00:00:45.383564400,4
1069,00:00:45.435554200,5
1070,00:00:45.484639400,5
1071,00:00:45.532541400,5
1072,00:00:45.583545700,5
1073,00:00:45.635536700,5
1074,00:00:45.684694100,4
1075,00:00:45.730527800,4
1076,00:00:45.780526200,5
1077,00:00:45.838526400,5
1078,00:00:45.888517,4
1079,00:00:45.936542900,4
1080,00:00:45.984856,4
1081,00:00:46.036657500,5
1082,00:00:46.089515900,4
1083,00:00:46.135504300,4
1084,00:00:46.185502600,5
1085,00:00:46.237500100,4
1086,00:00:46.288070,5
1087,00:00:46.334469100,4
1088,00:00:46.379066300,5
1089,00:00:46.434694500,5
1090,00:00:46.492503400,4
1091,00:00:46.542483600,4
1092,00:00:46.587917600,4
1093,00:00:46.650473,5
1094,00:00:46.703556600,4
1095,00:00:46.750041400,5
1096,00:00:46.796556300,5
1097,00:00:46.848451200,4
1098,00:00:46.901365900,5
1099,00:00:46.950443200,4
1100,00:00:46.997023900,6
1101,00:00:47.057191500,5
