Total Objects, Sample Time,CPU Usage
2001,01:51:27.786415700,11.170946254735444
2002,01:51:27.922992900,11.170946254735444
2003,01:51:28.057993900,15.066262628340452
2004,01:51:28.193998800,15.066262628340452
2005,01:51:28.325142500,15.066262628340452
2006,01:51:28.444146300,15.066262628340452
2007,01:51:28.577110800,13.322689960668862
2008,01:51:28.705107100,13.322689960668862
2009,01:51:28.832100600,13.322689960668862
2010,01:51:28.959135900,13.322689960668862
2011,01:51:29.087132400,12.064696112503967
2012,01:51:29.228130400,12.064696112503967
2013,01:51:29.352140900,12.064696112503967
2014,01:51:29.487181600,12.064696112503967
2015,01:51:29.614194200,11.710315550786516
2016,01:51:29.734194200,11.710315550786516
2017,01:51:29.871180100,11.710315550786516
2018,01:51:29.998184900,11.710315550786516
2019,01:51:30.159188100,11.90938799715747
2020,01:51:30.336182400,11.90938799715747
2021,01:51:30.464191500,11.90938799715747
2022,01:51:30.624181400,11.90938799715747
2023,01:51:30.804191200,12.347015538669668
2024,01:51:31.022192900,12.347015538669668
2025,01:51:31.224187100,11.342911832544502
2026,01:51:31.446181800,11.342911832544502
2027,01:51:31.614197700,11.342911832544502
2028,01:51:31.750181700,11.342911832544502
2029,01:51:31.881182,11.980373029723825
2030,01:51:31.999189900,11.980373029723825
2031,01:51:32.141236900,11.980373029723825
2032,01:51:32.294234400,11.487839824393756
2033,01:51:32.442230300,11.487839824393756
2034,01:51:32.610227,11.487839824393756
2035,01:51:32.751224500,11.487839824393756
2036,01:51:32.895810300,12.401083993633184
2037,01:51:33.045812200,12.401083993633184
2038,01:51:33.192823200,12.401083993633184
2039,01:51:33.331812900,11.126873753671452
2040,01:51:33.486813200,11.126873753671452
2041,01:51:33.630816800,11.126873753671452
2042,01:51:33.790811300,19.419509396031028
2043,01:51:34.019813600,19.419509396031028
2044,01:51:34.194044300,19.419509396031028
2045,01:51:34.351049,12.321938136378817
2046,01:51:34.518040400,12.321938136378817
2047,01:51:34.671044700,12.321938136378817
2048,01:51:34.815044200,12.321938136378817
2049,01:51:34.963038700,12.230771368331734
