Total Objects, Sample Time,Memory Usage (MB)
2001,01:51:27.786415700,425.78208923339844
2002,01:51:27.922992900,428.28404235839844
2003,01:51:28.057993900,430.78208923339844
2004,01:51:28.193998800,433.28404235839844
2005,01:51:28.325142500,435.78208923339844
2006,01:51:28.444146300,438.28404235839844
2007,01:51:28.577110800,441.28404235839844
2008,01:51:28.705107100,443.78208923339844
2009,01:51:28.832100600,446.28404235839844
2010,01:51:28.959135900,448.78208923339844
2011,01:51:29.087132400,451.2899169921875
2012,01:51:29.228130400,453.78208923339844
2013,01:51:29.352140900,456.28404235839844
2014,01:51:29.487181600,458.78208923339844
2015,01:51:29.614194200,461.28404235839844
2016,01:51:29.734194200,463.78208923339844
2017,01:51:29.871180100,466.28404235839844
2018,01:51:29.998184900,469.28404235839844
2019,01:51:30.159188100,471.78208923339844
2020,01:51:30.336182400,474.28404235839844
2021,01:51:30.464191500,476.78208923339844
2022,01:51:30.624181400,479.2977294921875
2023,01:51:30.804191200,481.78208923339844
2024,01:51:31.022192900,484.28404235839844
2025,01:51:31.224187100,486.78208923339844
2026,01:51:31.446181800,489.28404235839844
2027,01:51:31.614197700,491.78208923339844
2028,01:51:31.750181700,494.28404235839844
2029,01:51:31.881182,497.28404235839844
2030,01:51:31.999189900,499.78208923339844
2031,01:51:32.141236900,502.28404235839844
2032,01:51:32.294234400,504.78208923339844
2033,01:51:32.442230300,507.2977294921875
2034,01:51:32.610227,509.78208923339844
2035,01:51:32.751224500,512.2840423583984
2036,01:51:32.895810300,514.7820892333984
2037,01:51:33.045812200,517.2840423583984
2038,01:51:33.192823200,519.7820892333984
2039,01:51:33.331812900,522.2840423583984
2040,01:51:33.486813200,525.2840423583984
2041,01:51:33.630816800,527.7820892333984
2042,01:51:33.790811300,412.8782043457031
2043,01:51:34.019813600,415.3762512207031
2044,01:51:34.194044300,417.8782043457031
2045,01:51:34.351049,420.3762512207031
2046,01:51:34.518040400,422.8782043457031
2047,01:51:34.671044700,425.3762512207031
2048,01:51:34.815044200,427.8782043457031
2049,01:51:34.963038700,430.8782043457031
2050,01:51:35.117040500,433.3762512207031
2051,01:51:35.251045900,435.8782043457031
2052,01:51:35.399038600,438.3762512207031
2053,01:51:35.550131500,440.8782043457031
2054,01:51:35.682144500,443.3762512207031
2055,01:51:35.813125900,445.8782043457031
2056,01:51:35.933133900,448.3762512207031
2057,01:51:36.059127200,450.8782043457031
2058,01:51:36.182224100,453.3762512207031
2059,01:51:36.302223,455.8918914794922
2060,01:51:36.441224,458.3762512207031
2061,01:51:36.567291,461.3762512207031
2062,01:51:36.694290200,463.8782043457031
2063,01:51:36.822292500,466.3762512207031
2064,01:51:36.945307400,468.8782043457031
2065,01:51:37.077294500,471.3762512207031
2066,01:51:37.255354500,473.8782043457031
2067,01:51:37.381349500,476.3762512207031
2068,01:51:37.511348900,478.8782043457031
2069,01:51:37.636349900,481.3762512207031
2070,01:51:37.761347900,483.8782043457031
2071,01:51:37.892470800,486.3762512207031
2072,01:51:38.009474400,489.3762512207031
2073,01:51:38.149469800,491.8782043457031
2074,01:51:38.267498700,494.3762512207031
2075,01:51:38.393498800,496.8782043457031
2076,01:51:38.522505200,499.3762512207031
2077,01:51:38.644500200,501.8782043457031
2078,01:51:38.768503,504.3762512207031
2079,01:51:38.881499500,506.8782043457031
2080,01:51:38.999508500,509.3762512207031
2081,01:51:39.124499,511.8782043457031
2082,01:51:39.255927100,514.3762512207031
2083,01:51:39.375920,517.3762512207031
2084,01:51:39.506918400,519.8782043457031
2085,01:51:39.631932400,522.3762512207031
2086,01:51:39.763919500,524.8782043457031
2087,01:51:39.893932700,527.3762512207031
2088,01:51:40.009927200,529.8782043457031
2089,01:51:40.144925300,532.3762512207031
2090,01:51:40.266128400,534.8782043457031
2091,01:51:40.389127700,537.3762512207031
2092,01:51:40.515132200,539.8782043457031
2093,01:51:40.636128500,542.3762512207031
2094,01:51:40.770135100,545.3762512207031
2095,01:51:40.896150900,547.8782043457031
2096,01:51:41.075156400,550.3762512207031
2097,01:51:41.283152900,552.8782043457031
2098,01:51:41.497150800,555.3762512207031
2099,01:51:41.704139,557.8782043457031
2100,01:51:41.937143,560.3762512207031
2101,01:51:42.162143700,563.3762512207031
2102,01:51:42.366280900,565.8782043457031
2103,01:51:42.573281700,568.3762512207031
2104,01:51:42.758286900,570.8782043457031
2105,01:51:42.937267,573.3762512207031
2106,01:51:43.087266,575.8782043457031
2107,01:51:43.204277100,578.3762512207031
2108,01:51:43.338415200,580.8782043457031
2109,01:51:43.459425700,583.3762512207031
2110,01:51:43.578416300,585.8782043457031
2111,01:51:43.700429,588.3762512207031
2112,01:51:43.821414,591.3762512207031
2113,01:51:43.949420200,593.8782043457031
2114,01:51:44.066414300,596.3762512207031
2115,01:51:44.188425800,598.8782043457031
2116,01:51:44.305420600,601.3762512207031
2117,01:51:44.435639500,603.8782043457031
2118,01:51:44.616626900,433.0
2119,01:51:44.756626500,435.501953125
2120,01:51:44.885633700,438.0
2121,01:51:45.005630400,440.501953125
