Total Objects, Sample Time,Time (ms)
2001,00:01:35.452302200,3
2002,00:01:35.510679500,2
2003,00:01:35.562791900,2
2004,00:01:35.617337100,2
2005,00:01:35.664667400,3
2006,00:01:35.716592800,3
2007,00:01:35.771081600,3
2008,00:01:35.821656900,1
2009,00:01:35.869651800,3
2010,00:01:35.924124200,3
2011,00:01:35.979068400,2
2012,00:01:36.029641300,3
2013,00:01:36.079062,1
2014,00:01:36.129636500,3
2015,00:01:36.184056100,2
2016,00:01:36.234641600,3
2017,00:01:36.284624900,2
2018,00:01:36.333776400,2
2019,00:01:36.385557100,4
2020,00:01:36.440612900,3
2021,00:01:36.491613100,2
2022,00:01:36.548614400,2
2023,00:01:36.603416600,1
2024,00:01:36.655599,2
2025,00:01:36.705601,2
2026,00:01:36.765597100,4
2027,00:01:36.827010900,3
2028,00:01:36.879007400,2
2029,00:01:36.932583400,4
2030,00:01:36.989576900,2
2031,00:01:37.044993200,3
2032,00:01:37.094290400,2
2033,00:01:37.142574400,3
2034,00:01:37.197037400,3
2035,00:01:37.250561600,2
2036,00:01:37.300555200,2
2037,00:01:37.349551200,2
2038,00:01:37.402382900,2
2039,00:01:37.455544400,1
2040,00:01:37.503542800,2
2041,00:01:37.550799400,2
2042,00:01:37.603535800,2
2043,00:01:37.657532400,2
2044,00:01:37.706527900,3
2045,00:01:37.755522500,2
2046,00:01:37.808701900,3
2047,00:01:37.884933500,2
2048,00:01:37.934578400,2
2049,00:01:37.987509300,2
2050,00:01:38.042509300,1
2051,00:01:38.092129400,1
2052,00:01:38.139500400,2
2053,00:01:38.188496200,3
2054,00:01:38.244492200,2
2055,00:01:38.295485900,2
2056,00:01:38.342485,3
2057,00:01:38.424015900,2
2058,00:01:38.487476900,3
2059,00:01:38.557474600,2
2060,00:01:38.615466500,3
2061,00:01:38.674775500,2
2062,00:01:38.726454900,2
2063,00:01:38.774453400,3
2064,00:01:38.830871900,2
2065,00:01:38.885445600,3
2066,00:01:38.937441700,2
2067,00:01:38.987436500,2
2068,00:01:39.039440800,1
2069,00:01:39.092377100,2
2070,00:01:39.142480200,2
2071,00:01:39.191427,2
2072,00:01:39.241770100,1
2073,00:01:39.297418500,3
2074,00:01:39.350522200,3
2075,00:01:39.400409200,2
2076,00:01:39.453464900,2
2077,00:01:39.509407600,3
2078,00:01:39.560398300,2
2079,00:01:39.608815700,2
2080,00:01:39.661537700,2
2081,00:01:39.715388300,1
2082,00:01:39.764387700,2
2083,00:01:39.814382900,3
2084,00:01:39.866628800,3
2085,00:01:39.921863100,2
2086,00:01:39.974371500,2
2087,00:01:40.024369200,2
2088,00:01:40.075362800,3
2089,00:01:40.132361800,3
2090,00:01:40.184357400,2
2091,00:01:40.232353500,2
2092,00:01:40.283378700,3
2093,00:01:40.338475400,3
2094,00:01:40.390345400,3
2095,00:01:40.448347900,4
2096,00:01:40.521387300,2
2097,00:01:40.584333300,2
2098,00:01:40.635579500,2
2099,00:01:40.684323100,4
2100,00:01:40.741329300,2
2101,00:01:40.798327,3
2102,00:01:40.850311700,2
2103,00:01:40.900313,2
2104,00:01:40.954307400,3
2105,00:01:41.007299100,2
2106,00:01:41.056298,4
2107,00:01:41.122731400,2
2108,00:01:41.175294,3
2109,00:01:41.227285900,4
2110,00:01:41.289282700,3
2111,00:01:41.345282800,3
2112,00:01:41.401271200,3
2113,00:01:41.460273900,2
2114,00:01:41.515689500,3
2115,00:01:41.586266100,3
2116,00:01:41.642528,2
2117,00:01:41.689251100,3
2118,00:01:41.739808100,3
2119,00:01:41.797673500,2
2120,00:01:41.849243100,3
2121,00:01:41.901313900,4
2122,00:01:41.958661400,2
2123,00:01:42.013656300,3
2124,00:01:42.070651800,2
2125,00:01:42.119646100,2
2126,00:01:42.172156900,2
2127,00:01:42.231640200,3
2128,00:01:42.284215300,2
2129,00:01:42.336635300,4
2130,00:01:42.402627700,3
2131,00:01:42.457619900,2
2132,00:01:42.507195600,2
2133,00:01:42.554415800,4
2134,00:01:42.609612500,2
2135,00:01:42.671611800,2
2136,00:01:42.721601800,3
2137,00:01:42.769179400,3
2138,00:01:42.821597,2
2139,00:01:42.874591700,1
2140,00:01:42.925165100,1
2141,00:01:42.971687800,2
2142,00:01:43.021166200,3
2143,00:01:43.077582800,3
2144,00:01:43.129153300,3
2145,00:01:43.185571300,2
2146,00:01:43.236572600,3
2147,00:01:43.291152300,3
2148,00:01:43.344560300,3
2149,00:01:43.392999500,3
2150,00:01:43.444139300,3
2151,00:01:43.499551200,2
2152,00:01:43.552544900,2
2153,00:01:43.601169100,3
2154,00:01:43.649539,3
2155,00:01:43.703540,3
2156,00:01:43.756533900,3
2157,00:01:43.806545400,2
2158,00:01:43.855105400,3
2159,00:01:43.911413400,2
2160,00:01:43.964096600,2
2161,00:01:44.011336700,1
2162,00:01:44.058090400,2
2163,00:01:44.111762400,2
2164,00:01:44.164503200,3
2165,00:01:44.212703600,3
2166,00:01:44.262605600,3
2167,00:01:44.319493600,2
2168,00:01:44.372569100,3
2169,00:01:44.421482100,2
2170,00:01:44.469063,3
2171,00:01:44.523480600,4
2172,00:01:44.576052400,3
2173,00:01:44.625470,3
2174,00:01:44.675049400,2
2175,00:01:44.730051600,2
2176,00:01:44.781461300,3
2177,00:01:44.842464900,4
2178,00:01:44.920459300,3
2179,00:01:44.981452700,2
2180,00:01:45.029443600,2
2181,00:01:45.078416100,2
2182,00:01:45.134436600,2
2183,00:01:45.186430500,3
2184,00:01:45.236429700,1
2185,00:01:45.283424600,3
2186,00:01:45.339427500,3
2187,00:01:45.394909400,2
2188,00:01:45.441414600,2
2189,00:01:45.504408200,2
2190,00:01:45.559366700,3
2191,00:01:45.612874500,2
2192,00:01:45.661399100,2
2193,00:01:45.710398300,3
2194,00:01:45.764399900,1
2195,00:01:45.815972100,2
2196,00:01:45.864966400,2
2197,00:01:45.934490300,2
2198,00:01:45.998376900,3
2199,00:01:46.050376,3
2200,00:01:46.101375800,2
2201,00:01:46.159369800,3
2202,00:01:46.215361600,2
2203,00:01:46.266359100,3
2204,00:01:46.318359800,3
2205,00:01:46.377350500,3
2206,00:01:46.433352300,2
2207,00:01:46.485395500,3
2208,00:01:46.539339500,3
2209,00:01:46.593733100,3
2210,00:01:46.647354800,3
2211,00:01:46.694904400,3
2212,00:01:46.743324800,3
2213,00:01:46.797906300,3
2214,00:01:46.850899500,2
2215,00:01:46.900891900,2
2216,00:01:46.949429,3
2217,00:01:47.005307600,2
2218,00:01:47.058299600,1
2219,00:01:47.105302900,3
2220,00:01:47.163298300,3
2221,00:01:47.217871800,2
2222,00:01:47.268290600,4
2223,00:01:47.327296400,4
2224,00:01:47.396867,4
2225,00:01:47.456278700,2
2226,00:01:47.504851900,2
2227,00:01:47.550376800,2
2228,00:01:47.601807100,3
2229,00:01:47.657841500,1
2230,00:01:47.705747600,3
2231,00:01:47.753840,3
2232,00:01:47.804862900,2
2233,00:01:47.857829700,2
2234,00:01:47.907473700,3
2235,00:01:47.955242200,3
2236,00:01:48.005240600,2
2237,00:01:48.057812300,1
2238,00:01:48.107231300,3
2239,00:01:48.155387300,1
2240,00:01:48.202087,2
2241,00:01:48.254964500,2
2242,00:01:48.308216300,2
2243,00:01:48.355207600,2
2244,00:01:48.402842400,2
2245,00:01:48.454788600,4
2246,00:01:48.508782600,3
2247,00:01:48.557778900,1
2248,00:01:48.603064,3
2249,00:01:48.657773300,2
2250,00:01:48.710797500,3
2251,00:01:48.766768700,1
2252,00:01:48.817180400,2
2253,00:01:48.868185400,3
2254,00:01:48.920754400,1
2255,00:01:48.969674600,2
2256,00:01:49.016164500,2
2257,00:01:49.068744700,2
2258,00:01:49.121311500,2
2259,00:01:49.174157900,3
2260,00:01:49.224735500,4
2261,00:01:49.279154300,3
2262,00:01:49.336730700,2
2263,00:01:49.401325600,3
2264,00:01:49.453505300,3
2265,00:01:49.514721900,3
2266,00:01:49.571408300,2
2267,00:01:49.624129100,3
2268,00:01:49.673411400,2
2269,00:01:49.729140,2
2270,00:01:49.813750,2
2271,00:01:49.861108800,2
2272,00:01:49.913083700,3
2273,00:01:49.965686400,4
2274,00:01:50.017677600,2
2275,00:01:50.066675,2
2276,00:01:50.118283700,2
2277,00:01:50.170670600,1
2278,00:01:50.222760400,2
2279,00:01:50.270660200,3
2280,00:01:50.320661500,3
2281,00:01:50.375370400,2
2282,00:01:50.424651800,1
2283,00:01:50.470645800,2
2284,00:01:50.521069100,2
2285,00:01:50.572756,3
2286,00:01:50.625634,2
2287,00:01:50.672302300,3
2288,00:01:50.722632400,2
2289,00:01:50.775049700,3
2290,00:01:50.828627500,2
2291,00:01:50.875616700,2
2292,00:01:50.924376400,3
2293,00:01:50.978611800,3
2294,00:01:51.032330900,1
2295,00:01:51.079022800,2
2296,00:01:51.126605100,3
2297,00:01:51.180021,2
2298,00:01:51.233641100,2
2299,00:01:51.280595300,3
2300,00:01:51.329589800,2
2301,00:01:51.383403900,3
2302,00:01:51.436340800,3
2303,00:01:51.485575400,2
2304,00:01:51.532938300,3
2305,00:01:51.586571600,4
2306,00:01:51.640624800,2
2307,00:01:51.688561600,2
2308,00:01:51.736985600,3
2309,00:01:51.789556700,2
2310,00:01:51.841565600,2
2311,00:01:51.889601900,2
2312,00:01:51.936548200,1
2313,00:01:51.988547500,3
2314,00:01:52.043542100,2
2315,00:01:52.090538200,3
2316,00:01:52.140531300,2
2317,00:01:52.193456300,2
2318,00:01:52.246608100,2
2319,00:01:52.294521400,1
2320,00:01:52.340520700,1
2321,00:01:52.394519400,3
2322,00:01:52.447516,3
2323,00:01:52.495508800,2
2324,00:01:52.541646600,2
2325,00:01:52.589925,3
2326,00:01:52.642504200,2
2327,00:01:52.694577300,1
2328,00:01:52.740491900,5
2329,00:01:52.815488,3
2330,00:01:52.876486500,3
2331,00:01:52.932486100,3
2332,00:01:53.002479300,2
2333,00:01:53.064479200,2
2334,00:01:53.115472200,2
2335,00:01:53.162795700,3
2336,00:01:53.212632900,3
2337,00:01:53.269456,4
2338,00:01:53.330452600,2
2339,00:01:53.379449200,2
2340,00:01:53.427444,3
2341,00:01:53.482454800,3
2342,00:01:53.536437900,3
2343,00:01:53.585430700,2
2344,00:01:53.633569400,3
2345,00:01:53.687401,3
2346,00:01:53.741431700,3
2347,00:01:53.791872400,3
2348,00:01:53.840413300,3
2349,00:01:53.896414900,2
2350,00:01:53.949413400,1
2351,00:01:53.999405600,3
2352,00:01:54.051406400,3
2353,00:01:54.105493100,3
2354,00:01:54.159395600,2
2355,00:01:54.206758200,2
2356,00:01:54.254387400,2
2357,00:01:54.308387400,2
2358,00:01:54.360421900,1
2359,00:01:54.408376200,2
2360,00:01:54.457371300,2
2361,00:01:54.510372300,1
2362,00:01:54.562299200,2
2363,00:01:54.611834200,2
2364,00:01:54.661366,3
2365,00:01:54.720364200,3
2366,00:01:54.774353900,2
2367,00:01:54.824625500,2
2368,00:01:54.870769500,3
2369,00:01:54.926343700,1
2370,00:01:54.980341300,3
2371,00:01:55.031534600,2
2372,00:01:55.080331200,3
2373,00:01:55.133280,4
2374,00:01:55.188322600,3
2375,00:01:55.238319300,3
2376,00:01:55.287315500,2
2377,00:01:55.341316,3
2378,00:01:55.396383600,4
2379,00:01:55.447302500,3
2380,00:01:55.496301500,11
2381,00:01:55.560727300,4
2382,00:01:55.616659700,2
2383,00:01:55.663524400,3
2384,00:01:55.717294500,2
2385,00:01:55.778328500,3
2386,00:01:55.834281300,3
2387,00:01:55.885699600,3
2388,00:01:55.941273300,3
2389,00:01:55.999271600,2
2390,00:01:56.052126100,2
2391,00:01:56.102608400,3
2392,00:01:56.158680900,3
2393,00:01:56.215255200,2
2394,00:01:56.264763400,3
2395,00:01:56.343670900,3
2396,00:01:56.397324500,1
2397,00:01:56.447233700,2
2398,00:01:56.494233,3
2399,00:01:56.544651700,3
2400,00:01:56.600227300,3
2401,00:01:56.653431200,3
2402,00:01:56.702417600,2
2403,00:01:56.751751400,3
2404,00:01:56.805637300,3
2405,00:01:56.857628200,3
2406,00:01:56.907732400,3
2407,00:01:56.957622700,3
2408,00:01:57.010653100,4
2409,00:01:57.064614700,3
2410,00:01:57.112609300,2
2411,00:01:57.161607900,2
2412,00:01:57.213606300,3
2413,00:01:57.265180700,3
2414,00:01:57.315593300,4
2415,00:01:57.369598800,2
2416,00:01:57.424703900,4
2417,00:01:57.477584700,1
2418,00:01:57.523168600,3
2419,00:01:57.572580,2
2420,00:01:57.625577200,2
2421,00:01:57.676574,1
2422,00:01:57.723568700,1
2423,00:01:57.769564300,2
2424,00:01:57.820564700,3
2425,00:01:57.874559500,3
2426,00:01:57.923471600,2
2427,00:01:57.971552600,1
2428,00:01:58.024549500,1
2429,00:01:58.075547,3
2430,00:01:58.125329200,2
2431,00:01:58.171539500,3
2432,00:01:58.224537100,3
2433,00:01:58.286536,3
2434,00:01:58.341105400,3
2435,00:01:58.392742,2
2436,00:01:58.445514600,3
2437,00:01:58.499518,3
2438,00:01:58.548513100,2
2439,00:01:58.595503600,3
2440,00:01:58.647994300,2
2441,00:01:58.699569500,3
2442,00:01:58.750497300,3
2443,00:01:58.799490200,4
2444,00:01:58.853992600,3
2445,00:01:58.908068300,2
2446,00:01:58.955479900,3
2447,00:01:59.006066500,2
2448,00:01:59.059055800,3
2449,00:01:59.114482700,1
2450,00:01:59.160470200,2
2451,00:01:59.207041700,1
2452,00:01:59.257562900,3
2453,00:01:59.311458700,3
2454,00:01:59.361457200,1
2455,00:01:59.407448100,2
2456,00:01:59.460451400,2
2457,00:01:59.514447600,3
2458,00:01:59.565438800,3
2459,00:01:59.613439200,3
2460,00:01:59.661434700,3
2461,00:01:59.715435,2
2462,00:01:59.766432,3
2463,00:01:59.815004800,3
2464,00:01:59.865422400,2
2465,00:01:59.918415900,2
2466,00:01:59.970403500,4
2467,00:02:00.024413200,4
2468,00:02:00.079407600,2
2469,00:02:00.133366400,2
2470,00:02:00.186543,2
2471,00:02:00.235974,2
2472,00:02:00.287277600,3
2473,00:02:00.344737500,3
2474,00:02:00.399354700,2
2475,00:02:00.448383700,2
2476,00:02:00.500381100,3
2477,00:02:00.554961100,3
2478,00:02:00.606404700,2
2479,00:02:00.668542500,1
2480,00:02:00.717366600,3
2481,00:02:00.772730700,3
2482,00:02:00.825185700,2
2483,00:02:00.872147,3
2484,00:02:00.925658,2
2485,00:02:00.978343900,2
2486,00:02:01.031342700,2
2487,00:02:01.099341500,2
