Total Objects, Sample Time,Memory Usage (MB)
2001,01:51:27.786415700,426.78208923339844
2002,01:51:27.922992900,429.28404235839844
2003,01:51:28.057993900,432.28404235839844
2004,01:51:28.193998800,434.78208923339844
2005,01:51:28.325142500,437.28404235839844
2006,01:51:28.444146300,439.78208923339844
2007,01:51:28.577110800,442.28404235839844
2008,01:51:28.705107100,444.78208923339844
2009,01:51:28.832100600,447.28404235839844
2010,01:51:28.959135900,449.78208923339844
2011,01:51:29.087132400,452.28404235839844
2012,01:51:29.228130400,454.78208923339844
2013,01:51:29.352140900,457.2977294921875
2014,01:51:29.487181600,459.78404235839844
2015,01:51:29.614194200,462.78208923339844
2016,01:51:29.734194200,465.28404235839844
2017,01:51:29.871180100,467.78208923339844
2018,01:51:29.998184900,470.28404235839844
2019,01:51:30.159188100,472.78208923339844
2020,01:51:30.336182400,475.28404235839844
2021,01:51:30.464191500,477.78208923339844
2022,01:51:30.624181400,480.28404235839844
2023,01:51:30.804191200,482.78208923339844
2024,01:51:31.022192900,485.2977294921875
2025,01:51:31.224187100,487.78208923339844
2026,01:51:31.446181800,490.78208923339844
2027,01:51:31.614197700,493.28404235839844
2028,01:51:31.750181700,495.78208923339844
2029,01:51:31.881182,498.28404235839844
2030,01:51:31.999189900,500.78208923339844
2031,01:51:32.141236900,503.28404235839844
2032,01:51:32.294234400,505.78208923339844
2033,01:51:32.442230300,508.28404235839844
2034,01:51:32.610227,510.78208923339844
2035,01:51:32.751224500,513.2977294921875
2036,01:51:32.895810300,515.7820892333984
2037,01:51:33.045812200,518.7820892333984
2038,01:51:33.192823200,521.2840423583984
2039,01:51:33.331812900,523.7820892333984
2040,01:51:33.486813200,526.2840423583984
2041,01:51:33.630816800,528.7820892333984
2042,01:51:33.790811300,413.8782043457031
2043,01:51:34.019813600,416.3762512207031
2044,01:51:34.194044300,418.8782043457031
2045,01:51:34.351049,421.3762512207031
2046,01:51:34.518040400,424.3762512207031
2047,01:51:34.671044700,426.8782043457031
2048,01:51:34.815044200,429.3762512207031
2049,01:51:34.963038700,431.8782043457031
2050,01:51:35.117040500,434.3762512207031
2051,01:51:35.251045900,436.8782043457031
2052,01:51:35.399038600,439.3762512207031
2053,01:51:35.550131500,441.8782043457031
2054,01:51:35.682144500,444.3762512207031
2055,01:51:35.813125900,446.8782043457031
2056,01:51:35.933133900,449.3762512207031
2057,01:51:36.059127200,452.3762512207031
2058,01:51:36.182224100,454.8782043457031
2059,01:51:36.302223,457.3762512207031
2060,01:51:36.441224,459.8782043457031
2061,01:51:36.567291,462.3762512207031
2062,01:51:36.694290200,464.8840789794922
2063,01:51:36.822292500,467.3762512207031
2064,01:51:36.945307400,469.8782043457031
2065,01:51:37.077294500,472.3762512207031
2066,01:51:37.255354500,474.8782043457031
2067,01:51:37.381349500,477.3762512207031
2068,01:51:37.511348900,479.8782043457031
2069,01:51:37.636349900,482.8782043457031
2070,01:51:37.761347900,485.3762512207031
2071,01:51:37.892470800,487.8782043457031
2072,01:51:38.009474400,490.3762512207031
2073,01:51:38.149469800,492.8918914794922
2074,01:51:38.267498700,495.3762512207031
2075,01:51:38.393498800,497.8782043457031
2076,01:51:38.522505200,500.3762512207031
2077,01:51:38.644500200,502.8782043457031
2078,01:51:38.768503,505.3762512207031
2079,01:51:38.881499500,507.8782043457031
2080,01:51:38.999508500,510.8782043457031
2081,01:51:39.124499,513.3762512207031
2082,01:51:39.255927100,515.8782043457031
2083,01:51:39.375920,518.3762512207031
2084,01:51:39.506918400,520.8918914794922
2085,01:51:39.631932400,523.3762512207031
2086,01:51:39.763919500,525.8782043457031
2087,01:51:39.893932700,528.3762512207031
2088,01:51:40.009927200,530.8782043457031
2089,01:51:40.144925300,533.3762512207031
2090,01:51:40.266128400,535.8782043457031
2091,01:51:40.389127700,538.8782043457031
2092,01:51:40.515132200,541.3762512207031
2093,01:51:40.636128500,543.8782043457031
2094,01:51:40.770135100,546.3762512207031
2095,01:51:40.896150900,548.8840789794922
2096,01:51:41.075156400,551.3762512207031
2097,01:51:41.283152900,553.8782043457031
2098,01:51:41.497150800,556.3762512207031
2099,01:51:41.704139,558.8782043457031
2100,01:51:41.937143,561.3762512207031
2101,01:51:42.162143700,564.3762512207031
2102,01:51:42.366280900,566.8918914794922
2103,01:51:42.573281700,569.3762512207031
2104,01:51:42.758286900,571.8782043457031
2105,01:51:42.937267,574.3762512207031
2106,01:51:43.087266,576.8782043457031
2107,01:51:43.204277100,579.3762512207031
2108,01:51:43.338415200,581.8782043457031
2109,01:51:43.459425700,584.8782043457031
2110,01:51:43.578416300,587.3762512207031
2111,01:51:43.700429,589.8782043457031
2112,01:51:43.821414,592.3762512207031
2113,01:51:43.949420200,594.8918914794922
2114,01:51:44.066414300,597.3762512207031
2115,01:51:44.188425800,599.8782043457031
2116,01:51:44.305420600,602.3762512207031
2117,01:51:44.435639500,431.5120544433594
2118,01:51:44.616626900,434.0
2119,01:51:44.756626500,436.501953125
2120,01:51:44.885633700,439.501953125
2121,01:51:45.005630400,442.0
2122,01:51:45.136625400,444.501953125
2123,01:51:45.255629,447.0
2124,01:51:45.382625700,449.501953125
2125,01:51:45.522629100,452.0
2126,01:51:45.646631200,454.501953125
2127,01:51:45.777632200,457.0
2128,01:51:45.908630900,459.501953125
2129,01:51:46.060628900,462.0
2130,01:51:46.230626800,464.51564025878906
2131,01:51:46.359636700,467.0
2132,01:51:46.495340800,470.0
2133,01:51:46.618344,472.501953125
2134,01:51:46.747333600,475.0
2135,01:51:46.873342500,477.501953125
2136,01:51:46.988342100,480.0
2137,01:51:47.127340900,482.501953125
2138,01:51:47.242340300,485.0
2139,01:51:47.370479200,487.501953125
2140,01:51:47.484480400,490.0
2141,01:51:47.620484300,492.501953125
2142,01:51:47.732494100,495.0
2143,01:51:47.864474200,498.0
2144,01:51:47.990878900,500.501953125
2145,01:51:48.118872600,503.0
2146,01:51:48.305895,505.501953125
2147,01:51:48.513999400,508.0
2148,01:51:48.768010200,510.50782775878906
2149,01:51:49.002001900,513.0
2150,01:51:49.203999500,515.501953125
2151,01:51:49.364007100,518.0
2152,01:51:49.506226800,520.501953125
2153,01:51:49.634230300,523.0
2154,01:51:49.765219500,525.501953125
2155,01:51:49.894219900,528.501953125
2156,01:51:50.015225100,531.0
2157,01:51:50.142840600,533.501953125
2158,01:51:50.274852800,536.0
2159,01:51:50.411840100,538.5156402587891
2160,01:51:50.548974,541.0
2161,01:51:50.671980700,543.501953125
2162,01:51:50.803974200,546.0
2163,01:51:50.930982800,548.501953125
2164,01:51:51.052975700,551.0
2165,01:51:51.188083400,553.5156402587891
2166,01:51:51.317061300,556.0
2167,01:51:51.451116800,559.0
2168,01:51:51.571170400,561.501953125
2169,01:51:51.697167900,564.0
2170,01:51:51.824180400,566.501953125
2171,01:51:51.944167900,569.0
2172,01:51:52.080169300,571.501953125
2173,01:51:52.206187700,574.0
2174,01:51:52.347182400,576.501953125
2175,01:51:52.510210200,579.0
2176,01:51:52.639215600,581.5078277587891
2177,01:51:52.800276300,584.501953125
2178,01:51:53.010828100,587.0
2179,01:51:53.217823400,589.501953125
2180,01:51:53.438825700,592.0
2181,01:51:53.611821600,594.501953125
2182,01:51:53.763820200,597.0
2183,01:51:53.890826500,599.501953125
2184,01:51:54.013820300,602.0
2185,01:51:54.142824400,604.501953125
2186,01:51:54.261028200,607.0
2187,01:51:54.393035,609.5156402587891
2188,01:51:54.505036,455.4471664428711
2189,01:51:54.686003600,457.9452133178711
2190,01:51:54.807012600,460.4471664428711
2191,01:51:54.936003100,462.9452133178711
2192,01:51:55.062004900,465.4471664428711
2193,01:51:55.181009800,467.9452133178711
2194,01:51:55.309009,470.4471664428711
2195,01:51:55.422002600,472.9452133178711
2196,01:51:55.557966200,475.4471664428711
2197,01:51:55.669966800,477.9452133178711
2198,01:51:55.798967100,480.46085357666016
2199,01:51:55.912966600,482.9452133178711
2200,01:51:56.047960700,485.9452133178711
2201,01:51:56.161960500,488.4471664428711
2202,01:51:56.289967400,490.9452133178711
2203,01:51:56.400969600,493.4471664428711
2204,01:51:56.531961,495.9452133178711
2205,01:51:56.642961900,498.4471664428711
2206,01:51:56.773967200,500.9452133178711
2207,01:51:56.889960500,503.4471664428711
2208,01:51:57.020967,505.9452133178711
2209,01:51:57.158978300,508.46085357666016
2210,01:51:57.316965600,510.9452133178711
2211,01:51:57.445962600,513.9452133178711
2212,01:51:57.574962,516.4471664428711
2213,01:51:57.712961500,518.9452133178711
2214,01:51:57.838973300,521.4471664428711
2215,01:51:57.961961700,523.9452133178711
2216,01:51:58.087963,526.4471664428711
2217,01:51:58.208966100,528.9452133178711
2218,01:51:58.339961200,531.4471664428711
2219,01:51:58.457986800,533.9452133178711
2220,01:51:58.601961,536.4471664428711
2221,01:51:58.741966800,538.9452133178711
2222,01:51:58.858961700,541.9452133178711
2223,01:51:59.008969400,544.4471664428711
2224,01:51:59.206980500,546.9452133178711
2225,01:51:59.422983900,549.4471664428711
2226,01:51:59.645967500,551.9452133178711
2227,01:51:59.863969900,554.4608535766602
2228,01:52:00.070766900,556.9452133178711
2229,01:52:00.257767300,559.4471664428711
2230,01:52:00.419770,561.9452133178711
2231,01:52:00.560823500,564.4471664428711
