Total Objects, Sample Time,Memory Usage (MB)
3001,14:59:16.470877900,876.7672576904297
3002,14:59:16.536892900,878.7653045654297
3003,14:59:16.583903300,880.7809448242188
3004,14:59:16.628913800,882.7653045654297
3005,14:59:16.683925700,884.7672576904297
3006,14:59:16.741938900,886.7653045654297
3007,14:59:16.788949700,719.3886871337891
3008,14:59:16.844962,723.3161010742188
3009,14:59:16.899974700,725.3141479492188
3010,14:59:16.960988200,727.3161010742188
3011,14:59:17.004423900,729.3141479492188
3012,14:59:17.046432900,731.3161010742188
3013,14:59:17.091443800,733.3141479492188
3014,14:59:17.145076500,735.3219757080078
3015,14:59:17.198921200,737.3141479492188
3016,14:59:17.242931,741.3141479492188
3017,14:59:17.285941100,743.3161010742188
3018,14:59:17.341953700,745.3141479492188
3019,14:59:17.399966400,747.3161010742188
3020,14:59:17.444976400,749.3141479492188
3021,14:59:17.487986,751.3161010742188
3022,14:59:17.531996500,753.3141479492188
3023,14:59:17.589008800,755.3161010742188
3024,14:59:17.641020400,757.3141479492188
3025,14:59:17.685030400,761.3141479492188
3026,14:59:17.728039900,763.3161010742188
3027,14:59:17.787053900,765.3141479492188
3028,14:59:17.844066200,767.3161010742188
3029,14:59:17.887075900,769.3141479492188
3030,14:59:17.929085100,771.3219757080078
3031,14:59:17.975095900,773.3141479492188
3032,14:59:18.033111700,775.3161010742188
3033,14:59:18.087123100,777.3141479492188
3034,14:59:18.132133400,781.3141479492188
3035,14:59:18.183145300,783.3219757080078
3036,14:59:18.252161100,785.3141479492188
3037,14:59:18.301172300,787.3161010742188
3038,14:59:18.344181600,789.3141479492188
3039,14:59:18.390191100,791.3161010742188
3040,14:59:18.449204600,793.3141479492188
3041,14:59:18.506217500,795.3161010742188
3042,14:59:18.555228300,797.3141479492188
3043,14:59:18.616242800,799.3219757080078
3044,14:59:18.674255900,803.3161010742188
3045,14:59:18.724266800,805.3141479492188
3046,14:59:18.768276700,807.3161010742188
3047,14:59:18.812287,809.3141479492188
3048,14:59:18.870299800,811.3161010742188
3049,14:59:18.926311700,813.3141479492188
3050,14:59:18.970322200,815.3161010742188
3051,14:59:19.013331900,817.3141479492188
3052,14:59:19.058344,819.3297882080078
3053,14:59:19.113046300,823.3161010742188
3054,14:59:19.166190400,825.3141479492188
3055,14:59:19.209588100,827.3161010742188
3056,14:59:19.250597200,829.3141479492188
3057,14:59:19.310610800,831.3161010742188
3058,14:59:19.367623600,833.3141479492188
3059,14:59:19.412633600,835.3163375854492
3060,14:59:19.454643,837.3141479492188
3061,14:59:19.501665400,839.3161010742188
3062,14:59:19.558801900,843.3161010742188
3063,14:59:19.611813300,845.3141479492188
3064,14:59:19.654823,847.3219757080078
3065,14:59:19.696832500,849.3141479492188
3066,14:59:19.753845700,851.3161010742188
3067,14:59:19.816859300,853.3141479492188
3068,14:59:19.860869300,855.3161010742188
3069,14:59:19.902878800,857.3141479492188
3070,14:59:19.951889900,859.3161010742188
3071,14:59:20.008902700,863.3161010742188
3072,14:59:20.058913700,865.3141479492188
3073,14:59:20.101923800,867.3161010742188
3074,14:59:20.143933100,869.3141479492188
3075,14:59:20.200292300,871.3163375854492
3076,14:59:20.260305900,873.3141479492188
3077,14:59:20.305315800,875.3161010742188
3078,14:59:20.349325900,877.3141479492188
3079,14:59:20.398336800,879.3161010742188
3080,14:59:20.456350,883.3161010742188
3081,14:59:20.504360500,885.3141479492188
3082,14:59:20.548370400,887.3219757080078
3083,14:59:20.590380200,889.3141479492188
3084,14:59:20.648393200,891.3161010742188
3085,14:59:20.707406200,893.3141479492188
3086,14:59:20.751416,895.3161010742188
3087,14:59:20.794425600,897.3141479492188
3088,14:59:20.841436500,899.3161010742188
3089,14:59:20.900450200,903.3161010742188
3090,14:59:20.952461200,905.3141479492188
3091,14:59:20.995471100,907.3297882080078
3092,14:59:21.038042800,909.3141479492188
3093,14:59:21.095055500,911.3161010742188
3094,14:59:21.152067700,913.3141479492188
3095,14:59:21.195077300,915.3161010742188
3096,14:59:21.239087300,917.3141479492188
3097,14:59:21.286098,919.3161010742188
3098,14:59:21.346112,923.3161010742188
3099,14:59:21.398123,925.3141479492188
3100,14:59:21.441132600,927.3297882080078
3101,14:59:21.484142400,929.3141479492188
3102,14:59:21.539417400,931.3161010742188
3103,14:59:21.596279800,933.3141479492188
3104,14:59:21.640289,935.3161010742188
3105,14:59:21.683298600,937.3141479492188
3106,14:59:21.729309100,939.3219757080078
3107,14:59:21.787322300,943.3161010742188
3108,14:59:21.840334,945.3141479492188
3109,14:59:21.882343700,947.3161010742188
3110,14:59:21.924352700,949.3141479492188
3111,14:59:21.982366200,951.3161010742188
3112,14:59:22.038378600,953.3141479492188
3113,14:59:22.082396900,955.3297882080078
3114,14:59:22.125406400,957.3141479492188
3115,14:59:22.170416600,959.3161010742188
3116,14:59:22.232431100,963.3161010742188
3117,14:59:22.285442900,965.3141479492188
3118,14:59:22.327451800,967.3297882080078
3119,14:59:22.371461600,969.3141479492188
3120,14:59:22.431475300,971.3161010742188
3121,14:59:22.485489900,973.3141479492188
3122,14:59:22.529558300,975.3161010742188
3123,14:59:22.573568300,977.3141479492188
3124,14:59:22.630581100,979.3161010742188
3125,14:59:22.686593800,981.3141479492188
3126,14:59:22.731604100,985.3141479492188
3127,14:59:22.773613900,987.3161010742188
3128,14:59:22.833627,989.3141479492188
3129,14:59:22.890639500,991.3297882080078
