Total Objects, Sample Time,Time (ms)
3001,14:59:16.470877900,9
3002,14:59:16.536892900,9
3003,14:59:16.583903300,8
3004,14:59:16.628913800,7
3005,14:59:16.683925700,8
3006,14:59:16.741938900,9
3007,14:59:16.788949700,7
3008,14:59:16.844962,7
3009,14:59:16.899974700,9
3010,14:59:16.960988200,7
3011,14:59:17.004423900,8
3012,14:59:17.046432900,8
3013,14:59:17.091443800,8
3014,14:59:17.145076500,7
3015,14:59:17.198921200,8
3016,14:59:17.242931,7
3017,14:59:17.285941100,7
3018,14:59:17.341953700,8
3019,14:59:17.399966400,9
3020,14:59:17.444976400,8
3021,14:59:17.487986,8
3022,14:59:17.531996500,8
3023,14:59:17.589008800,9
3024,14:59:17.641020400,7
3025,14:59:17.685030400,7
3026,14:59:17.728039900,9
3027,14:59:17.787053900,8
3028,14:59:17.844066200,8
3029,14:59:17.887075900,8
3030,14:59:17.929085100,8
3031,14:59:17.975095900,9
3032,14:59:18.033111700,8
3033,14:59:18.087123100,8
3034,14:59:18.132133400,8
3035,14:59:18.183145300,9
3036,14:59:18.252161100,8
3037,14:59:18.301172300,8
3038,14:59:18.344181600,8
3039,14:59:18.390191100,8
3040,14:59:18.449204600,8
3041,14:59:18.506217500,8
3042,14:59:18.555228300,8
3043,14:59:18.616242800,8
3044,14:59:18.674255900,7
3045,14:59:18.724266800,7
3046,14:59:18.768276700,7
3047,14:59:18.812287,7
3048,14:59:18.870299800,8
3049,14:59:18.926311700,7
3050,14:59:18.970322200,8
3051,14:59:19.013331900,8
3052,14:59:19.058344,8
3053,14:59:19.113046300,8
3054,14:59:19.166190400,7
3055,14:59:19.209588100,7
3056,14:59:19.250597200,8
3057,14:59:19.310610800,8
3058,14:59:19.367623600,8
3059,14:59:19.412633600,7
3060,14:59:19.454643,7
3061,14:59:19.501665400,9
3062,14:59:19.558801900,8
3063,14:59:19.611813300,7
3064,14:59:19.654823,7
3065,14:59:19.696832500,7
3066,14:59:19.753845700,8
3067,14:59:19.816859300,8
3068,14:59:19.860869300,7
3069,14:59:19.902878800,7
3070,14:59:19.951889900,8
3071,14:59:20.008902700,8
3072,14:59:20.058913700,8
3073,14:59:20.101923800,8
3074,14:59:20.143933100,8
3075,14:59:20.200292300,8
3076,14:59:20.260305900,8
3077,14:59:20.305315800,7
3078,14:59:20.349325900,8
3079,14:59:20.398336800,8
3080,14:59:20.456350,8
3081,14:59:20.504360500,8
3082,14:59:20.548370400,7
3083,14:59:20.590380200,8
3084,14:59:20.648393200,8
3085,14:59:20.707406200,8
3086,14:59:20.751416,7
3087,14:59:20.794425600,7
3088,14:59:20.841436500,8
3089,14:59:20.900450200,8
3090,14:59:20.952461200,8
3091,14:59:20.995471100,8
3092,14:59:21.038042800,8
3093,14:59:21.095055500,8
3094,14:59:21.152067700,8
3095,14:59:21.195077300,8
3096,14:59:21.239087300,8
3097,14:59:21.286098,9
3098,14:59:21.346112,8
3099,14:59:21.398123,8
3100,14:59:21.441132600,7
3101,14:59:21.484142400,9
3102,14:59:21.539417400,8
3103,14:59:21.596279800,7
3104,14:59:21.640289,7
3105,14:59:21.683298600,7
3106,14:59:21.729309100,8
3107,14:59:21.787322300,7
3108,14:59:21.840334,8
3109,14:59:21.882343700,7
3110,14:59:21.924352700,8
3111,14:59:21.982366200,7
3112,14:59:22.038378600,8
3113,14:59:22.082396900,7
3114,14:59:22.125406400,7
3115,14:59:22.170416600,8
3116,14:59:22.232431100,9
3117,14:59:22.285442900,8
3118,14:59:22.327451800,8
3119,14:59:22.371461600,9
3120,14:59:22.431475300,8
3121,14:59:22.485489900,7
3122,14:59:22.529558300,8
3123,14:59:22.573568300,8
3124,14:59:22.630581100,8
3125,14:59:22.686593800,7
3126,14:59:22.731604100,8
3127,14:59:22.773613900,9
3128,14:59:22.833627,8
3129,14:59:22.890639500,7
3130,14:59:22.933649300,7
3131,14:59:22.975658700,7
3132,14:59:23.022669300,8
3133,14:59:23.081687100,7
3134,14:59:23.133698700,8
3135,14:59:23.177708400,9
3136,14:59:23.219717900,8
3137,14:59:23.275730400,8
3138,14:59:23.331743500,8
3139,14:59:23.375753,8
3140,14:59:23.419763200,8
3141,14:59:23.464772900,9
3142,14:59:23.522785900,8
3143,14:59:23.575798,8
3144,14:59:23.619807700,7
3145,14:59:23.661817400,7
3146,14:59:23.716846600,8
3147,14:59:23.772542200,8
3148,14:59:23.816552,8
3149,14:59:23.858853600,8
3150,14:59:23.907864400,9
3151,14:59:23.969878500,9
3152,14:59:24.021889900,7
3153,14:59:24.065900400,9
3154,14:59:24.110910600,8
3155,14:59:24.168923200,8
3156,14:59:24.221934900,26
3157,14:59:24.288950,8
3158,14:59:24.343962400,9
3159,14:59:24.408977,7
3160,14:59:24.452986900,8
3161,14:59:24.496996700,8
3162,14:59:24.547011700,8
3163,14:59:24.607025400,8
3164,14:59:24.655035700,8
3165,14:59:24.698045300,8
3166,14:59:24.745056,8
3167,14:59:24.800068500,9
3168,14:59:24.851079700,7
3169,14:59:24.895089600,8
3170,14:59:24.940100,7
3171,14:59:24.996112700,8
3172,14:59:25.054125700,8
3173,14:59:25.098459500,7
3174,14:59:25.141469300,8
3175,14:59:25.189480700,8
3176,14:59:25.247493,9
3177,14:59:25.301505200,7
3178,14:59:25.343514900,8
3179,14:59:25.385524100,8
3180,14:59:25.445537700,8
3181,14:59:25.501550100,8
3182,14:59:25.545560,7
3183,14:59:25.589569800,7
3184,14:59:25.635580900,9
3185,14:59:25.697594900,8
3186,14:59:25.746605300,8
3187,14:59:25.789614800,8
3188,14:59:25.832624300,7
3189,14:59:25.890638,8
3190,14:59:25.947650500,8
3191,14:59:25.992660800,7
3192,14:59:26.035670200,8
3193,14:59:26.080680900,9
3194,14:59:26.140192200,8
3195,14:59:26.191203800,7
3196,14:59:26.235213800,8
3197,14:59:26.276223100,8
3198,14:59:26.330190400,8
3199,14:59:26.386758300,7
3200,14:59:26.430767900,7
3201,14:59:26.473777700,8
3202,14:59:26.537792700,8
3203,14:59:26.597811900,8
3204,14:59:26.646822800,8
3205,14:59:26.690832600,8
3206,14:59:26.734842600,8
3207,14:59:26.791855900,8
3208,14:59:26.849868400,8
3209,14:59:26.893878200,8
3210,14:59:26.952891900,8
3211,14:59:27.009904700,9
3212,14:59:27.066917400,8
3213,14:59:27.114227500,8
3214,14:59:27.156237100,7
3215,14:59:27.204247800,8
3216,14:59:27.266261900,8
3217,14:59:27.316273100,8
3218,14:59:27.360282900,8
3219,14:59:27.403292500,8
3220,14:59:27.461305600,9
3221,14:59:27.519318500,8
3222,14:59:27.563328400,7
3223,14:59:27.610339,8
3224,14:59:27.658350200,8
3225,14:59:27.718363500,8
3226,14:59:27.768374700,7
3227,14:59:27.811384400,12
3228,14:59:27.861396300,9
3229,14:59:27.919408600,8
3230,14:59:27.975629900,8
3231,14:59:28.022640100,7
3232,14:59:28.066650800,8
3233,14:59:28.125663600,8
3234,14:59:28.180675900,7
3235,14:59:28.224685500,7
3236,14:59:28.269695900,9
3237,14:59:28.323708300,8
3238,14:59:28.379720800,7
3239,14:59:28.422730100,8
3240,14:59:28.464739600,8
3241,14:59:28.522752800,9
3242,14:59:28.578765400,8
3243,14:59:28.621774900,7
3244,14:59:28.663784400,8
3245,14:59:28.707794100,8
3246,14:59:28.764807100,9
3247,14:59:28.820819800,7
3248,14:59:28.864829600,8
3249,14:59:28.906839,8
3250,14:59:28.974855100,8
3251,14:59:29.027866100,7
3252,14:59:29.070876,8
3253,14:59:29.112885600,8
3254,14:59:29.157897100,8
3255,14:59:29.216911,8
3256,14:59:29.268922100,8
3257,14:59:29.313932,7
3258,14:59:29.355941600,8
3259,14:59:29.412954700,8
3260,14:59:29.468966300,7
3261,14:59:29.512976700,6
3262,14:59:29.555986600,7
3263,14:59:29.598996400,8
3264,14:59:29.657009700,9
3265,14:59:29.719023,8
3266,14:59:29.764033400,7
3267,14:59:29.807042900,8
3268,14:59:29.867057,8
3269,14:59:29.920068300,8
3270,14:59:29.963077800,7
3271,14:59:30.005087300,8
3272,14:59:30.065101100,8
3273,14:59:30.121584300,8
3274,14:59:30.164593900,8
3275,14:59:30.207603800,8
3276,14:59:30.252613800,8
3277,14:59:30.310627,8
3278,14:59:30.364638800,7
3279,14:59:30.409649300,8
3280,14:59:30.450658200,8
3281,14:59:30.509671500,8
3282,14:59:30.565683400,7
3283,14:59:30.609694,7
3284,14:59:30.651703300,7
3285,14:59:30.696718200,8
3286,14:59:30.754729900,8
3287,14:59:30.807741700,8
3288,14:59:30.852752200,8
3289,14:59:30.894761300,8
3290,14:59:30.953774500,8
3291,14:59:31.010786600,7
3292,14:59:31.056797200,7
3293,14:59:31.098807100,8
3294,14:59:31.143817700,8
3295,14:59:31.198832700,28
3296,14:59:31.274849400,9
3297,14:59:31.320859800,8
3298,14:59:31.368870900,9
3299,14:59:31.425883300,8
3300,14:59:31.473894200,8
3301,14:59:31.515903900,8
3302,14:59:31.562915,9
3303,14:59:31.621927500,8
3304,14:59:31.671938700,7
3305,14:59:31.715948400,7
3306,14:59:31.759884300,8
3307,14:59:31.815897100,8
3308,14:59:31.874910700,8
3309,14:59:31.917919900,7
3310,14:59:31.959929800,8
3311,14:59:32.006940800,8
3312,14:59:32.066953500,7
3313,14:59:32.116964500,7
3314,14:59:32.159974200,8
3315,14:59:32.202984,8
3316,14:59:32.259774300,8
3317,14:59:32.315787,7
3318,14:59:32.358796500,8
3319,14:59:32.402806500,7
3320,14:59:32.445816900,9
3321,14:59:32.502829100,9
3322,14:59:32.557841300,7
3323,14:59:32.602851600,8
3324,14:59:32.644860800,8
3325,14:59:32.709875700,8
3326,14:59:32.763887700,8
3327,14:59:32.806897600,8
3328,14:59:32.848906900,8
3329,14:59:32.897917600,8
3330,14:59:32.955930800,8
3331,14:59:33.006942100,8
3332,14:59:33.050952,8
3333,14:59:33.093961800,8
3334,14:59:33.150974800,8
3335,14:59:33.204992400,8
3336,14:59:33.250002100,7
3337,14:59:33.293011500,7
3338,14:59:33.337021500,8
3339,14:59:33.395034500,8
3340,14:59:33.449047200,8
3341,14:59:33.492056500,8
3342,14:59:33.534065600,8
3343,14:59:33.593079300,8
3344,14:59:33.651092200,7
3345,14:59:33.694102,8
3346,14:59:33.736111200,7
3347,14:59:33.780121200,8
3348,14:59:33.838134100,8
3349,14:59:33.890145800,7
3350,14:59:33.933155600,7
3351,14:59:33.976165200,8
3352,14:59:34.035178400,8
3353,14:59:34.091191100,8
3354,14:59:34.138564900,7
3355,14:59:34.181574600,7
3356,14:59:34.228585700,7
3357,14:59:34.285598100,8
3358,14:59:34.336609400,8
3359,14:59:34.378618800,7
3360,14:59:34.421628600,8
3361,14:59:34.478641700,9
3362,14:59:34.538654700,6
3363,14:59:34.580664300,7
3364,14:59:34.623674100,8
3365,14:59:34.672684800,8
3366,14:59:34.730697800,8
3367,14:59:34.782710200,8
3368,14:59:34.824719200,7
3369,14:59:34.866728500,8
3370,14:59:34.934743500,9
3371,14:59:35.002759100,7
3372,14:59:35.047769300,7
3373,14:59:35.090778800,8
3374,14:59:35.145791500,8
3375,14:59:35.202946300,8
3376,14:59:35.247879300,8
3377,14:59:35.291889,8
3378,14:59:35.338899600,8
3379,14:59:35.391919300,10
3380,14:59:35.444358400,7
3381,14:59:35.487281300,7
3382,14:59:35.530291300,8
3383,14:59:35.585158500,9
3384,14:59:35.644172100,7
3385,14:59:35.691182600,7
3386,14:59:35.734192300,8
3387,14:59:35.781203400,9
3388,14:59:35.840216500,8
3389,14:59:35.890227200,7
3390,14:59:35.933236800,8
3391,14:59:35.977247,8
3392,14:59:36.047290900,9
3393,14:59:36.102303100,8
3394,14:59:36.145312900,8
3395,14:59:36.188322400,7
3396,14:59:36.234332500,8
3397,14:59:36.293345500,8
3398,14:59:36.344357700,8
3399,14:59:36.386367,8
3400,14:59:36.429376500,9
3401,14:59:36.485389500,8
3402,14:59:36.542402200,8
3403,14:59:36.586411700,8
3404,14:59:36.628421100,7
3405,14:59:36.672430900,8
3406,14:59:36.732527900,8
3407,14:59:36.783539300,8
3408,14:59:36.825548500,8
3409,14:59:36.867557900,7
3410,14:59:36.924570900,9
3411,14:59:36.981583900,7
3412,14:59:37.024593300,7
3413,14:59:37.069603500,7
3414,14:59:37.113613500,9
3415,14:59:37.172626300,8
3416,14:59:37.225090900,7
3417,14:59:37.270101,8
3418,14:59:37.312110600,8
3419,14:59:37.371123800,9
3420,14:59:37.428136600,8
3421,14:59:37.472146500,29
3422,14:59:37.544162,10
3423,14:59:37.611395700,10
3424,14:59:37.675493800,9
3425,14:59:37.729505900,9
3426,14:59:37.779517,10
3427,14:59:37.856534500,10
3428,14:59:37.923549400,11
3429,14:59:37.975561100,9
3430,14:59:38.021571500,8
3431,14:59:38.078584300,9
3432,14:59:38.141598800,8
3433,14:59:38.187608600,8
3434,14:59:38.229618200,8
3435,14:59:38.281630400,9
3436,14:59:38.339642900,9
3437,14:59:38.387653700,8
3438,14:59:38.431663600,7
3439,14:59:38.479674500,8
3440,14:59:38.538688,8
3441,14:59:38.589699,8
3442,14:59:38.632708800,7
3443,14:59:38.683720300,9
3444,14:59:38.741733200,9
3445,14:59:38.792744700,8
3446,14:59:38.837755,9
3447,14:59:38.891151800,9
3448,14:59:38.949164600,8
3449,14:59:38.997175100,8
3450,14:59:39.040184800,7
3451,14:59:39.090196400,8
3452,14:59:39.148209100,9
3453,14:59:39.198220400,8
3454,14:59:39.241230300,8
3455,14:59:39.283239400,8
3456,14:59:39.344252800,8
3457,14:59:39.402266500,8
3458,14:59:39.446276100,8
3459,14:59:39.489285700,8
3460,14:59:39.534295500,9
3461,14:59:39.595310100,9
3462,14:59:39.646321,8
3463,14:59:39.690330900,8
3464,14:59:39.732340700,9
3465,14:59:39.790353300,8
3466,14:59:39.848366500,8
3467,14:59:39.894376800,8
3468,14:59:39.938386700,8
3469,14:59:39.987397300,9
3470,14:59:40.041454600,9
3471,14:59:40.093954100,8
