Total Objects, Sample Time,Time (ms)
3001,14:59:16.470877900,4
3002,14:59:16.536892900,1
3003,14:59:16.583903300,2
3004,14:59:16.628913800,2
3005,14:59:16.683925700,2
3006,14:59:16.741938900,2
3007,14:59:16.788949700,2
3008,14:59:16.844962,1
3009,14:59:16.899974700,2
3010,14:59:16.960988200,3
3011,14:59:17.004423900,2
3012,14:59:17.046432900,2
3013,14:59:17.091443800,2
3014,14:59:17.145076500,1
3015,14:59:17.198921200,1
3016,14:59:17.242931,1
3017,14:59:17.285941100,2
3018,14:59:17.341953700,2
3019,14:59:17.399966400,2
3020,14:59:17.444976400,2
3021,14:59:17.487986,2
3022,14:59:17.531996500,2
3023,14:59:17.589008800,2
3024,14:59:17.641020400,1
3025,14:59:17.685030400,1
3026,14:59:17.728039900,2
3027,14:59:17.787053900,2
3028,14:59:17.844066200,1
3029,14:59:17.887075900,2
3030,14:59:17.929085100,2
3031,14:59:17.975095900,2
3032,14:59:18.033111700,2
3033,14:59:18.087123100,2
3034,14:59:18.132133400,2
3035,14:59:18.183145300,2
3036,14:59:18.252161100,2
3037,14:59:18.301172300,1
3038,14:59:18.344181600,2
3039,14:59:18.390191100,2
3040,14:59:18.449204600,2
3041,14:59:18.506217500,2
3042,14:59:18.555228300,2
3043,14:59:18.616242800,2
3044,14:59:18.674255900,2
3045,14:59:18.724266800,2
3046,14:59:18.768276700,1
3047,14:59:18.812287,2
3048,14:59:18.870299800,1
3049,14:59:18.926311700,2
3050,14:59:18.970322200,1
3051,14:59:19.013331900,1
3052,14:59:19.058344,2
3053,14:59:19.113046300,2
3054,14:59:19.166190400,1
3055,14:59:19.209588100,1
3056,14:59:19.250597200,2
3057,14:59:19.310610800,2
3058,14:59:19.367623600,2
3059,14:59:19.412633600,1
3060,14:59:19.454643,1
3061,14:59:19.501665400,2
3062,14:59:19.558801900,2
3063,14:59:19.611813300,2
3064,14:59:19.654823,2
3065,14:59:19.696832500,2
3066,14:59:19.753845700,2
3067,14:59:19.816859300,2
3068,14:59:19.860869300,1
3069,14:59:19.902878800,1
3070,14:59:19.951889900,1
3071,14:59:20.008902700,2
3072,14:59:20.058913700,2
3073,14:59:20.101923800,2
3074,14:59:20.143933100,2
3075,14:59:20.200292300,2
3076,14:59:20.260305900,1
3077,14:59:20.305315800,2
3078,14:59:20.349325900,2
3079,14:59:20.398336800,2
3080,14:59:20.456350,1
3081,14:59:20.504360500,1
3082,14:59:20.548370400,2
3083,14:59:20.590380200,2
3084,14:59:20.648393200,2
3085,14:59:20.707406200,1
3086,14:59:20.751416,2
3087,14:59:20.794425600,2
3088,14:59:20.841436500,2
3089,14:59:20.900450200,3
3090,14:59:20.952461200,1
3091,14:59:20.995471100,1
3092,14:59:21.038042800,2
3093,14:59:21.095055500,2
3094,14:59:21.152067700,2
3095,14:59:21.195077300,2
3096,14:59:21.239087300,2
3097,14:59:21.286098,2
3098,14:59:21.346112,1
3099,14:59:21.398123,2
3100,14:59:21.441132600,2
3101,14:59:21.484142400,2
3102,14:59:21.539417400,2
3103,14:59:21.596279800,2
3104,14:59:21.640289,2
3105,14:59:21.683298600,1
3106,14:59:21.729309100,2
3107,14:59:21.787322300,2
3108,14:59:21.840334,2
3109,14:59:21.882343700,1
3110,14:59:21.924352700,2
3111,14:59:21.982366200,2
3112,14:59:22.038378600,2
3113,14:59:22.082396900,2
3114,14:59:22.125406400,1
3115,14:59:22.170416600,2
3116,14:59:22.232431100,2
3117,14:59:22.285442900,2
3118,14:59:22.327451800,2
3119,14:59:22.371461600,2
3120,14:59:22.431475300,2
3121,14:59:22.485489900,1
3122,14:59:22.529558300,2
3123,14:59:22.573568300,2
3124,14:59:22.630581100,2
3125,14:59:22.686593800,1
3126,14:59:22.731604100,2
3127,14:59:22.773613900,2
3128,14:59:22.833627,2
3129,14:59:22.890639500,2
3130,14:59:22.933649300,1
3131,14:59:22.975658700,2
3132,14:59:23.022669300,2
3133,14:59:23.081687100,2
3134,14:59:23.133698700,1
3135,14:59:23.177708400,2
3136,14:59:23.219717900,2
3137,14:59:23.275730400,2
3138,14:59:23.331743500,2
3139,14:59:23.375753,2
3140,14:59:23.419763200,1
3141,14:59:23.464772900,2
3142,14:59:23.522785900,2
3143,14:59:23.575798,2
3144,14:59:23.619807700,2
3145,14:59:23.661817400,2
