Total Objects, Sample Time,Time (ms)
4001,01:55:19.575502900,25
4002,01:55:19.686481200,28
4003,01:55:19.780483700,22
4004,01:55:19.868482700,28
4005,01:55:19.973467100,24
4006,01:55:20.060472200,25
4007,01:55:20.157482300,25
4008,01:55:20.250466700,21
4009,01:55:20.334475500,23
4010,01:55:20.427470700,24
4011,01:55:20.517472900,23
4012,01:55:20.615468500,27
4013,01:55:20.706474,24
4014,01:55:20.795472600,29
4015,01:55:20.898475800,26
4016,01:55:20.990467200,25
4017,01:55:21.087472200,23
4018,01:55:21.177466800,23
4019,01:55:21.262476100,23
4020,01:55:21.354474900,22
4021,01:55:21.442519500,23
4022,01:55:21.537531700,26
4023,01:55:21.631528900,22
4024,01:55:21.718573300,24
4025,01:55:21.812593900,24
4026,01:55:21.901590900,21
4027,01:55:21.998589600,29
4028,01:55:22.092617,22
4029,01:55:22.178587700,25
4030,01:55:22.276586700,24
4031,01:55:22.366587,25
4032,01:55:22.467601500,125
4033,01:55:22.722595400,39
4034,01:55:22.865599700,54
4035,01:55:23.034715300,41
4036,01:55:23.184713200,38
4037,01:55:23.313709900,35
4038,01:55:23.452710600,37
4039,01:55:23.584711,36
4040,01:55:23.729712800,42
4041,01:55:23.868713100,38
4042,01:55:24.015706900,39
4043,01:55:24.158706500,48
4044,01:55:24.310711800,34
4045,01:55:24.439713600,39
4046,01:55:24.574706100,37
4047,01:55:24.733712600,42
4048,01:55:24.875714200,40
4049,01:55:25.022717700,44
4050,01:55:25.183708400,44
4051,01:55:25.331721100,45
4052,01:55:25.466816700,34
4053,01:55:25.578835600,32
4054,01:55:25.687816100,22
4055,01:55:25.773816100,27
4056,01:55:25.875814700,25
4057,01:55:25.965856,29
4058,01:55:26.089998100,37
4059,01:55:26.214002900,29
4060,01:55:26.318008800,27
4061,01:55:26.413001200,22
4062,01:55:26.499007100,27
4063,01:55:26.603004800,25
4064,01:55:26.693002700,31
4065,01:55:26.805066300,24
4066,01:55:26.901061900,22
4067,01:55:26.990067900,30
4068,01:55:27.094061700,23
4069,01:55:27.184061100,34
4070,01:55:27.315054700,29
4071,01:55:27.416060500,24
4072,01:55:27.508059600,29
4073,01:55:27.613062400,25
4074,01:55:27.704071100,24
4075,01:55:27.805061300,24
4076,01:55:27.894062,26
4077,01:55:27.995087800,25
4078,01:55:28.086060500,22
4079,01:55:28.173067200,29
4080,01:55:28.286063500,43
4081,01:55:28.416058400,31
4082,01:55:28.527062500,28
4083,01:55:28.622061900,28
