Total Objects, Sample Time,Memory Usage (MB)
4001,00:03:07.621331800,1204.0
4002,00:03:07.658333200,1206.001953125
4003,00:03:07.701813300,1208.0
4004,00:03:07.744327500,1210.001953125
4005,00:03:07.782321500,1212.0
4006,00:03:07.814739800,1214.001953125
4007,00:03:07.853316100,1216.0
4008,00:03:07.896793900,1218.007827758789
4009,00:03:07.939729300,1220.0
4010,00:03:07.978305200,1222.001953125
4011,00:03:08.016351200,1224.0
4012,00:03:08.052304400,1226.001953125
4013,00:03:08.089723800,1228.0
4014,00:03:08.129297800,1230.001968383789
4015,00:03:08.172299800,1232.0
4016,00:03:08.207291900,1234.001953125
4017,00:03:08.242985100,1236.0
4018,00:03:08.279286100,1238.001953125
4019,00:03:08.319284,1240.0
4020,00:03:08.357278900,1242.001953125
4021,00:03:08.401284600,1244.0
4022,00:03:08.438402700,1246.001953125
4023,00:03:08.473575,1248.0
4024,00:03:08.515691,1250.001953125
4025,00:03:08.559279200,1252.0
4026,00:03:08.596689800,1254.001953125
4027,00:03:08.631881600,1256.0
4028,00:03:08.671261200,1258.001953125
4029,00:03:08.705256300,1260.0
4030,00:03:08.747257400,1262.001953125
4031,00:03:08.789675300,1264.0
4032,00:03:08.829668800,1266.001953125
4033,00:03:08.868244300,1268.0
4034,00:03:08.904664,1270.001953125
4035,00:03:08.944923500,1272.0
4036,00:03:08.983094500,1274.001953125
4037,00:03:09.024675400,1274.001953125
4038,00:03:09.061858300,1276.0
4039,00:03:09.101654800,1278.007827758789
4040,00:03:09.140418600,1280.0
4041,00:03:09.178835500,1282.001953125
4042,00:03:09.221393600,1284.0
4043,00:03:09.260637200,1286.001953125
4044,00:03:09.296703500,1288.0
4045,00:03:09.332269600,1290.007827758789
4046,00:03:09.370753300,1292.0
4047,00:03:09.411634300,961.9558944702148
4048,00:03:09.476624900,963.7398376464844
4049,00:03:09.511204900,965.7417907714844
4050,00:03:09.547616,967.7398376464844
4051,00:03:09.583689600,969.7417907714844
4052,00:03:09.621615900,971.7398376464844
4053,00:03:09.664617100,973.7417907714844
4054,00:03:09.701610800,975.7398376464844
4055,00:03:09.738183,977.7417907714844
4056,00:03:09.775603500,979.7398376464844
4057,00:03:09.816606800,981.7554779052734
4058,00:03:09.853605800,983.7398376464844
4059,00:03:09.893605500,985.7417907714844
4060,00:03:09.932700,987.7398376464844
4061,00:03:09.967588100,989.7417907714844
4062,00:03:10.008595,991.7398376464844
4063,00:03:10.046586500,993.7417907714844
4064,00:03:10.084591400,995.7398376464844
4065,00:03:10.121583400,997.7417907714844
4066,00:03:10.161156100,999.7398376464844
4067,00:03:10.196573400,1001.7417907714844
4068,00:03:10.237579300,1003.7398376464844
4069,00:03:10.274576100,1005.7417907714844
4070,00:03:10.313419400,1007.7398376464844
4071,00:03:10.350783800,1009.7417907714844
4072,00:03:10.389567200,1011.7398376464844
4073,00:03:10.428562900,1013.7417907714844
4074,00:03:10.469562200,1015.7398376464844
4075,00:03:10.507552500,1017.7418060302734
4076,00:03:10.542815500,1019.7398376464844
4077,00:03:10.577545,1021.7417907714844
4078,00:03:10.613922500,1023.7398376464844
4079,00:03:10.658130,1025.7417907714844
4080,00:03:10.700543100,1027.7398376464844
4081,00:03:10.741324200,1029.7417907714844
4082,00:03:10.779759100,1031.7398376464844
4083,00:03:10.827114600,1033.7417907714844
4084,00:03:10.868532,1035.7398376464844
4085,00:03:10.904529300,1037.7418060302734
4086,00:03:10.945526600,1039.7398376464844
4087,00:03:10.984521,1041.7417907714844
4088,00:03:11.019098800,1043.7398376464844
4089,00:03:11.058512900,1045.7417907714844
4090,00:03:11.098513700,1047.7398376464844
4091,00:03:11.137514500,1049.7417907714844
4092,00:03:11.179507700,1051.7398376464844
4093,00:03:11.217501900,1053.7476654052734
4094,00:03:11.256077700,1055.7398376464844
4095,00:03:11.296505,1057.7417907714844
4096,00:03:11.336499300,1059.7398376464844
4097,00:03:11.381494100,1061.7417907714844
4098,00:03:11.420488300,1063.7398376464844
4099,00:03:11.463990300,1065.7418060302734
4100,00:03:11.502487400,1067.7398376464844
4101,00:03:11.542277700,1069.7417907714844
4102,00:03:11.582480600,1071.7398376464844
4103,00:03:11.620480500,1073.7417907714844
4104,00:03:11.663054700,1075.7398376464844
4105,00:03:11.698470600,1077.7417907714844
4106,00:03:11.739467800,1079.7398376464844
4107,00:03:11.780792400,1081.7418060302734
4108,00:03:11.818465400,1083.7398376464844
4109,00:03:11.854461700,1085.7417907714844
4110,00:03:11.892457300,1087.7398376464844
4111,00:03:11.933457500,1089.7417907714844
4112,00:03:11.976452100,1091.7398376464844
4113,00:03:12.014451500,1093.7417907714844
4114,00:03:12.053544900,1095.7398376464844
4115,00:03:12.092029,1097.7417907714844
4116,00:03:12.126440800,1099.7398376464844
4117,00:03:12.167443600,1101.7417907714844
4118,00:03:12.206436500,1103.7398376464844
4119,00:03:12.245015300,1105.7417907714844
4120,00:03:12.279430800,1107.7398376464844
4121,00:03:12.316425400,1109.7476654052734
4122,00:03:12.354428500,1109.7476654052734
4123,00:03:12.398002100,1111.7398376464844
4124,00:03:12.439418500,1113.7417907714844
4125,00:03:12.473422800,1115.7398376464844
4126,00:03:12.511415200,1117.7476654052734
4127,00:03:12.548339400,1119.7398376464844
4128,00:03:12.586992300,1121.7417907714844
4129,00:03:12.627406600,1123.7398376464844
4130,00:03:12.664412300,1125.7476654052734
4131,00:03:12.703503600,1127.7398376464844
4132,00:03:12.744400600,1129.7417907714844
4133,00:03:12.785397800,1131.7398376464844
4134,00:03:12.825391300,1133.7476654052734
