Total Objects, Sample Time,Time (ms)
4001,00:03:07.621331800,1
4002,00:03:07.658333200,4
4003,00:03:07.701813300,4
4004,00:03:07.744327500,3
4005,00:03:07.782321500,2
4006,00:03:07.814739800,3
4007,00:03:07.853316100,4
4008,00:03:07.896793900,4
4009,00:03:07.939729300,2
4010,00:03:07.978305200,4
4011,00:03:08.016351200,2
4012,00:03:08.052304400,3
4013,00:03:08.089723800,3
4014,00:03:08.129297800,4
4015,00:03:08.172299800,2
4016,00:03:08.207291900,2
4017,00:03:08.242985100,2
4018,00:03:08.279286100,3
4019,00:03:08.319284,3
4020,00:03:08.357278900,4
4021,00:03:08.401284600,2
4022,00:03:08.438402700,1
4023,00:03:08.473575,3
4024,00:03:08.515691,3
4025,00:03:08.559279200,1
4026,00:03:08.596689800,2
4027,00:03:08.631881600,3
4028,00:03:08.671261200,2
4029,00:03:08.705256300,4
4030,00:03:08.747257400,3
4031,00:03:08.789675300,3
4032,00:03:08.829668800,3
4033,00:03:08.868244300,2
4034,00:03:08.904664,4
4035,00:03:08.944923500,2
4036,00:03:08.983094500,3
4037,00:03:09.024675400,3
4038,00:03:09.061858300,3
4039,00:03:09.101654800,3
4040,00:03:09.140418600,2
4041,00:03:09.178835500,3
4042,00:03:09.221393600,3
4043,00:03:09.260637200,3
4044,00:03:09.296703500,2
4045,00:03:09.332269600,3
4046,00:03:09.370753300,3
4047,00:03:09.411634300,4
4048,00:03:09.476624900,1
4049,00:03:09.511204900,3
4050,00:03:09.547616,2
4051,00:03:09.583689600,2
4052,00:03:09.621615900,4
4053,00:03:09.664617100,2
4054,00:03:09.701610800,3
4055,00:03:09.738183,3
4056,00:03:09.775603500,4
4057,00:03:09.816606800,2
4058,00:03:09.853605800,3
4059,00:03:09.893605500,3
4060,00:03:09.932700,2
4061,00:03:09.967588100,4
4062,00:03:10.008595,2
4063,00:03:10.046586500,2
4064,00:03:10.084591400,3
4065,00:03:10.121583400,4
4066,00:03:10.161156100,2
4067,00:03:10.196573400,3
4068,00:03:10.237579300,2
4069,00:03:10.274576100,2
4070,00:03:10.313419400,3
4071,00:03:10.350783800,3
4072,00:03:10.389567200,2
4073,00:03:10.428562900,3
4074,00:03:10.469562200,2
4075,00:03:10.507552500,2
4076,00:03:10.542815500,2
4077,00:03:10.577545,3
4078,00:03:10.613922500,4
4079,00:03:10.658130,4
4080,00:03:10.700543100,2
4081,00:03:10.741324200,4
4082,00:03:10.779759100,8
4083,00:03:10.827114600,3
4084,00:03:10.868532,2
4085,00:03:10.904529300,4
4086,00:03:10.945526600,3
4087,00:03:10.984521,2
4088,00:03:11.019098800,3
4089,00:03:11.058512900,2
4090,00:03:11.098513700,3
4091,00:03:11.137514500,4
4092,00:03:11.179507700,3
4093,00:03:11.217501900,4
4094,00:03:11.256077700,4
4095,00:03:11.296505,3
4096,00:03:11.336499300,3
4097,00:03:11.381494100,3
4098,00:03:11.420488300,3
4099,00:03:11.463990300,3
4100,00:03:11.502487400,2
4101,00:03:11.542277700,2
4102,00:03:11.582480600,3
4103,00:03:11.620480500,4
4104,00:03:11.663054700,2
4105,00:03:11.698470600,2
4106,00:03:11.739467800,3
4107,00:03:11.780792400,2
4108,00:03:11.818465400,2
4109,00:03:11.854461700,3
4110,00:03:11.892457300,3
4111,00:03:11.933457500,3
4112,00:03:11.976452100,3
4113,00:03:12.014451500,3
4114,00:03:12.053544900,3
4115,00:03:12.092029,2
4116,00:03:12.126440800,3
4117,00:03:12.167443600,3
4118,00:03:12.206436500,3
4119,00:03:12.245015300,2
4120,00:03:12.279430800,3
4121,00:03:12.316425400,3
4122,00:03:12.354428500,4
4123,00:03:12.398002100,4
4124,00:03:12.439418500,2
4125,00:03:12.473422800,3
4126,00:03:12.511415200,3
4127,00:03:12.548339400,3
4128,00:03:12.586992300,3
4129,00:03:12.627406600,1
4130,00:03:12.664412300,3
4131,00:03:12.703503600,4
4132,00:03:12.744400600,4
4133,00:03:12.785397800,3
4134,00:03:12.825391300,2
4135,00:03:12.865433700,2
4136,00:03:12.904200400,4
4137,00:03:12.943493500,1
4138,00:03:12.979387400,3
4139,00:03:13.020961400,4
4140,00:03:13.070857600,2
4141,00:03:13.107375,2
4142,00:03:13.143304,1
4143,00:03:13.177945500,3
4144,00:03:13.218369500,4
4145,00:03:13.261373400,3
4146,00:03:13.304937600,2
4147,00:03:13.342554500,2
4148,00:03:13.378932600,3
4149,00:03:13.417937300,2
4150,00:03:13.456353600,3
4151,00:03:13.499352100,4
4152,00:03:13.537922300,3
4153,00:03:13.577952700,3
4154,00:03:13.613918800,4
4155,00:03:13.655335400,3
4156,00:03:13.694337700,2
4157,00:03:13.734332800,2
4158,00:03:13.769907800,3
4159,00:03:13.809335600,2
4160,00:03:13.848321900,3
4161,00:03:13.887872500,3
4162,00:03:13.929900900,4
4163,00:03:13.970317200,2
4164,00:03:14.007891100,3
4165,00:03:14.046307700,3
4166,00:03:14.086306,3
4167,00:03:14.130309500,2
4168,00:03:14.167299200,3
4169,00:03:14.206295600,2
4170,00:03:14.243921200,3
4171,00:03:14.281293100,2
4172,00:03:14.320292100,4
4173,00:03:14.362290300,3
4174,00:03:14.401459500,1
4175,00:03:14.437279800,2
4176,00:03:14.473860300,2
4177,00:03:14.511885200,3
4178,00:03:14.552296100,2
4179,00:03:14.588854,4
4180,00:03:14.628267,2
4181,00:03:14.664846200,2
4182,00:03:14.700263600,3
4183,00:03:14.742099100,3
4184,00:03:14.783705700,3
4185,00:03:14.822881500,3
4186,00:03:14.859832800,2
4187,00:03:14.896834200,2
4188,00:03:14.932491800,3
4189,00:03:14.972873100,2
4190,00:03:15.010245,2
4191,00:03:15.046818100,4
4192,00:03:15.086546800,11
4193,00:03:15.137236900,3
4194,00:03:15.177812300,3
4195,00:03:15.217855700,2
4196,00:03:15.255803,2
4197,00:03:15.289830400,3
4198,00:03:15.327225100,2
4199,00:03:15.364218100,4
4200,00:03:15.406215900,1
4201,00:03:15.443798200,4
4202,00:03:15.485208400,3
4203,00:03:15.526785200,2
4204,00:03:15.563831700,4
4205,00:03:15.606828800,3
4206,00:03:15.648783100,3
4207,00:03:15.688774500,3
4208,00:03:15.725770,1
4209,00:03:15.758189200,4
4210,00:03:15.800043200,1
4211,00:03:15.838190300,3
4212,00:03:15.877186700,3
4213,00:03:15.914760,2
4214,00:03:15.948755800,3
4215,00:03:15.988753900,4
4216,00:03:16.032758800,2
4217,00:03:16.071423600,3
4218,00:03:16.111752500,3
4219,00:03:16.149740700,1
4220,00:03:16.183741200,3
4221,00:03:16.219743,1
4222,00:03:16.257160900,3
4223,00:03:16.298735400,4
4224,00:03:16.337729100,2
4225,00:03:16.372656600,3
4226,00:03:16.444737700,3
4227,00:03:16.496724600,5
4228,00:03:16.544726900,4
4229,00:03:16.589715600,3
4230,00:03:16.631728600,5
4231,00:03:16.681044800,4
4232,00:03:16.731952,2
4233,00:03:16.775713600,3
4234,00:03:16.840710200,3
4235,00:03:16.893685900,2
4236,00:03:16.932188800,2
4237,00:03:16.968688800,2
4238,00:03:17.002936300,3
4239,00:03:17.045687600,2
4240,00:03:17.087643200,3
4241,00:03:17.129678200,3
4242,00:03:17.168671600,3
4243,00:03:17.208088900,4
4244,00:03:17.247579900,3
4245,00:03:17.288091800,2
4246,00:03:17.329662700,3
4247,00:03:17.369659100,4
4248,00:03:17.410104600,1
4249,00:03:17.444137,2
4250,00:03:17.483011300,3
4251,00:03:17.525069400,3
4252,00:03:17.567579500,2
4253,00:03:17.603085700,4
4254,00:03:17.644642600,3
4255,00:03:17.685055600,5
4256,00:03:17.729863700,3
4257,00:03:17.770638800,3
4258,00:03:17.808629800,4
4259,00:03:17.848043900,3
4260,00:03:17.886317500,3
4261,00:03:17.926622700,4
4262,00:03:17.971784200,2
4263,00:03:18.010035500,3
