Total Objects, Sample Time,Time (ms)
5001,00:03:47.493632300,10
5002,00:03:47.537655300,10
5003,00:03:47.576628500,9
5004,00:03:47.614578200,9
5005,00:03:47.654572500,10
5006,00:03:47.695679400,10
5007,00:03:47.738577900,10
5008,00:03:47.779574,10
5009,00:03:47.820562700,9
5010,00:03:47.860557600,9
5011,00:03:47.897741100,9
5012,00:03:47.937552900,10
5013,00:03:47.980550300,10
5014,00:03:48.020546800,9
5015,00:03:48.059420100,9
5016,00:03:48.098544900,10
5017,00:03:48.141542600,10
5018,00:03:48.182609300,9
5019,00:03:48.224082500,10
5020,00:03:48.262531100,11
5021,00:03:48.301667500,10
5022,00:03:48.342681600,10
5023,00:03:48.384950500,10
5024,00:03:48.425519100,10
5025,00:03:48.465014600,9
5026,00:03:48.504498300,10
5027,00:03:48.546513500,11
5028,00:03:48.590509900,9
5029,00:03:48.629504500,10
5030,00:03:48.668976600,9
5031,00:03:48.716499600,10
5032,00:03:48.759497300,9
5033,00:03:48.799681,9
5034,00:03:48.841800,9
5035,00:03:48.880488600,9
5036,00:03:48.917482600,11
5037,00:03:48.962549,11
5038,00:03:49.006478400,9
5039,00:03:49.044899,10
5040,00:03:49.086717700,10
5041,00:03:49.127474100,9
5042,00:03:49.166467900,9
5043,00:03:49.207465100,11
5044,00:03:49.250467500,9
5045,00:03:49.286457500,9
5046,00:03:49.328142100,11
5047,00:03:49.371489500,40
5048,00:03:49.447878800,11
5049,00:03:49.491856200,11
5050,00:03:49.534963700,11
5051,00:03:49.582486700,12
5052,00:03:49.631443200,11
5053,00:03:49.677437900,10
5054,00:03:49.718671800,12
5055,00:03:49.765426400,12
5056,00:03:49.818427200,12
5057,00:03:49.869426900,15
5058,00:03:49.939417900,14
5059,00:03:49.998413400,11
5060,00:03:50.040830400,11
5061,00:03:50.084411100,10
5062,00:03:50.126402400,10
5063,00:03:50.167397100,9
5064,00:03:50.208765900,11
5065,00:03:50.251444,12
5066,00:03:50.298389900,11
5067,00:03:50.341390800,11
5068,00:03:50.383410300,9
5069,00:03:50.422427600,9
5070,00:03:50.463304500,8
5071,00:03:50.502585,11
5072,00:03:50.549375300,9
5073,00:03:50.586369600,10
5074,00:03:50.625368800,9
5075,00:03:50.662368,10
5076,00:03:50.706363500,9
5077,00:03:50.747359900,9
5078,00:03:50.787301600,11
5079,00:03:50.829353,9
5080,00:03:50.868772400,12
5081,00:03:50.914668600,10
5082,00:03:50.957348200,9
5083,00:03:50.995343400,10
5084,00:03:51.035338600,10
5085,00:03:51.074549100,9
5086,00:03:51.116335300,10
5087,00:03:51.156331800,10
5088,00:03:51.196326400,11
5089,00:03:51.236323200,9
5090,00:03:51.273453800,9
5091,00:03:51.314746700,11
5092,00:03:51.359318500,10
5093,00:03:51.403448800,11
5094,00:03:51.444313200,11
5095,00:03:51.484308200,11
5096,00:03:51.528310100,11
5097,00:03:51.571651400,11
5098,00:03:51.619297300,10
5099,00:03:51.661273400,11
5100,00:03:51.701295700,11
5101,00:03:51.743414200,9
5102,00:03:51.784289100,10
5103,00:03:51.825289500,10
5104,00:03:51.867278900,9
5105,00:03:51.905696900,10
5106,00:03:51.950285500,12
5107,00:03:51.997273700,9
5108,00:03:52.038693700,9
