Total Objects, Sample Time,Memory Usage (MB)
5001,00:03:47.493632300,1416.9738311767578
5002,00:03:47.537655300,1418.9718780517578
5003,00:03:47.576628500,1420.9738311767578
5004,00:03:47.614578200,1424.9738311767578
5005,00:03:47.654572500,1426.9718780517578
5006,00:03:47.695679400,1428.9738311767578
5007,00:03:47.738577900,1430.9718780517578
5008,00:03:47.779574,1434.9718780517578
5009,00:03:47.820562700,1436.9738311767578
5010,00:03:47.860557600,1438.9718780517578
5011,00:03:47.897741100,1440.9738311767578
5012,00:03:47.937552900,1442.9718780517578
5013,00:03:47.980550300,1446.9718780517578
5014,00:03:48.020546800,1448.9875183105469
5015,00:03:48.059420100,1450.9718780517578
5016,00:03:48.098544900,1452.9797058105469
5017,00:03:48.141542600,1456.9738311767578
5018,00:03:48.182609300,1458.9718780517578
5019,00:03:48.224082500,1460.9738311767578
5020,00:03:48.262531100,1462.9718780517578
5021,00:03:48.301667500,1466.9718780517578
5022,00:03:48.342681600,1468.9738311767578
5023,00:03:48.384950500,1470.9718780517578
5024,00:03:48.425519100,1472.9738311767578
5025,00:03:48.465014600,1474.9718780517578
5026,00:03:48.504498300,1478.9718780517578
5027,00:03:48.546513500,1480.9875183105469
5028,00:03:48.590509900,1482.9718780517578
5029,00:03:48.629504500,1484.9797058105469
5030,00:03:48.668976600,1488.9738311767578
5031,00:03:48.716499600,1490.9718780517578
5032,00:03:48.759497300,1492.9738311767578
5033,00:03:48.799681,1494.9718780517578
5034,00:03:48.841800,1498.9718780517578
5035,00:03:48.880488600,1500.9738311767578
5036,00:03:48.917482600,1502.9718780517578
5037,00:03:48.962549,1504.9738311767578
5038,00:03:49.006478400,1506.9718780517578
5039,00:03:49.044899,1510.9718780517578
5040,00:03:49.086717700,1512.9875183105469
5041,00:03:49.127474100,1514.9718780517578
5042,00:03:49.166467900,1516.9797058105469
5043,00:03:49.207465100,1520.9738311767578
5044,00:03:49.250467500,1522.9718780517578
5045,00:03:49.286457500,1524.9738311767578
5046,00:03:49.328142100,1526.9718780517578
5047,00:03:49.371489500,1160.0
5048,00:03:49.447878800,1162.001953125
5049,00:03:49.491856200,1164.0
5050,00:03:49.534963700,1166.001953125
5051,00:03:49.582486700,1170.001953125
5052,00:03:49.631443200,1172.0
5053,00:03:49.677437900,1174.001953125
5054,00:03:49.718671800,1176.0
5055,00:03:49.765426400,1178.001953125
5056,00:03:49.818427200,1182.007827758789
5057,00:03:49.869426900,1180.0
5058,00:03:49.939417900,1182.001953125
5059,00:03:49.998413400,1184.0
5060,00:03:50.040830400,1188.0
5061,00:03:50.084411100,1190.001953125
5062,00:03:50.126402400,1192.0
5063,00:03:50.167397100,1194.001953125
5064,00:03:50.208765900,1198.001953125
5065,00:03:50.251444,1200.0
5066,00:03:50.298389900,1202.0021896362305
5067,00:03:50.341390800,1204.0
5068,00:03:50.383410300,1206.001953125
5069,00:03:50.422427600,1210.001953125
5070,00:03:50.463304500,1212.0
5071,00:03:50.502585,1214.001953125
5072,00:03:50.549375300,1216.0
5073,00:03:50.586369600,1220.0
5074,00:03:50.625368800,1222.001953125
5075,00:03:50.662368,1224.0
5076,00:03:50.706363500,1226.001953125
5077,00:03:50.747359900,1230.001953125
5078,00:03:50.787301600,1232.0
5079,00:03:50.829353,1234.001953125
5080,00:03:50.868772400,1236.0
5081,00:03:50.914668600,1238.001953125
5082,00:03:50.957348200,1242.001953125
5083,00:03:50.995343400,1244.0
5084,00:03:51.035338600,1246.007827758789
5085,00:03:51.074549100,1248.0
5086,00:03:51.116335300,1252.0
5087,00:03:51.156331800,1254.007827758789
5088,00:03:51.196326400,1256.0
5089,00:03:51.236323200,1258.001953125
5090,00:03:51.273453800,1260.0
5091,00:03:51.314746700,1264.0
5092,00:03:51.359318500,1266.001953125
5093,00:03:51.403448800,1268.0
5094,00:03:51.444313200,1270.001953125
5095,00:03:51.484308200,1274.001953125
5096,00:03:51.528310100,1276.0
5097,00:03:51.571651400,1278.001953125
5098,00:03:51.619297300,1280.0
5099,00:03:51.661273400,1284.0
5100,00:03:51.701295700,1286.001953125
5101,00:03:51.743414200,1288.0
5102,00:03:51.784289100,1290.001953125
5103,00:03:51.825289500,1292.0
5104,00:03:51.867278900,1296.0
5105,00:03:51.905696900,1298.001953125
5106,00:03:51.950285500,1300.0
5107,00:03:51.997273700,1302.001953125
5108,00:03:52.038693700,1306.001953125
5109,00:03:52.078218200,1308.0
5110,00:03:52.117685500,1310.015640258789
5111,00:03:52.157684100,1312.0
5112,00:03:52.199681700,1316.0
5113,00:03:52.242913,1318.001953125
5114,00:03:52.283324900,1320.0
5115,00:03:52.329579200,1322.001953125
5116,00:03:52.372660900,1324.0
5117,00:03:52.418664,1328.0
5118,00:03:52.462669800,1330.015640258789
5119,00:03:52.501242800,1332.0
5120,00:03:52.539236900,1334.007827758789
5121,00:03:52.578236,1338.001953125
5122,00:03:52.619651100,1340.0
5123,00:03:52.660654,1342.001953125
5124,00:03:52.702646500,1344.0
5125,00:03:52.739220500,1348.0
5126,00:03:52.775637700,1350.001953125
5127,00:03:52.821462300,1352.0
5128,00:03:52.863639900,1354.001953125
5129,00:03:52.906632500,1356.0
5130,00:03:52.946628700,1360.0
5131,00:03:52.987206300,1362.007827758789
5132,00:03:53.032591400,1364.0
5133,00:03:53.076726400,1366.001953125
5134,00:03:53.118618200,1370.001953125
5135,00:03:53.159190500,1372.0
5136,00:03:53.202718900,1374.001953125
5137,00:03:53.265610600,1376.0
5138,00:03:53.308606500,1380.0
5139,00:03:53.349598400,1382.001953125
5140,00:03:53.386594200,1384.0
5141,00:03:53.426543800,1386.001953125
5142,00:03:53.465594200,1388.0
5143,00:03:53.506588100,1392.0
5144,00:03:53.546584500,1394.015640258789
5145,00:03:53.586689100,1396.0
5146,00:03:53.625622900,1398.007827758789
5147,00:03:53.669580300,1402.001953125
5148,00:03:53.713578400,1404.0
5149,00:03:53.752576700,1406.001953125
5150,00:03:53.793060400,1408.0
5151,00:03:53.832567500,1412.0
5152,00:03:53.873567600,1414.001953125
5153,00:03:53.913566600,1416.0
5154,00:03:53.953562700,1418.001953125
5155,00:03:53.991559600,1420.0
5156,00:03:54.028131200,1424.0
5157,00:03:54.071555400,1426.015640258789
5158,00:03:54.115546600,1428.0
5159,00:03:54.159544800,1430.007827758789
5160,00:03:54.196885,1434.001953125
5161,00:03:54.236118500,1436.0
5162,00:03:54.277119500,1438.001953125
5163,00:03:54.320535300,1440.0
5164,00:03:54.364536200,1444.0
5165,00:03:54.404528500,1446.001953125
5166,00:03:54.442527200,1448.0
5167,00:03:54.481524700,1450.001953125
5168,00:03:54.528526400,1452.0
5169,00:03:54.579582700,1456.0
5170,00:03:54.619032800,1458.015640258789
5171,00:03:54.656509100,1460.0
5172,00:03:54.700509300,1462.007827758789
5173,00:03:54.742105900,1466.001953125
5174,00:03:54.785503800,1468.0
5175,00:03:54.826075500,1470.001953125
5176,00:03:54.866075700,1472.0
5177,00:03:54.908497500,1476.0
5178,00:03:54.949495300,1478.001953125
5179,00:03:54.991069400,1480.0
5180,00:03:55.030483300,1482.001953125
5181,00:03:55.067482500,1484.0
5182,00:03:55.109060,1488.0
5183,00:03:55.151057500,1490.015640258789
5184,00:03:55.192473600,1492.0
5185,00:03:55.235048400,1494.007827758789
5186,00:03:55.271468500,1498.001953125
5187,00:03:55.309046,1500.0
5188,00:03:55.353463600,1502.001953125
5189,00:03:55.394468100,1504.0
5190,00:03:55.437454100,1508.0
5191,00:03:55.477450800,1510.001953125
5192,00:03:55.516674300,1512.0
5193,00:03:55.558452,1195.4082717895508
5194,00:03:55.624447700,1197.3835906982422
5195,00:03:55.663442100,1201.3835906982422
5196,00:03:55.700436400,1203.3914184570312
5197,00:03:55.738436600,1205.3835906982422
5198,00:03:55.778436700,1207.3855438232422
5199,00:03:55.817012600,1211.3855438232422
5200,00:03:55.857427,1213.3835906982422
5201,00:03:55.899422800,1215.3855438232422
5202,00:03:55.941423200,1217.3835906982422
5203,00:03:55.983424,1221.3835906982422
5204,00:03:56.025422100,1223.3855438232422
5205,00:03:56.065415200,1225.3835906982422
5206,00:03:56.107409900,1227.3855438232422
5207,00:03:56.149989900,1229.3835906982422
5208,00:03:56.192405900,1233.3835906982422
5209,00:03:56.235981700,1235.3992309570312
5210,00:03:56.277396,1237.3835906982422
5211,00:03:56.316283100,1239.3914184570312
5212,00:03:56.354397100,1243.3855438232422
5213,00:03:56.398396,1245.3835906982422
5214,00:03:56.438386700,1247.3855438232422
5215,00:03:56.476505500,1249.3835906982422
5216,00:03:56.512169600,1253.3835906982422
5217,00:03:56.549713600,1255.3855438232422
5218,00:03:56.591382700,1257.3835906982422
5219,00:03:56.633377800,1259.3855438232422
5220,00:03:56.675373800,1261.3835906982422
5221,00:03:56.716369700,1265.3835906982422
5222,00:03:56.755370800,1267.3992309570312
5223,00:03:56.803372400,1269.3835906982422
5224,00:03:56.858489500,1271.3914184570312
5225,00:03:56.925933100,1275.3855438232422
5226,00:03:56.971709300,1277.3835906982422
5227,00:03:57.018351600,1279.3855438232422
5228,00:03:57.064603300,1281.3835906982422
5229,00:03:57.105920200,1285.3835906982422
5230,00:03:57.153340400,1287.3855438232422
5231,00:03:57.196337600,1289.3835906982422
5232,00:03:57.237334800,1291.3855438232422
5233,00:03:57.277328800,1293.3835906982422
5234,00:03:57.317780100,1297.3835906982422
5235,00:03:57.364900400,1299.3992309570312
5236,00:03:57.408325600,1301.3835906982422
5237,00:03:57.451320700,1303.3914184570312
5238,00:03:57.493318900,1307.3855438232422
5239,00:03:57.530309800,1309.3835906982422
5240,00:03:57.567886700,1311.3855438232422
5241,00:03:57.607236900,1313.3835906982422
5242,00:03:57.649887300,1317.3835906982422
5243,00:03:57.692303500,1319.3855438232422
5244,00:03:57.735710700,1321.3835906982422
5245,00:03:57.775876200,1323.3855438232422
5246,00:03:57.818292500,1325.3835906982422
5247,00:03:57.859289200,1329.3835906982422
5248,00:03:57.903878400,1331.3992309570312
5249,00:03:57.943285300,1333.3835906982422
5250,00:03:57.979859700,1335.3914184570312
5251,00:03:58.019280700,1339.3855438232422
5252,00:03:58.058299300,1341.3835906982422
5253,00:03:58.101916300,1343.3855438232422
5254,00:03:58.141269300,1345.3835906982422
5255,00:03:58.176844500,1349.3835906982422
5256,00:03:58.216210900,1351.3855438232422
5257,00:03:58.259845500,1353.3835906982422
5258,00:03:58.299261800,1355.3855438232422
5259,00:03:58.341631300,1357.3835906982422
5260,00:03:58.378533700,1361.3835906982422
5261,00:03:58.417249700,1363.3992309570312
5262,00:03:58.462588700,1365.3835906982422
5263,00:03:58.503543400,1367.3914184570312
5264,00:03:58.546242100,1371.3855438232422
5265,00:03:58.583060300,1373.3835906982422
5266,00:03:58.623409300,1375.3855438232422
5267,00:03:58.665977900,1377.3835906982422
5268,00:03:58.708231400,1381.3835906982422
5269,00:03:58.748807100,1383.3855438232422
5270,00:03:58.788806300,1385.3835906982422
5271,00:03:58.831572700,1387.3855438232422
5272,00:03:58.874225,1389.3835906982422
5273,00:03:58.919833700,1393.3835906982422
5274,00:03:58.960796500,1395.3992309570312
5275,00:03:59.001728400,1397.3835906982422
5276,00:03:59.043580400,1399.3914184570312
5277,00:03:59.086326200,1403.3855438232422
5278,00:03:59.128203200,1405.3835906982422
5279,00:03:59.168803,1407.3855438232422
5280,00:03:59.211194400,1409.3835906982422
5281,00:03:59.250379100,1413.3835906982422
5282,00:03:59.292816200,1415.3855438232422
5283,00:03:59.331195800,1417.3835906982422
5284,00:03:59.373945,1419.3855438232422
5285,00:03:59.419803,1421.3835906982422
5286,00:03:59.462494200,1425.3835906982422
5287,00:03:59.503229300,1427.3992309570312
5288,00:03:59.548753800,1429.3835906982422
5289,00:03:59.589169200,1431.3914184570312
5290,00:03:59.628749400,1435.3855438232422
5291,00:03:59.666743300,1437.3835906982422
5292,00:03:59.711412400,1439.3855438232422
5293,00:03:59.754741200,1441.3835906982422
5294,00:03:59.798808,1445.3835906982422
5295,00:03:59.842028700,1447.3855438232422
5296,00:03:59.885438300,1449.3835906982422
5297,00:03:59.929143100,1451.3855438232422
5298,00:03:59.974725300,1453.3835906982422
5299,00:04:00.015283200,1457.3835906982422
5300,00:04:00.056716,1459.3992309570312
5301,00:04:00.099665500,1461.3835906982422
5302,00:04:00.139713800,1463.3914184570312
5303,00:04:00.185129900,1467.3855438232422
5304,00:04:00.222511,1469.3835906982422
5305,00:04:00.264704300,1471.3855438232422
5306,00:04:00.306381,1473.3835906982422
5307,00:04:00.350703800,1477.3835906982422
5308,00:04:00.391366600,1479.3855438232422
5309,00:04:00.431657300,1481.3835906982422
5310,00:04:00.466690600,1483.3855438232422
5311,00:04:00.508113200,1485.3835906982422
5312,00:04:00.549685900,1489.3835906982422
5313,00:04:00.592282200,1491.3992309570312
5314,00:04:00.629344100,1493.3835906982422
5315,00:04:00.669097300,1495.3914184570312
5316,00:04:00.706672900,1499.3855438232422
5317,00:04:00.746091300,1501.3835906982422
5318,00:04:00.787824500,1503.3855438232422
5319,00:04:00.829692800,1505.3835906982422
5320,00:04:00.867081900,1509.3835906982422
5321,00:04:00.904659500,1511.3855438232422
5322,00:04:00.945656,1513.3835906982422
5323,00:04:00.989117,1515.3855438232422
5324,00:04:01.028508400,1517.3835906982422
5325,00:04:01.068646400,1521.3835906982422
5326,00:04:01.109643100,1523.3992309570312
5327,00:04:01.151646400,1525.3835906982422
5328,00:04:01.191529700,1527.3914184570312
5329,00:04:01.242472900,1531.3855438232422
5330,00:04:01.279655400,1533.3835906982422
5331,00:04:01.318629500,1535.3855438232422
5332,00:04:01.359629800,1537.3835906982422
5333,00:04:01.402283600,1541.3835906982422
5334,00:04:01.443628600,1543.3855438232422
5335,00:04:01.482621,1545.3835906982422
5336,00:04:01.521971,1547.3855438232422
5337,00:04:01.560034,1549.3835906982422
5338,00:04:01.601067,1553.3835906982422
5339,00:04:01.644612800,1555.3992309570312
5340,00:04:01.687653100,1557.3835906982422
5341,00:04:01.725714200,1559.3914184570312
5342,00:04:01.764605500,1563.3855438232422
5343,00:04:01.808599200,1565.3835906982422
5344,00:04:01.862392,1567.3855438232422
5345,00:04:01.901586600,1569.3835906982422
5346,00:04:01.938586400,1573.3835906982422
5347,00:04:01.981887100,1575.3855438232422
5348,00:04:02.026582800,1577.3835906982422
5349,00:04:02.089596500,1579.3855438232422
5350,00:04:02.134019600,1581.3835906982422
5351,00:04:02.175572300,1585.3835906982422
5352,00:04:02.217568100,1587.3992309570312
5353,00:04:02.259566800,1589.3835906982422
5354,00:04:02.300561300,1591.3914184570312
5355,00:04:02.340562600,1595.3855438232422
5356,00:04:02.379557100,1597.3835906982422
5357,00:04:02.427555200,1599.3855438232422
5358,00:04:02.469554300,1601.3835906982422
5359,00:04:02.511693,1605.3835906982422
5360,00:04:02.550543600,1607.3855438232422
5361,00:04:02.588543300,1609.3835906982422
5362,00:04:02.630713800,1611.3855438232422
5363,00:04:02.676536,1613.3835906982422
5364,00:04:02.714033100,1617.3835906982422
5365,00:04:02.756422200,1619.3992309570312
5366,00:04:02.798530300,1621.3835906982422
5367,00:04:02.841545800,1623.3914184570312
5368,00:04:02.884523700,1627.3855438232422
5369,00:04:02.925517700,1629.3835906982422
5370,00:04:02.967515200,1631.3855438232422
5371,00:04:03.004504,1633.3835906982422
5372,00:04:03.048518300,1637.3835906982422
5373,00:04:03.090933800,1639.3855438232422
5374,00:04:03.130504800,1641.3835906982422
5375,00:04:03.168925800,1643.3855438232422
5376,00:04:03.205685300,1645.3835906982422
5377,00:04:03.247504100,1649.3835906982422
5378,00:04:03.295325600,1651.3992309570312
5379,00:04:03.340497,1653.3835906982422
5380,00:04:03.378490200,1655.3914184570312
5381,00:04:03.417487800,1659.3855438232422
5382,00:04:03.455759400,1661.3835906982422
5383,00:04:03.496486300,1663.3855438232422
5384,00:04:03.537480800,1665.3835906982422
5385,00:04:03.578473500,1669.3835906982422
