Total Objects, Sample Time,Time (ms)
5001,00:03:47.493632300,3
5002,00:03:47.537655300,3
5003,00:03:47.576628500,3
5004,00:03:47.614578200,3
5005,00:03:47.654572500,4
5006,00:03:47.695679400,4
5007,00:03:47.738577900,3
5008,00:03:47.779574,3
5009,00:03:47.820562700,2
5010,00:03:47.860557600,3
5011,00:03:47.897741100,2
5012,00:03:47.937552900,2
5013,00:03:47.980550300,3
5014,00:03:48.020546800,3
5015,00:03:48.059420100,3
5016,00:03:48.098544900,4
5017,00:03:48.141542600,3
5018,00:03:48.182609300,2
5019,00:03:48.224082500,2
5020,00:03:48.262531100,4
5021,00:03:48.301667500,3
5022,00:03:48.342681600,3
5023,00:03:48.384950500,3
5024,00:03:48.425519100,3
5025,00:03:48.465014600,4
5026,00:03:48.504498300,3
5027,00:03:48.546513500,3
5028,00:03:48.590509900,2
5029,00:03:48.629504500,3
5030,00:03:48.668976600,2
5031,00:03:48.716499600,3
5032,00:03:48.759497300,2
5033,00:03:48.799681,3
5034,00:03:48.841800,2
5035,00:03:48.880488600,2
5036,00:03:48.917482600,4
5037,00:03:48.962549,4
5038,00:03:49.006478400,2
5039,00:03:49.044899,4
5040,00:03:49.086717700,4
5041,00:03:49.127474100,2
5042,00:03:49.166467900,3
5043,00:03:49.207465100,3
5044,00:03:49.250467500,2
5045,00:03:49.286457500,3
5046,00:03:49.328142100,5
5047,00:03:49.371489500,3
5048,00:03:49.447878800,2
5049,00:03:49.491856200,3
5050,00:03:49.534963700,3
5051,00:03:49.582486700,4
5052,00:03:49.631443200,3
5053,00:03:49.677437900,2
5054,00:03:49.718671800,3
5055,00:03:49.765426400,4
5056,00:03:49.818427200,4
5057,00:03:49.869426900,4
5058,00:03:49.939417900,5
5059,00:03:49.998413400,2
5060,00:03:50.040830400,2
5061,00:03:50.084411100,2
5062,00:03:50.126402400,3
5063,00:03:50.167397100,3
5064,00:03:50.208765900,4
5065,00:03:50.251444,4
5066,00:03:50.298389900,3
5067,00:03:50.341390800,4
5068,00:03:50.383410300,2
5069,00:03:50.422427600,2
5070,00:03:50.463304500,2
5071,00:03:50.502585,4
5072,00:03:50.549375300,2
5073,00:03:50.586369600,3
5074,00:03:50.625368800,2
5075,00:03:50.662368,3
5076,00:03:50.706363500,3
5077,00:03:50.747359900,2
5078,00:03:50.787301600,3
5079,00:03:50.829353,1
5080,00:03:50.868772400,3
5081,00:03:50.914668600,3
5082,00:03:50.957348200,2
5083,00:03:50.995343400,3
5084,00:03:51.035338600,2
5085,00:03:51.074549100,2
5086,00:03:51.116335300,2
5087,00:03:51.156331800,3
5088,00:03:51.196326400,4
5089,00:03:51.236323200,2
5090,00:03:51.273453800,2
5091,00:03:51.314746700,4
5092,00:03:51.359318500,3
5093,00:03:51.403448800,4
5094,00:03:51.444313200,3
5095,00:03:51.484308200,4
5096,00:03:51.528310100,3
5097,00:03:51.571651400,2
5098,00:03:51.619297300,3
5099,00:03:51.661273400,3
5100,00:03:51.701295700,4
5101,00:03:51.743414200,2
5102,00:03:51.784289100,2
5103,00:03:51.825289500,3
5104,00:03:51.867278900,2
5105,00:03:51.905696900,4
5106,00:03:51.950285500,4
5107,00:03:51.997273700,2
5108,00:03:52.038693700,2
5109,00:03:52.078218200,2
5110,00:03:52.117685500,2
5111,00:03:52.157684100,3
5112,00:03:52.199681700,3
5113,00:03:52.242913,3
5114,00:03:52.283324900,3
5115,00:03:52.329579200,3
5116,00:03:52.372660900,4
5117,00:03:52.418664,4
5118,00:03:52.462669800,2
5119,00:03:52.501242800,2
5120,00:03:52.539236900,2
5121,00:03:52.578236,3
5122,00:03:52.619651100,2
5123,00:03:52.660654,3
5124,00:03:52.702646500,2
5125,00:03:52.739220500,2
5126,00:03:52.775637700,4
5127,00:03:52.821462300,3
5128,00:03:52.863639900,3
5129,00:03:52.906632500,3
5130,00:03:52.946628700,4
5131,00:03:52.987206300,4
5132,00:03:53.032591400,3
5133,00:03:53.076726400,3
5134,00:03:53.118618200,3
5135,00:03:53.159190500,3
5136,00:03:53.202718900,5
5137,00:03:53.265610600,3
5138,00:03:53.308606500,4
5139,00:03:53.349598400,2
5140,00:03:53.386594200,3
5141,00:03:53.426543800,2
5142,00:03:53.465594200,2
5143,00:03:53.506588100,3
5144,00:03:53.546584500,3
5145,00:03:53.586689100,2
5146,00:03:53.625622900,3
5147,00:03:53.669580300,4
5148,00:03:53.713578400,2
5149,00:03:53.752576700,4
5150,00:03:53.793060400,2
5151,00:03:53.832567500,3
5152,00:03:53.873567600,2
5153,00:03:53.913566600,2
5154,00:03:53.953562700,4
5155,00:03:53.991559600,2
5156,00:03:54.028131200,4
5157,00:03:54.071555400,4
5158,00:03:54.115546600,4
5159,00:03:54.159544800,1
5160,00:03:54.196885,2
5161,00:03:54.236118500,2
5162,00:03:54.277119500,3
5163,00:03:54.320535300,3
5164,00:03:54.364536200,2
5165,00:03:54.404528500,1
5166,00:03:54.442527200,3
