Total Objects,Memory Usage (MB)
1001,295.3111877441406
1002,298.6621780395508
1003,300.9875793457031
1004,302.66197204589844
1005,304.98754119873047
1006,306.67755126953125
1007,309.0012512207031
1008,310.6834487915039
1009,312.98756408691406
1010,314.66199493408203
1011,255.6576385498047
1012,257.10948944091797
1013,259.51039123535156
1014,262.07215118408203
1015,263.5103454589844
1016,266.07215118408203
1017,267.5103988647461
1018,270.07215118408203
1019,272.9468078613281
1020,274.07215118408203
1021,276.95247650146484
1022,278.07215118408203
1023,280.9466552734375
1024,282.07215118408203
1025,284.9602737426758
1026,286.07215118408203
1027,288.94659423828125
1028,291.51036071777344
1029,292.9622116088867
1030,295.51036071777344
1031,296.9543991088867
1032,299.5103454589844
1033,300.95438385009766
1034,303.51036071777344
1035,304.94659423828125
1036,307.5240249633789
1037,308.9758758544922
1038,311.5103302001953
1039,314.07215118408203
1040,315.51033782958984
1041,318.07215118408203
1042,319.5103530883789
1043,322.07215118408203
1044,323.5105743408203
1045,326.07215118408203
1046,328.94683837890625
1047,330.07215118408203
1048,332.9524917602539
1049,334.07215118408203
1050,336.94659423828125
1051,338.07215118408203
1052,340.9602737426758
1053,342.07215118408203
1054,344.9465789794922
1055,347.5108184814453
1056,348.9626693725586
1057,351.5104522705078
1058,352.9544906616211
1059,355.5103454589844
1060,356.95438385009766
1061,359.51033782958984
1062,360.94657135009766
1063,363.5240249633789
1064,364.9758758544922
1065,367.51033782958984
1066,370.07215118408203
1067,371.51036071777344
1068,374.07215118408203
1069,375.5103759765625
1070,378.07215118408203
1071,270.52906799316406
1072,272.51953887939453
1073,274.52149200439453
1074,276.51953887939453
1075,278.5351791381836
1076,280.51953887939453
1077,282.52149200439453
1078,284.51953887939453
1079,286.5351791381836
1080,288.51953887939453
1081,292.51953887939453
1082,294.5215072631836
1083,296.51953887939453
1084,298.52149200439453
1085,300.51953887939453
1086,302.52149200439453
1087,304.51953887939453
1088,306.52149200439453
1089,308.51953887939453
1090,310.52149200439453
1091,312.51953887939453
1092,314.52149200439453
1093,316.51953887939453
1094,318.52149200439453
1095,320.51953887939453
1096,322.5273666381836
1097,324.51953887939453
1098,326.52149200439453
1099,328.51953887939453
1100,330.5273666381836
1101,332.51953887939453
1102,334.52149200439453
1103,336.51953887939453
1104,338.52149200439453
1105,340.51953887939453
1106,342.52149200439453
1107,344.51953887939453
1108,346.52149200439453
1109,350.52149200439453
1110,352.51953887939453
1111,354.52149200439453
1112,356.51953887939453
1113,358.52149200439453
1114,360.51953887939453
1115,362.52149200439453
1116,364.51953887939453
1117,366.52149200439453
1118,368.51953887939453
1119,370.5351791381836
1120,372.51953887939453
1121,374.52149200439453
1122,376.51953887939453
1123,281.16790771484375
1124,283.15250396728516
1125,285.15445709228516
1126,287.15250396728516
1127,289.15445709228516
1128,291.15250396728516
1129,293.1603317260742
1130,295.15250396728516
1131,297.15445709228516
1132,299.15250396728516
1133,301.15445709228516
1134,303.15250396728516
1135,305.15445709228516
1136,307.15250396728516
1137,309.15445709228516
1138,313.15445709228516
1139,315.15250396728516
1140,317.15445709228516
1141,319.15250396728516
1142,321.15445709228516
1143,323.15250396728516
1144,325.15445709228516
1145,327.15250396728516
1146,329.15445709228516
1147,331.15250396728516
1148,333.1681442260742
1149,335.15250396728516
1150,337.15445709228516
1151,339.15250396728516
1152,341.1603317260742
1153,343.15250396728516
1154,345.15445709228516
1155,347.15250396728516
1156,349.15445709228516
1157,351.15250396728516
1158,353.1603317260742
1159,355.15250396728516
1160,357.15445709228516
1161,359.15250396728516
1162,361.15445709228516
1163,363.15250396728516
1164,365.15445709228516
1165,367.15250396728516
1166,369.15445709228516
1167,373.15445709228516
1168,375.15250396728516
1169,377.15445709228516
1170,379.15250396728516
1171,381.15445709228516
1172,383.15250396728516
1173,293.63802337646484
1174,295.6284942626953
1175,297.6304473876953
1176,299.6284942626953
1177,301.6363220214844
1178,303.6284942626953
1179,305.6304473876953
1180,307.6284942626953
1181,309.6304473876953
1182,311.6284942626953
1183,313.6304473876953
1184,315.6284942626953
1185,317.6306915283203
1186,319.6284942626953
1187,321.6304473876953
1188,323.6284942626953
1189,325.6304473876953
1190,327.6284942626953
1191,329.6304473876953
1192,331.6284942626953
1193,333.6304473876953
1194,335.6284942626953
1195,337.6363220214844
1196,341.6304473876953
1197,343.6284942626953
1198,345.6304473876953
1199,347.6284942626953
1200,349.6304473876953
1201,351.6284942626953
1202,353.6304473876953
1203,355.6284942626953
1204,357.6304473876953
1205,359.6284942626953
1206,361.6304473876953
1207,363.6284942626953
1208,365.6304473876953
1209,367.6284942626953
1210,369.6304473876953
1211,371.6284942626953
1212,373.6304473876953
1213,375.6284942626953
1214,377.6304473876953
1215,379.6284942626953
1216,381.6304473876953
1217,383.6284942626953
1218,305.4041213989258
1219,307.2414779663086
1220,309.3966293334961
1221,311.55723571777344
1222,313.3967514038086
