Total Objects,Time (ms)
1001,5
1002,5
1003,4
1004,4
1005,4
1006,5
1007,4
1008,5
1009,4
1010,4
1011,10
1012,4
1013,4
1014,4
1015,5
1016,4
1017,4
1018,4
1019,4
1020,4
1021,4
1022,4
1023,4
1024,4
1025,4
1026,4
1027,4
1028,5
1029,4
1030,4
1031,4
1032,4
1033,4
1034,4
1035,4
1036,5
1037,5
1038,5
1039,5
1040,4
1041,4
1042,4
1043,4
1044,5
1045,4
1046,4
1047,4
1048,4
1049,5
1050,4
1051,4
1052,4
1053,4
1054,4
1055,4
1056,4
1057,4
1058,4
1059,4
1060,4
1061,4
1062,4
1063,4
1064,4
1065,4
1066,4
1067,5
1068,4
1069,4
1070,4
1071,4
1072,5
1073,4
1074,4
1075,4
1076,4
1077,4
1078,4
1079,4
1080,4
1081,3
1082,5
1083,4
1084,4
1085,4
1086,4
1087,5
1088,4
1089,5
1090,4
1091,4
1092,4
1093,4
1094,4
1095,4
1096,4
1097,5
1098,4
1099,4
1100,4
1101,4
1102,4
1103,4
1104,4
1105,5
1106,4
1107,4
1108,4
1109,5
1110,4
1111,5
1112,5
1113,4
1114,4
1115,4
1116,4
1117,4
1118,5
1119,5
1120,4
1121,4
1122,4
1123,5
1124,4
1125,4
1126,4
1127,4
1128,4
1129,4
1130,4
1131,5
1132,4
1133,4
1134,4
1135,5
1136,4
1137,4
1138,4
1139,4
1140,4
1141,4
1142,5
1143,4
1144,4
1145,4
1146,4
1147,4
1148,5
1149,4
1150,4
1151,4
1152,4
1153,4
1154,4
1155,4
1156,4
1157,4
1158,4
1159,4
1160,5
1161,5
1162,4
1163,4
1164,4
1165,4
1166,4
1167,4
1168,5
1169,4
1170,4
1171,4
1172,5
1173,13
1174,4
1175,6
1176,4
1177,5
1178,4
1179,5
1180,4
1181,5
1182,5
1183,4
1184,5
1185,5
1186,5
1187,5
1188,5
1189,3
1190,5
1191,4
1192,4
1193,4
1194,4
1195,5
1196,4
1197,4
1198,5
1199,4
1200,4
1201,5
1202,4
1203,4
1204,4
1205,5
1206,4
1207,5
1208,4
1209,4
1210,4
1211,5
1212,4
1213,4
1214,4
1215,4
1216,4
1217,4
1218,5
1219,4
1220,4
1221,4
1222,4
1223,4
1224,4
1225,4
1226,4
1227,4
1228,4
1229,4
1230,4
1231,5
1232,4
1233,4
1234,4
1235,4
1236,4
1237,4
1238,4
1239,4
1240,4
1241,4
1242,4
1243,4
1244,4
1245,4
1246,4
1247,4
1248,5
1249,4
1250,4
1251,4
1252,4
1253,4
1254,4
1255,5
1256,4
1257,4
1258,4
1259,4
1260,4
1261,4
1262,4
1263,4
1264,4
1265,4
1266,4
1267,4
1268,4
1269,4
1270,4
1271,4
1272,4
1273,4
1274,5
1275,4
1276,4
1277,4
1278,4
1279,4
1280,4
1281,5
1282,4
1283,11
1284,4
1285,4
1286,4
1287,4
1288,5
1289,4
1290,4
1291,4
1292,4
1293,4
1294,4
1295,4
1296,3
1297,4
1298,4
1299,4
1300,4
1301,4
1302,4
1303,4
1304,5
1305,4
1306,4
1307,4
1308,4
1309,4
1310,4
1311,4
1312,4
1313,5
1314,5
1315,5
1316,4
1317,4
1318,5
1319,4
1320,4
1321,5
1322,4
1323,5
1324,5
1325,4
1326,5
1327,4
1328,4
1329,4
1330,4
1331,4
1332,4
1333,4
1334,4
1335,4
1336,4
1337,4
1338,4
1339,4
1340,4
1341,4
1342,4
1343,4
1344,4
1345,12
1346,4
1347,4
1348,4
1349,4
1350,4
1351,4
1352,4
1353,5
1354,4
1355,4
1356,4
1357,4
1358,4
1359,4
1360,4
1361,4
1362,4
1363,4
1364,4
1365,4
1366,4
1367,4
1368,4
1369,4
1370,4
1371,4
1372,4
1373,4
1374,4
1375,4
1376,4
1377,4
1378,3
1379,4
1380,5
1381,4
1382,4
1383,4
1384,4
1385,4
1386,4
1387,4
1388,8
1389,4
1390,4
1391,4
1392,4
1393,4
1394,4
1395,5
1396,5
1397,4
1398,4
1399,4
1400,4
1401,13
1402,6
1403,8
1404,4
1405,4
1406,4
1407,4
1408,5
1409,4
1410,4
1411,5
1412,5
1413,4
1414,5
1415,4
1416,4
1417,5
1418,5
1419,4
1420,5
1421,5
1422,4
1423,4
1424,4
1425,4
1426,4
1427,4
1428,4
1429,4
1430,4
1431,5
1432,4
1433,5
1434,5
1435,4
1436,4
1437,4
1438,4
1439,4
1440,4
1441,4
1442,4
1443,5
1444,4
1445,4
1446,4
1447,5
1448,4
1449,3
1450,5
1451,4
1452,4
1453,6
1454,5
1455,4
1456,5
1457,4
1458,5
1459,4
1460,4
1461,4
1462,5
1463,4
1464,4
1465,5
1466,4
1467,4
1468,4
1469,4
1470,4
1471,4
1472,4
1473,4
1474,4
1475,4
1476,4
1477,4
1478,4
1479,4
1480,4
1481,4
1482,4
1483,4
1484,4
1485,4
1486,5
1487,4
1488,4
1489,4
1490,4
1491,3
1492,4
1493,4
1494,4
1495,4
1496,4
1497,4
1498,5
1499,4
1500,4
1501,5
1502,4
1503,4
1504,4
1505,4
1506,4
1507,4
1508,4
1509,6
1510,5
1511,4
1512,4
1513,4
1514,4
1515,4
1516,4
1517,4
1518,4
1519,4
1520,4
1521,3
1522,5
1523,4
1524,4
1525,4
1526,4
1527,4
1528,3
1529,14
1530,4
1531,4
