Total Objects,Memory Usage (MB)
4,46.193359375
5,49.69140625
6,20.501953125
7,23.0
8,25.0
9,27.501953125
10,30.0
11,32.502197265625
12,34.51564025878906
13,37.0
14,39.501953125
15,42.0
16,44.0
17,46.501953125
18,49.0
19,51.0
20,53.501953125
21,56.0
22,58.0
23,60.501953125
24,62.501953125
25,65.0
26,67.501953125
27,69.501953125
28,72.0
29,74.0
30,76.501953125
31,79.0
32,29.29638671875
33,31.79638671875
34,33.79638671875
35,37.29443359375
36,39.79638671875
37,41.79638671875
38,44.29443359375
39,46.29443359375
40,48.79638671875
41,50.79638671875
42,53.29443359375
43,55.29443359375
44,57.79638671875
45,59.79638671875
46,62.29443359375
47,64.29443359375
48,66.79638671875
49,68.79638671875
50,71.29443359375
51,73.29443359375
52,75.79638671875
53,77.79638671875
54,80.29443359375
55,34.79638671875
56,36.79638671875
57,39.29443359375
58,41.29443359375
59,43.79638671875
60,45.79638671875
61,47.79638671875
62,50.29443359375
63,52.29443359375
64,54.79638671875
65,56.79638671875
66,59.29443359375
67,61.29443359375
68,63.79638671875
69,65.79638671875
70,68.29443359375
71,70.29443359375
72,72.79638671875
73,74.79638671875
74,77.29443359375
75,79.29443359375
76,39.501953125
77,41.501953125
78,44.0
79,46.0
80,48.501953125
81,50.501953125
82,52.501953125
83,55.0
84,57.0
85,59.501953125
86,61.501953125
87,63.501953125
88,66.0
89,68.0
90,70.001953125
91,72.501953125
92,74.501953125
93,77.0
94,79.0
95,81.0
96,42.628326416015625
97,45.0
98,47.0
99,49.0
100,51.501953125
101,53.501953125
102,56.0
103,58.0
104,60.0
105,62.501953125
106,64.501953125
107,67.0
108,69.0
109,71.0
110,73.501953125
111,75.501953125
112,77.51564025878906
113,80.0
114,82.0
115,84.501953125
116,47.52635192871094
117,49.94580078125
118,51.94580078125
119,53.94580078125
120,56.44775390625
121,58.44775390625
122,60.44775390625
123,62.94580078125
124,64.94580078125
125,67.44775390625
126,69.44775390625
127,71.44775390625
128,73.94580078125
129,75.94580078125
130,77.94580078125
131,80.44775390625
132,82.44775390625
133,84.94580078125
134,86.94580078125
135,52.439453125
136,54.45314025878906
137,56.439453125
138,58.9375
139,60.9375
140,62.9375
141,65.439453125
142,67.439453125
143,69.439453125
144,71.9375
145,73.9375
146,76.439453125
147,78.45314025878906
148,80.439453125
149,82.9375
150,84.9375
151,86.9375
152,55.530670166015625
153,57.5098876953125
154,60.0
155,62.0
156,64.0
157,66.501953125
158,68.501953125
159,70.501953125
160,73.0
161,75.0
162,77.0
163,79.501953125
164,81.501953125
165,84.0
166,86.0
167,88.0
168,59.3248291015625
169,61.3076171875
170,63.3076171875
171,65.8056640625
172,67.8056640625
173,69.8056640625
174,72.3123779296875
175,74.3076171875
176,76.8056640625
177,78.8056640625
178,80.8056640625
179,83.3076171875
180,85.3076171875
181,87.3076171875
182,89.8056640625
183,62.375
184,64.375
185,66.876953125
186,68.876953125
187,71.375
188,73.375
189,75.375
190,77.876953125
191,79.876953125
192,81.876953125
193,84.375
194,86.375
195,88.375
196,90.876953125
197,64.46949768066406
198,66.96754455566406
199,68.96754455566406
200,70.96754455566406
201,73.46949768066406
202,75.48318481445312
203,77.46949768066406
204,79.96754455566406
205,81.96754455566406
206,83.96754455566406
207,86.46949768066406
208,88.46949768066406
209,90.46949768066406
210,92.96754455566406
211,68.23988342285156
212,70.23988342285156
213,72.74183654785156
214,74.74183654785156
215,77.23988342285156
216,79.23988342285156
217,81.23988342285156
218,83.74183654785156
219,85.74771118164062
220,87.74183654785156
221,90.23988342285156
222,69.49220275878906
223,71.49220275878906
224,73.99440002441406
225,75.99415588378906
226,77.99415588378906
227,80.49415588378906
228,82.49220275878906
229,84.49220275878906
230,86.99415588378906
231,88.99415588378906
232,91.49220275878906
233,93.49220275878906
234,95.49220275878906
235,97.99415588378906
236,100.00003051757812
237,71.37703704833984
238,73.87255859375
239,75.87255859375
240,77.87255859375
241,80.37451171875
242,82.37451171875
243,84.37451171875
244,86.87255859375
245,88.87255859375
246,90.87255859375
247,93.37451171875
248,95.37451171875
249,97.37451171875
250,99.87255859375
251,101.87255859375
252,76.80517578125
253,78.80517578125
254,80.80517578125
255,83.30322265625
256,85.30322265625
257,87.30322265625
258,89.80517578125
259,92.30322265625
260,94.30322265625
261,96.30322265625
262,98.80517578125
263,100.80517578125
264,78.1328125
265,80.630859375
266,82.630859375
267,84.630859375
268,87.1328125
269,89.1328125
270,91.1328125
271,93.630859375
272,95.630859375
273,98.1328125
274,100.1328125
275,102.1328125
276,104.630859375
277,106.630859375
278,108.630859375
279,111.1328125
280,113.1328125
281,115.13282775878906
282,83.0
283,85.0
284,87.0
285,89.501953125
286,91.501953125
287,93.501953125
288,96.0
289,98.0
290,100.0
291,102.501953125
292,104.501953125
293,106.501953125
294,109.0
295,111.0
296,113.0
297,115.501953125
298,85.50447845458984
299,87.501953125
300,90.0
301,92.0
302,94.0
303,96.501953125
304,98.501953125
305,100.51564025878906
306,103.0
307,105.0
308,107.0
309,109.501953125
310,111.501953125
311,113.501953125
312,116.0
313,89.9931640625
314,92.4951171875
315,94.4951171875
316,96.4951171875
317,98.9931640625
318,100.9931640625
319,102.9931640625
320,105.4951171875
321,107.4951171875
322,109.495361328125
323,111.9931640625
324,113.9931640625
325,115.9931640625
326,118.4951171875
327,120.4951171875
328,122.4951171875
329,124.9931640625
330,126.9931640625
331,128.9931640625
332,92.50447845458984
333,94.501953125
334,96.501953125
335,99.0
336,101.0
337,103.0
338,105.501953125
339,107.51564025878906
340,109.501953125
341,112.0
342,114.0
343,116.0
344,118.501953125
345,120.5103530883789
346,122.501953125
347,125.0
348,127.0
349,129.0
350,131.501953125
351,98.0810546875
352,100.0810546875
353,102.5791015625
354,104.5791015625
355,106.5791015625
356,109.0810546875
357,111.0810546875
358,113.0810546875
359,115.5791015625
360,117.5791015625
361,119.5791015625
362,122.0810546875
363,124.0810546875
364,126.0810546875
365,128.5791015625
366,130.5791015625
367,101.94114685058594
368,103.92745971679688
369,106.42550659179688
370,108.42550659179688
371,110.42550659179688
372,112.92745971679688
373,114.93333435058594
374,116.92745971679688
375,119.42550659179688
376,121.42550659179688
377,123.42550659179688
378,125.92745971679688
379,127.92745971679688
380,129.92745971679688
381,132.42550659179688
382,134.42550659179688
383,136.42550659179688
384,138.92745971679688
385,140.92745971679688
386,142.92745971679688
387,145.42550659179688
388,147.42550659179688
389,149.42550659179688
390,107.298828125
391,109.298828125
392,111.298828125
393,113.796875
394,115.796875
395,117.796875
396,120.298828125
397,122.298828125
398,124.298828125
399,126.796875
400,128.796875
401,130.796875
402,133.298828125
403,135.298828125
404,137.298828125
405,139.796875
406,141.796875
407,143.796875
408,146.298828125
409,148.31251525878906
410,150.298828125
411,112.0
412,114.0
413,116.0
414,118.501953125
415,120.501953125
416,122.502197265625
417,125.0
418,127.0
419,129.0
420,131.501953125
421,133.501953125
422,135.501953125
423,137.501953125
424,140.0
425,142.0
426,144.0
427,146.501953125
428,148.501953125
429,114.75164794921875
430,117.23095703125
431,119.23095703125
432,121.23095703125
433,123.73291015625
434,125.73291015625
435,127.73291015625
436,130.23095703125
437,132.23095703125
438,134.23095703125
439,136.73291015625
440,138.73291015625
441,140.73291015625
442,143.23095703125
443,145.23095703125
444,147.23095703125
445,149.73291015625
446,151.73878479003906
447,153.73291015625
448,156.23095703125
449,158.23095703125
450,160.23095703125
451,162.73291015625
452,164.73291015625
453,166.73291015625
454,120.458984375
455,122.45703125
456,124.45703125
457,126.958984375
458,128.958984375
459,130.958984375
460,132.958984375
461,135.45703125
462,137.45703125
463,139.45703125
464,141.958984375
465,143.958984375
466,145.958984375
467,148.45703125
468,150.45703125
469,152.45703125
470,154.958984375
471,156.96485900878906
472,158.958984375
473,161.45703125
474,163.45703125
475,165.45703125
476,167.958984375
477,169.958984375
478,126.501953125
479,128.501953125
480,131.0
481,133.0
482,135.0
483,137.501953125
484,139.501953125
485,141.501953125
486,144.0
487,146.0
488,148.001953125
489,150.501953125
490,152.501953125
491,154.51564025878906
492,157.0
493,159.0
494,161.0
495,163.501953125
496,165.501953125
497,167.501953125
498,130.822265625
499,132.822265625
500,134.822265625
501,137.32421875
502,139.32421875
503,141.32421875
504,143.822265625
505,145.822265625
506,147.822265625
507,149.822265625
508,152.32421875
509,154.32421875
510,156.32421875
511,158.822265625
512,160.822265625
513,162.822265625
514,165.32421875
515,167.3267593383789
516,169.32421875
517,171.822265625
518,173.822265625
519,175.822265625
520,178.32421875
521,180.32421875
522,182.32421875
523,184.32421875
524,186.822265625
525,188.822265625
526,190.822265625
527,137.1103515625
528,139.1103515625
529,141.1103515625
530,143.6083984375
531,145.6083984375
532,147.6083984375
533,150.1103515625
534,152.12403869628906
535,154.1103515625
536,156.6083984375
537,158.6083984375
538,160.6083984375
539,163.1103515625
540,165.1103515625
541,167.1103515625
542,169.12403869628906
543,171.6083984375
544,173.6083984375
545,175.6083984375
546,178.1103515625
547,180.1103515625
548,182.1103515625
549,184.6083984375
550,186.6083984375
551,188.6083984375
552,191.1103515625
553,193.1103515625
554,143.744140625
555,146.2421875
556,148.2421875
557,150.2421875
558,152.2421875
559,154.744140625
560,156.744140625
561,158.744140625
562,161.2421875
563,163.2421875
564,165.2421875
565,167.744140625
566,169.744140625
567,171.744140625
568,174.2421875
569,176.2421875
570,178.2421875
571,180.2421875
572,182.744140625
573,184.744140625
574,186.744140625
575,189.2421875
576,191.2421875
577,148.96826171875
578,151.46826171875
579,153.48194885253906
580,155.46826171875
581,157.96630859375
582,159.96630859375
583,161.96630859375
584,163.96630859375
585,166.46826171875
586,168.46826171875
587,170.46826171875
588,172.96630859375
589,174.96630859375
590,176.96630859375
591,179.46826171875
592,181.46826171875
593,183.46826171875
594,185.96630859375
595,187.96630859375
596,189.96630859375
597,191.96630859375
598,194.46826171875
599,196.46826171875
600,198.46826171875
601,200.96630859375
602,202.96630859375
603,204.96630859375
604,207.46826171875
605,209.46826171875
606,211.46826171875
607,213.96630859375
608,215.96630859375
609,217.96630859375
610,219.96630859375
611,157.41748046875
612,159.41748046875
613,161.41748046875
614,163.91552734375
615,165.91552734375
616,167.91552734375
617,170.41748046875
618,172.41748046875
619,174.41748046875
620,176.91552734375
621,178.91552734375
622,180.91552734375
623,182.91552734375
624,185.41748046875
625,187.41748046875
626,189.41748046875
627,191.91552734375
628,193.91552734375
629,195.91552734375
630,198.41748046875
631,200.41748046875
632,202.41748046875
633,204.91552734375
634,206.91552734375
635,208.91552734375
636,210.91552734375
637,213.41748046875
638,215.41748046875
639,217.41748046875
640,219.91552734375
641,165.2685546875
642,167.2685546875
643,169.27108001708984
644,171.7666015625
645,173.7666015625
646,175.7666015625
647,178.2685546875
648,180.28224182128906
649,182.268798828125
650,184.7666015625
651,186.7666015625
652,188.7666015625
653,190.7666015625
654,193.2685546875
655,195.2685546875
656,197.2685546875
657,199.7666015625
658,201.7666015625
659,203.7666015625
660,206.2685546875
661,208.2685546875
662,210.2685546875
663,212.2685546875
664,214.7666015625
665,216.7666015625
666,218.7666015625
667,169.4264373779297
668,171.42138671875
669,173.42138671875
670,175.91943359375
671,177.91943359375
672,179.91943359375
673,182.42138671875
674,184.42138671875
675,186.42138671875
676,188.43507385253906
677,190.91943359375
678,192.91943359375
679,194.91943359375
680,197.42138671875
681,199.43507385253906
682,201.42138671875
683,203.91943359375
684,205.91943359375
685,207.91943359375
686,209.91943359375
687,212.42138671875
688,214.42138671875
689,216.42138671875
690,218.91943359375
691,220.91943359375
692,222.91943359375
693,225.42138671875
694,227.42138671875
695,229.42138671875
696,231.42138671875
697,233.91943359375
698,235.91943359375
699,237.91943359375
700,240.42138671875
701,242.42138671875
702,244.42138671875
703,246.91943359375
704,248.91943359375
705,177.8642578125
706,180.3662109375
707,182.3662109375
708,184.3662109375
709,186.37989807128906
710,188.8642578125
711,190.8642578125
712,192.8642578125
713,195.3662109375
714,197.37989807128906
715,199.3662109375
716,201.8642578125
717,203.8642578125
718,205.8642578125
719,207.8642578125
720,210.3662109375
721,212.3662109375
722,214.3662109375
723,216.8642578125
724,218.8642578125
725,220.8642578125
726,223.3662109375
727,225.3662109375
728,227.3662109375
729,229.3662109375
730,231.8642578125
731,233.8642578125
732,235.8642578125
733,238.3662109375
734,240.3662109375
735,242.3662109375
736,244.8642578125
737,246.8642578125
738,248.8642578125
739,250.8642578125
740,185.92919921875
741,187.92919921875
742,189.92919921875
743,192.42724609375
744,194.42724609375
745,196.42724609375
746,198.92919921875
747,200.92919921875
748,202.92919921875
749,204.92919921875
750,207.42724609375
751,209.42724609375
752,211.42724609375
753,213.92919921875
754,215.92919921875
755,217.92919921875
756,220.42724609375
757,222.42724609375
758,224.42724609375
759,226.42724609375
760,228.92919921875
761,230.92919921875
762,232.92919921875
763,235.42724609375
764,237.42724609375
765,239.42724609375
766,241.92919921875
767,243.92919921875
768,245.92919921875
769,247.92919921875
770,250.42724609375
771,191.66015625
772,193.658203125
773,196.16015625
774,198.16015625
775,200.16015625
776,202.658203125
777,204.658203125
778,206.658203125
779,208.658203125
780,211.16015625
781,213.16015625
782,215.16015625
783,217.658203125
784,219.658203125
785,221.658203125
786,224.16015625
787,226.16015625
788,228.658203125
789,230.658203125
790,232.658203125
791,234.658203125
792,237.16015625
793,239.16015625
794,241.16015625
795,243.658203125
796,245.658203125
797,247.658203125
798,249.658203125
799,252.16015625
800,254.16015625
801,256.16015625
802,258.658203125
803,260.658203125
804,262.658203125
805,265.16015625
806,267.16015625
807,269.16015625
808,271.16603088378906
809,273.658203125
810,275.658203125
811,277.658203125
812,280.16015625
813,282.17384338378906
814,200.72429656982422
815,203.21729278564453
816,205.21729278564453
817,207.21729278564453
818,209.21729278564453
819,211.71924591064453
820,213.71924591064453
821,215.71924591064453
822,218.21729278564453
823,220.21729278564453
824,222.21729278564453
825,224.71924591064453
826,226.71924591064453
827,228.71924591064453
828,230.7329330444336
829,233.21729278564453
830,235.21729278564453
831,237.21729278564453
832,239.71924591064453
833,241.71924591064453
834,243.71924591064453
835,245.71924591064453
836,248.21729278564453
837,250.71924591064453
838,252.71924591064453
839,254.71924591064453
840,256.7251205444336
841,259.21729278564453
842,261.21729278564453
843,263.21729278564453
844,265.71924591064453
845,267.71924591064453
846,269.71924591064453
847,271.71924591064453
848,274.21729278564453
849,276.21729278564453
850,278.21729278564453
851,280.71924591064453
852,282.7251205444336
853,284.71924591064453
854,212.2568359375
855,214.2568359375
856,216.2568359375
857,218.2568359375
858,220.7587890625
859,222.7587890625
860,224.7587890625
861,227.2568359375
862,229.2568359375
863,231.2568359375
864,233.7587890625
865,235.7587890625
866,237.7587890625
867,239.7587890625
868,242.2568359375
869,244.2568359375
870,246.2568359375
871,248.7587890625
872,250.7587890625
873,252.7587890625
874,254.7587890625
875,257.2568359375
876,259.2568359375
877,261.2568359375
878,263.7587890625
879,265.7587890625
880,267.7587890625
881,269.7587890625
882,272.2568359375
883,274.2568359375
884,276.2568359375
885,278.7587890625
886,280.77247619628906
887,282.7587890625
888,285.2568359375
889,219.69775390625
890,221.69580078125
891,223.69580078125
892,226.19775390625
893,228.19775390625
894,230.19775390625
895,232.69580078125
896,234.69580078125
897,236.69580078125
898,238.69580078125
899,241.19775390625
900,243.19775390625
901,245.19775390625
902,247.69580078125
903,249.69580078125
904,251.69580078125
905,253.69580078125
906,256.19775390625
907,258.19775390625
908,260.19775390625
909,262.69580078125
910,264.69580078125
911,266.69580078125
912,268.69580078125
913,271.19775390625
914,273.19775390625
915,275.19775390625
916,277.69580078125
917,279.69580078125
918,281.69580078125
919,283.69580078125
920,286.19775390625
921,288.19775390625
922,290.19775390625
923,292.69580078125
924,294.69580078125
925,296.69580078125
926,298.69580078125
927,301.19775390625
928,303.19775390625
929,305.19775390625
930,307.69580078125
931,309.69580078125
932,311.69580078125
933,313.69580078125
934,316.19775390625
935,318.19775390625
936,320.19775390625
937,228.8583984375
938,230.8564453125
939,232.8564453125
940,234.8564453125
941,237.3583984375
942,239.3583984375
943,241.3583984375
944,243.8564453125
945,245.8564453125
946,247.8564453125
947,249.8564453125
948,252.3583984375
949,254.3583984375
950,256.3583984375
951,258.8564453125
952,260.8564453125
953,262.8564453125
954,264.8564453125
955,267.35841369628906
956,269.3583984375
957,271.3583984375
958,273.8564453125
959,275.8564453125
960,277.8564453125
961,279.8564453125
962,282.358642578125
963,284.3583984375
964,286.3583984375
965,288.8564453125
966,290.8564453125
967,292.8564453125
968,294.8564453125
969,297.3583984375
970,299.3583984375
971,301.3583984375
972,303.8564453125
973,305.8564453125
974,307.8564453125
975,309.8564453125
976,312.3583984375
977,314.3583984375
978,316.3583984375
979,318.8564453125
980,320.8564453125
981,322.8564453125
982,324.8564453125
983,241.4169921875
984,243.4169921875
985,245.4169921875
986,247.9150390625
987,249.9150390625
988,251.9150390625
989,253.9150390625
990,256.4169921875
991,258.4169921875
992,260.4169921875
993,262.9150390625
994,264.9150390625
995,266.9150390625
996,268.9150390625
997,271.4169921875
998,273.47755432128906
999,275.9150390625
1000,277.9150390625
1001,279.9150390625
1002,281.9150390625
1003,284.4169921875
