Total Objects,Time (ms)
1,197
2,13
3,13
4,13
5,12
6,13
7,22
8,12
9,11
10,10
11,9
12,9
13,9
14,10
15,9
16,9
17,9
18,8
19,9
20,9
21,9
22,13
23,7
24,8
25,8
26,8
27,8
28,8
29,10
30,9
31,8
32,8
33,8
34,9
35,9
36,8
37,9
38,8
39,8
40,8
41,8
42,8
43,9
44,8
45,8
46,8
47,7
48,7
49,6
50,7
51,6
52,7
53,7
54,8
55,6
56,7
57,7
58,6
59,7
60,7
61,6
62,7
63,7
64,7
65,9
66,7
67,7
68,7
69,6
70,7
71,6
72,7
73,6
74,7
75,7
76,7
77,6
78,7
79,8
80,6
81,7
82,7
83,6
84,6
85,7
86,9
87,7
88,6
89,12
90,6
91,6
92,7
93,7
94,6
95,6
96,6
97,6
98,7
99,7
100,5
101,7
102,6
103,6
104,7
105,5
106,6
107,6
108,6
109,5
110,6
111,6
112,5
113,6
114,6
115,6
116,6
117,6
118,6
119,6
120,6
121,6
122,6
123,6
124,5
125,6
126,6
127,6
128,15
129,7
130,5
131,6
132,5
133,5
134,6
135,5
136,5
137,6
138,5
139,6
140,6
141,6
142,6
143,6
144,5
145,14
146,6
147,5
148,6
149,5
150,6
151,5
152,5
153,5
154,5
155,6
156,5
157,5
158,6
159,6
160,9
161,6
162,5
163,5
164,6
165,5
166,5
167,5
168,5
169,6
170,6
171,6
172,6
173,5
174,5
175,6
176,6
177,5
178,6
179,5
180,6
181,5
182,5
183,5
184,6
185,6
186,5
187,5
188,6
189,7
190,5
191,6
192,6
193,8
194,5
195,6
196,5
197,5
198,6
199,5
200,5
201,5
202,5
203,7
204,6
205,5
206,5
207,6
208,5
209,5
210,5
211,6
212,6
213,5
214,10
215,6
216,5
217,5
218,5
219,6
220,5
221,5
222,5
223,5
224,5
225,5
226,5
227,6
228,6
229,5
230,6
231,5
232,4
233,5
234,6
235,5
236,5
237,5
238,5
239,5
240,6
241,5
242,5
243,5
244,6
245,5
246,5
247,5
248,8
249,5
250,5
251,5
252,8
253,5
254,5
255,6
256,6
257,6
258,6
259,9
260,5
261,5
262,4
263,5
264,5
265,6
266,6
267,5
268,5
269,6
270,5
271,5
272,5
273,6
274,5
275,5
276,5
277,5
278,5
279,4
280,4
281,5
282,5
283,5
284,6
285,5
286,4
287,5
288,6
289,5
290,5
291,5
292,4
293,5
294,5
295,5
296,5
297,5
298,5
299,14
300,5
301,5
302,5
303,5
304,5
305,5
306,5
307,5
308,5
309,5
310,5
311,6
312,5
313,5
314,6
315,5
316,5
317,5
318,4
319,5
320,5
321,5
322,5
323,5
324,5
325,5
326,5
327,5
328,5
329,4
330,5
331,5
332,5
333,5
334,4
335,4
336,5
337,5
338,5
339,4
340,5
341,5
342,5
343,5
344,5
345,4
346,5
347,5
348,5
349,5
350,5
351,5
352,4
353,5
354,5
355,4
356,8
357,5
358,5
359,5
360,5
361,4
362,5
363,5
364,5
365,5
366,5
367,5
368,5
369,5
370,5
371,9
372,5
373,5
374,5
375,5
376,5
377,4
378,5
379,5
380,5
381,4
382,5
383,5
384,5
385,4
386,5
387,4
388,5
389,5
390,4
391,5
392,4
393,5
394,5
395,4
396,5
397,4
398,5
399,5
400,5
401,5
402,5
403,5
404,5
405,4
406,5
407,5
408,4
409,5
410,5
411,4
412,5
413,5
414,5
415,5
416,5
417,5
418,5
419,5
420,11
421,6
422,5
423,5
424,6
425,4
426,4
427,5
428,6
429,5
430,5
431,5
432,5
433,5
434,5
435,4
436,5
437,5
438,4
439,5
440,5
441,11
442,8
443,5
444,5
445,4
446,5
447,5
448,5
449,5
450,5
451,4
452,5
453,5
454,4
455,4
456,5
457,5
458,5
459,4
460,4
461,5
462,4
463,4
464,4
465,5
466,4
467,5
468,5
469,4
470,11
471,5
472,4
473,5
474,5
475,5
476,4
477,4
478,4
479,4
480,5
481,5
482,4
483,6
484,5
485,4
486,4
487,5
488,5
489,5
490,5
491,4
492,5
493,8
494,4
495,4
496,5
497,4
498,4
499,5
500,4
501,4
502,5
503,5
504,4
505,5
506,5
507,5
508,5
509,5
510,4
511,5
512,5
513,5
514,5
515,5
516,5
517,5
518,4
519,5
520,4
521,5
522,4
523,5
524,5
525,4
526,4
527,4
528,5
529,4
530,4
531,5
532,4
533,5
534,5
535,5
536,5
537,5
538,5
539,5
540,4
541,7
542,4
543,4
544,4
545,5
546,4
547,4
548,10
549,5
550,4
551,5
552,4
553,4
554,5
555,5
556,5
557,5
558,4
559,5
560,4
561,5
562,5
563,4
564,5
565,4
566,4
567,5
568,4
569,5
570,5
571,5
572,5
573,4
574,5
575,12
576,6
577,5
578,5
579,4
580,5
581,5
582,5
583,5
584,5
585,5
586,5
587,5
588,5
589,5
590,4
591,5
592,5
593,5
594,5
595,5
596,5
597,5
598,25
599,5
600,5
601,5
602,5
603,4
604,4
605,4
606,5
607,5
608,5
609,5
610,5
611,5
612,5
613,5
614,5
615,5
616,4
617,5
618,5
619,4
620,4
621,5
622,4
623,4
624,5
625,5
626,5
627,4
628,4
629,5
630,5
631,4
632,4
633,4
634,5
635,5
636,5
637,4
638,5
639,4
640,5
641,6
642,4
643,5
644,5
645,5
646,5
647,4
648,5
649,4
650,4
651,5
652,5
653,5
654,4
655,4
656,4
657,5
658,5
659,5
660,4
661,5
662,4
663,5
664,4
665,5
666,4
667,4
668,4
669,4
670,5
671,14
672,7
673,5
674,5
675,5
676,5
677,4
678,4
679,5
680,5
681,5
682,5
683,5
684,4
685,5
686,5
687,4
688,5
689,5
690,5
691,5
692,5
693,5
694,5
695,5
696,5
697,5
698,4
699,4
700,5
701,5
702,4
703,4
704,4
705,5
706,5
707,5
708,5
709,4
710,4
711,4
712,4
713,4
714,5
715,4
716,4
717,5
718,5
719,5
720,5
721,5
722,5
723,5
724,5
725,5
726,4
727,4
728,5
729,4
730,5
731,5
732,4
733,5
734,4
735,4
736,4
737,5
738,4
739,4
740,4
741,4
742,12
743,4
744,5
745,4
746,4
747,4
748,5
749,4
750,5
751,5
752,4
753,4
754,6
755,4
756,5
757,4
758,4
759,5
760,4
761,4
762,4
763,4
764,4
765,5
766,4
767,5
768,4
769,5
770,5
771,4
772,5
773,4
774,4
775,5
776,4
777,5
778,5
779,4
780,5
781,4
782,5
783,4
784,4
785,6
786,5
787,5
788,5
789,4
790,4
791,4
792,5
793,5
794,5
795,5
796,5
797,5
798,4
799,5
800,5
801,5
802,5
803,5
804,4
805,5
806,4
807,4
808,4
809,4
810,5
811,5
812,4
813,4
814,4
815,7
816,7
817,5
818,5
819,5
820,4
821,5
822,5
823,5
824,4
825,5
826,5
827,5
828,5
829,5
830,4
831,4
832,4
833,4
834,5
835,4
836,4
837,5
838,5
839,4
840,4
841,4
842,4
843,5
844,4
845,9
846,5
847,4
848,5
849,4
850,4
851,5
852,5
853,4
854,4
855,4
856,5
857,4
858,5
859,4
860,4
861,4
862,4
863,4
864,5
865,5
866,5
867,5
868,4
869,4
870,5
871,5
872,5
873,4
874,4
875,4
876,4
877,4
878,4
879,4
880,4
881,4
882,4
883,5
884,4
885,4
886,5
887,4
888,5
889,5
890,4
891,4
892,5
893,4
894,4
895,4
896,4
897,5
898,4
899,4
900,4
901,4
902,4
903,4
904,5
905,4
906,4
907,4
908,5
909,4
910,4
911,4
912,5
913,5
914,5
915,5
916,5
917,4
918,4
919,4
920,5
921,4
922,5
923,4
924,4
925,5
926,4
927,4
928,4
929,5
930,5
931,4
932,4
933,4
934,4
935,4
936,4
937,4
938,5
939,4
940,4
941,4
942,4
943,4
944,5
945,4
946,4
947,4
948,4
949,4
950,4
951,4
952,5
953,4
954,4
955,4
956,5
957,4
958,3
959,4
960,5
961,4
962,4
963,5
964,4
965,4
966,4
967,4
968,4
969,5
970,5
971,4
972,4
973,4
974,4
975,5
976,4
977,4
978,11
979,5
980,4
981,4
982,4
983,4
984,4
985,4
986,4
987,5
988,4
989,4
990,4
991,4
992,4
993,5
994,4
995,7
996,4
997,4
998,4
999,4
1000,4
