Total Objects,Time (ms)
4,530
5,30
6,32
7,50
8,51
9,46
10,25
11,36
12,33
13,39
14,35
15,33
16,41
17,50
18,50
19,38
20,25
21,34
22,48
23,47
24,48
25,57
26,22
27,44
28,32
29,25
30,38
31,35
32,114
33,26
34,41
35,44
36,24
37,32
38,23
39,27
40,22
41,19
42,18
43,32
44,21
45,25
46,31
47,39
48,25
49,18
50,32
51,19
52,19
53,34
54,29
55,47
56,23
57,18
58,20
59,31
60,33
61,18
62,33
63,17
64,27
65,35
66,31
67,24
68,25
69,23
70,41
71,29
72,31
73,33
74,39
75,24
76,17
77,24
78,19
79,18
80,32
81,17
82,21
83,21
84,33
85,27
86,17
87,29
88,17
89,22
90,43
91,16
92,17
93,25
94,16
95,22
96,49
97,15
98,33
99,17
100,35
101,16
102,17
103,28
104,14
105,15
106,29
107,14
108,19
109,15
110,17
111,28
112,18
113,17
114,23
115,16
116,42
117,18
118,13
119,16
120,25
121,16
122,16
123,22
124,20
125,15
126,30
127,15
128,17
129,24
130,20
131,17
132,20
133,44
134,18
135,33
136,19
137,31
138,19
139,25
140,28
141,16
142,21
143,27
144,21
145,24
146,20
147,30
148,24
149,17
150,15
151,24
152,28
153,18
154,22
155,25
156,19
157,25
158,22
159,27
160,24
161,24
162,24
163,33
164,28
165,15
166,22
167,26
168,70
169,32
170,27
171,23
172,24
173,33
174,22
175,24
176,29
177,26
178,32
179,26
180,28
181,15
182,24
183,47
184,16
185,30
186,22
187,15
188,24
189,38
190,26
191,20
192,20
193,26
194,29
195,18
196,16
197,34
198,31
199,23
200,15
201,25
202,17
203,31
204,14
205,23
206,14
207,14
208,25
209,14
210,21
211,53
212,56
213,36
214,42
215,36
216,26
217,29
218,32
219,24
220,18
221,56
222,52
223,42
224,44
225,34
226,26
227,22
228,50
229,25
230,21
231,27
232,17
233,34
234,54
235,22
236,18
237,117
238,25
239,41
240,24
241,38
242,24
243,27
244,40
245,29
246,52
247,39
248,20
249,31
250,53
251,49
252,34
253,37
254,35
255,38
256,25
257,64
258,27
259,34
260,28
261,41
262,59
263,23
264,46
265,49
266,30
267,19
268,23
269,44
270,40
271,41
272,23
273,50
274,49
275,27
276,28
277,50
278,48
279,52
280,41
281,24
282,47
283,49
284,40
285,26
286,22
287,37
288,44
289,21
290,47
291,59
292,22
293,34
294,42
295,21
296,41
297,27
298,43
299,27
300,24
301,38
302,29
303,52
304,46
305,21
306,22
307,26
308,46
309,17
310,39
311,40
312,17
313,19
314,51
315,37
316,44
317,20
318,29
319,18
320,50
321,40
322,49
323,32
324,23
325,36
326,21
327,44
328,17
329,22
330,23
331,37
332,49
333,50
334,20
335,42
336,51
337,21
338,48
339,42
340,24
341,30
342,28
343,37
344,30
345,48
346,40
347,29
348,46
349,23
350,45
351,27
352,39
353,26
354,57
355,36
356,55
357,23
358,34
359,61
360,43
361,41
362,27
363,43
364,39
365,22
366,26
367,22
368,16
369,36
370,21
371,52
372,22
373,46
374,21
375,41
376,20
377,39
378,38
379,28
380,43
381,39
382,24
383,50
384,20
385,22
386,28
387,58
388,17
389,41
390,19
391,38
392,38
393,42
394,43
395,36
396,25
397,36
398,24
399,21
400,24
401,17
402,21
403,33
404,46
405,24
406,23
407,22
408,34
409,31
410,36
411,39
412,34
413,20
414,37
415,23
416,42
417,25
418,31
419,25
420,32
421,40
422,22
423,42
424,24
425,38
426,41
427,17
428,25
429,81
430,22
431,28
432,43
433,37
434,23
435,34
436,31
437,46
438,50
439,42
440,44
441,29
442,19
443,33
444,30
445,46
446,22
447,30
448,30
449,20
450,48
451,36
452,30
453,16
454,37
455,20
456,16
457,15
458,27
459,39
460,20
461,25
462,27
463,15
464,21
465,31
466,26
467,48
468,34
469,34
470,19
471,35
472,27
473,52
474,42
475,45
476,24
477,28
478,16
479,16
480,18
481,35
482,43
483,53
484,20
485,47
486,60
487,19
488,39
489,24
490,38
491,31
492,18
493,20
494,41
495,29
496,21
497,24
498,56
499,39
500,20
501,43
502,35
503,28
504,24
505,41
506,40
507,23
508,36
509,18
510,40
511,23
512,48
513,16
514,43
515,46
516,15
517,20
518,38
519,29
520,19
521,41
522,40
523,40
524,41
525,19
526,14
527,43
528,22
529,28
530,19
531,42
532,24
533,44
534,38
535,36
536,38
537,25
538,28
539,39
540,19
541,38
542,36
543,35
544,36
545,18
546,18
547,22
548,32
549,36
550,38
551,46
552,42
553,27
554,18
555,14
556,17
557,44
558,18
559,29
560,24
561,23
562,21
563,39
564,40
565,49
566,46
567,43
568,21
569,23
570,37
571,35
572,44
573,14
574,30
575,29
576,20
577,48
578,42
579,41
580,37
581,19
582,36
583,40
584,81
585,16
586,38
587,36
588,39
589,17
590,18
591,40
592,39
593,40
594,39
595,18
596,36
597,19
598,31
599,18
600,28
601,15
602,43
603,25
604,35
605,20
606,36
607,23
608,43
609,41
610,35
611,14
612,14
613,45
614,40
615,41
616,20
617,38
618,17
619,24
620,22
621,34
622,20
623,52
624,41
625,32
626,37
627,20
628,34
629,55
630,41
631,61
632,34
633,17
634,16
635,23
636,30
637,38
638,29
639,47
640,11
641,26
642,119
643,42
644,31
645,31
646,39
647,35
648,35
649,46
650,37
651,43
652,26
653,21
654,47
655,45
656,33
657,22
658,31
659,62
660,21
661,22
662,47
663,17
664,42
665,40
666,28
667,88
668,20
669,20
670,28
671,53
672,47
673,35
674,56
675,53
676,34
677,48
678,53
679,25
680,26
681,28
682,26
683,23
684,41
685,15
686,26
687,26
688,32
689,35
690,31
691,33
692,8
693,25
694,26
695,18
696,32
697,47
698,17
699,44
700,18
701,16
702,13
703,21
704,17
705,21
706,21
707,18
708,17
709,37
710,14
711,27
712,66
713,29
714,25
715,40
716,42
717,57
718,32
719,8
720,40
721,47
722,18
723,22
724,53
725,23
726,35
727,33
728,20
729,25
730,33
731,41
732,16
733,57
734,32
735,23
736,19
737,18
738,16
739,18
740,23
741,30
742,21
743,29
744,22
745,17
746,57
747,46
748,28
749,18
750,46
751,10
752,51
753,52
754,47
755,23
756,44
757,33
758,40
759,30
760,22
761,31
762,32
763,32
764,13
765,26
766,49
767,35
768,60
769,25
770,23
771,76
772,55
773,30
774,33
775,30
776,49
777,10
778,26
779,48
780,18
781,43
782,13
783,54
784,9
785,38
786,30
787,41
788,46
789,57
790,17
791,48
792,27
793,20
794,20
795,31
796,14
797,58
798,50
799,47
800,39
801,32
802,43
803,12
804,13
805,20
806,19
807,45
808,19
809,31
810,44
811,11
812,19
813,18
814,52
815,20
816,17
817,21
818,31
819,33
820,14
821,24
822,45
823,40
824,10
825,32
826,32
827,36
828,42
829,32
830,21
831,51
832,36
833,24
834,39
835,30
836,21
837,28
838,45
839,23
840,44
841,29
842,29
843,33
844,47
845,30
846,36
847,47
848,7
849,14
850,37
851,23
852,34
853,47
854,42
855,47
856,73
857,29
858,25
859,28
860,29
861,32
862,36
863,28
864,27
865,31
866,27
867,20
868,22
869,30
870,19
871,25
872,26
873,21
874,90
875,43
876,57
877,28
878,29
879,42
880,21
881,60
882,28
883,38
884,23
885,27
886,20
887,18
888,19
889,41
890,18
891,19
892,24
893,17
894,30
895,18
896,18
897,17
898,41
899,19
900,49
901,17
902,15
903,14
904,31
905,46
906,22
907,24
908,17
909,25
910,21
911,23
912,58
913,17
914,22
915,21
916,14
917,15
918,28
919,17
920,20
921,17
922,20
923,15
924,43
925,40
926,35
927,12
928,15
929,21
930,23
931,14
932,15
933,50
934,28
935,32
936,17
937,49
938,41
939,19
940,18
941,18
942,17
943,25
944,18
945,30
946,24
947,62
948,18
949,49
950,22
951,27
952,18
953,56
954,49
955,31
956,29
957,18
958,12
959,28
960,18
961,18
962,23
963,20
964,24
965,27
966,16
967,29
968,19
969,29
970,26
971,17
972,38
973,31
974,35
975,20
976,21
977,20
978,25
979,34
980,18
981,42
982,31
983,23
984,21
985,27
986,26
987,22
988,23
989,30
990,37
991,31
992,74
993,24
994,37
995,28
996,16
997,24
998,40
999,25
1000,16
1001,21
1002,26
1003,16
