Total Objects,Memory Usage (MB)
1001,296.987548828125
1002,298.6621780395508
1003,300.9875793457031
1004,302.66197204589844
1005,304.98754119873047
1006,307.3111877441406
1007,309.0012512207031
1008,311.3111877441406
1009,312.98756408691406
1010,315.3111877441406
1011,257.10948944091797
1012,259.51039123535156
1013,260.94686126708984
1014,263.5103454589844
1015,264.9466323852539
1016,267.5103988647461
1017,268.9544372558594
1018,271.51033782958984
1019,272.9468078613281
1020,275.5162048339844
1021,276.95247650146484
1022,279.51036834716797
1023,280.9466552734375
1024,283.5240173339844
1025,286.07215118408203
1026,287.5103530883789
1027,290.07215118408203
1028,291.51036071777344
1029,294.07215118408203
1030,295.51036071777344
1031,298.07215118408203
1032,300.95438385009766
1033,302.07215118408203
1034,304.94659423828125
1035,306.07215118408203
1036,308.9758758544922
1037,310.07215118408203
1038,312.9467544555664
1039,315.51033782958984
1040,316.9466094970703
1041,319.5103530883789
1042,320.9466094970703
1043,323.5105743408203
1044,324.9546127319336
1045,327.51036834716797
1046,328.94683837890625
1047,331.5162048339844
1048,332.9524917602539
1049,335.5103530883789
1050,336.94659423828125
1051,339.5240173339844
1052,342.07215118408203
1053,343.51033782958984
1054,346.07215118408203
1055,347.5108184814453
1056,350.07215118408203
1057,351.5104522705078
1058,354.07215118408203
1059,356.95438385009766
1060,358.07215118408203
1061,360.94657135009766
1062,362.07215118408203
1063,364.9758758544922
1064,366.07215118408203
1065,368.9466018676758
1066,371.51036071777344
1067,372.9466323852539
1068,375.5103759765625
1069,376.94666290283203
1070,270.52906799316406
1071,272.51953887939453
1072,274.52149200439453
1073,276.51953887939453
1074,278.5351791381836
1075,280.51953887939453
1076,282.52149200439453
1077,284.51953887939453
1078,286.5351791381836
1079,288.51953887939453
1080,290.52149200439453
1081,292.51953887939453
1082,294.5215072631836
1083,296.51953887939453
1084,298.52149200439453
1085,300.51953887939453
1086,302.52149200439453
1087,304.51953887939453
1088,306.52149200439453
1089,308.51953887939453
1090,310.52149200439453
1091,312.51953887939453
1092,314.52149200439453
1093,316.51953887939453
1094,318.52149200439453
1095,322.5273666381836
1096,324.51953887939453
1097,326.52149200439453
1098,328.51953887939453
1099,330.5273666381836
1100,332.51953887939453
1101,334.52149200439453
1102,336.51953887939453
1103,338.52149200439453
1104,340.51953887939453
1105,342.52149200439453
1106,344.51953887939453
1107,346.52149200439453
1108,348.51953887939453
1109,350.52149200439453
1110,352.51953887939453
1111,354.52149200439453
1112,356.51953887939453
1113,358.52149200439453
1114,360.51953887939453
1115,362.52149200439453
1116,364.51953887939453
1117,366.52149200439453
1118,368.51953887939453
1119,370.5351791381836
1120,372.51953887939453
1121,374.52149200439453
1122,376.51953887939453
1123,281.16790771484375
1124,285.15445709228516
1125,287.15250396728516
1126,289.15445709228516
1127,291.15250396728516
1128,293.1603317260742
1129,295.15250396728516
1130,297.15445709228516
1131,299.15250396728516
1132,301.15445709228516
1133,303.15250396728516
1134,305.15445709228516
1135,307.15250396728516
1136,309.15445709228516
1137,311.15250396728516
1138,313.15445709228516
1139,315.15250396728516
1140,317.15445709228516
1141,319.15250396728516
1142,321.15445709228516
1143,323.15250396728516
1144,325.15445709228516
1145,327.15250396728516
1146,329.15445709228516
1147,331.15250396728516
1148,333.1681442260742
1149,335.15250396728516
1150,337.15445709228516
1151,339.15250396728516
1152,341.1603317260742
1153,345.15445709228516
1154,347.15250396728516
1155,349.15445709228516
1156,351.15250396728516
1157,353.1603317260742
1158,355.15250396728516
1159,357.15445709228516
