Total Objects,Time (ms)
1,15
2,6
3,5
4,5
5,5
6,5
7,5
8,6
9,4
10,5
11,5
12,4
13,5
14,4
15,5
16,6
17,4
18,5
19,4
20,5
21,4
22,4
23,4
24,4
25,3
26,4
27,4
28,4
29,6
30,4
31,4
32,12
33,4
34,4
35,4
36,4
37,4
38,3
39,3
40,3
41,3
42,4
43,3
44,4
45,3
46,3
47,4
48,4
49,3
50,3
51,4
52,3
53,3
54,3
55,3
56,3
57,3
58,3
59,3
60,3
61,3
62,3
63,2
64,5
65,4
66,4
67,3
68,3
69,3
70,3
71,3
72,3
73,4
74,4
75,3
76,3
77,4
78,3
79,3
80,3
81,4
82,3
83,3
84,4
85,3
86,2
87,3
88,3
89,3
90,3
91,4
92,3
93,4
94,3
95,3
96,5
97,3
98,3
99,3
100,3
101,4
102,3
103,3
104,3
105,3
106,3
107,3
108,3
109,3
110,3
111,3
112,3
113,3
114,2
115,3
116,3
117,3
118,4
119,3
120,2
121,3
122,3
123,3
124,2
125,3
126,3
127,2
128,7
129,3
130,3
131,3
132,4
133,3
134,2
135,3
136,3
137,2
138,3
139,3
140,3
141,3
142,3
143,2
144,3
145,3
146,3
147,3
148,3
149,3
150,3
151,3
152,3
153,3
154,3
155,2
156,3
157,3
158,3
159,3
160,4
161,3
162,3
163,3
164,3
165,3
166,2
167,2
168,3
169,3
170,3
171,3
172,3
173,2
174,3
175,3
176,2
177,3
178,3
179,3
180,2
181,3
182,3
183,3
184,2
185,3
186,2
187,3
188,2
189,3
190,3
191,3
192,4
193,3
194,2
195,2
196,3
197,2
198,3
199,3
200,3
201,2
202,4
203,2
204,3
205,3
206,2
207,3
208,3
209,2
210,3
211,3
212,3
213,3
214,3
215,3
216,2
217,3
218,3
219,3
220,2
221,2
222,2
223,3
224,4
225,2
226,3
227,3
228,3
229,2
230,2
231,3
232,3
233,3
234,2
235,3
236,2
237,3
238,3
239,2
240,3
241,2
242,3
243,3
244,3
245,2
246,3
247,4
248,3
249,3
250,3
251,3
252,3
253,2
254,3
255,2
256,2
257,4
258,2
259,3
260,3
261,3
262,2
263,3
264,2
265,3
266,3
267,3
268,2
269,2
270,2
271,4
272,3
273,3
274,3
275,2
276,3
277,2
278,3
279,2
280,3
281,2
282,2
283,3
284,2
285,2
286,3
287,2
288,2
289,2
290,3
291,3
292,3
293,3
294,2
295,3
296,2
297,2
298,23
299,3
300,3
301,3
302,3
303,2
304,2
305,3
306,3
307,3
308,3
309,2
310,3
311,3
312,3
313,2
314,3
315,2
316,3
317,7
318,2
319,2
320,3
321,2
322,3
323,2
324,2
325,3
326,3
327,3
328,3
329,2
330,2
331,2
332,3
333,3
334,3
335,3
336,3
337,3
338,2
339,2
340,3
341,2
342,2
343,3
344,3
345,3
346,3
347,3
348,2
349,2
350,2
351,3
352,2
353,2
354,3
355,5
356,3
357,2
358,2
359,2
360,2
361,2
362,3
363,2
364,3
365,2
366,2
367,2
368,2
369,3
370,2
371,3
372,3
373,3
374,2
375,4
376,3
377,3
378,3
379,2
380,3
381,2
382,2
383,2
384,2
385,3
386,2
387,2
388,3
389,3
390,3
391,3
392,3
393,3
394,3
395,2
396,2
397,3
398,2
399,2
400,2
401,3
402,2
403,3
404,2
405,2
406,2
407,3
408,3
409,2
410,3
411,2
412,2
413,3
414,3
415,3
416,3
417,3
418,2
419,3
420,4
421,3
422,2
423,3
424,3
425,2
426,3
427,2
428,2
429,2
430,3
431,2
432,2
433,3
434,2
435,2
436,3
437,3
438,2
439,3
440,3
441,3
442,3
443,2
444,2
445,3
446,3
447,2
448,2
449,2
450,2
451,3
452,3
453,3
454,2
455,3
456,3
457,2
458,2
459,3
460,2
461,2
462,2
463,3
464,2
465,2
466,2
467,2
468,2
469,2
470,3
471,2
472,2
473,2
474,2
475,2
476,3
477,2
478,2
479,3
480,2
481,3
482,2
483,2
484,3
485,3
486,2
487,1
488,2
489,3
490,3
491,2
492,7
493,3
494,2
495,2
496,2
497,3
498,2
499,2
500,2
501,2
502,3
503,3
504,3
505,2
506,4
507,3
508,3
509,2
510,3
511,2
512,2
513,3
514,2
515,3
516,1
517,2
518,2
519,2
520,2
521,2
522,3
523,2
524,2
525,2
526,3
527,3
528,3
529,3
530,2
531,3
532,3
533,4
534,3
535,2
536,2
537,3
538,3
539,2
540,2
541,3
542,2
543,2
544,4
545,2
546,2
547,2
548,2
549,2
550,2
551,3
552,2
553,2
554,3
555,3
556,2
557,2
558,3
559,2
560,3
561,2
562,2
563,3
564,2
565,3
566,3
567,2
568,2
569,1
570,2
571,2
572,3
573,2
574,2
575,3
576,3
577,3
578,3
579,2
580,2
581,2
582,3
583,2
584,2
585,2
586,3
587,2
588,2
589,2
590,3
591,2
592,3
593,2
594,2
595,2
596,2
597,3
598,2
599,2
600,2
601,3
602,2
603,3
604,1
605,3
606,3
607,2
608,2
609,2
610,2
611,2
612,3
613,2
614,3
615,2
616,2
617,2
618,1
619,2
620,3
621,3
622,2
623,3
624,2
625,3
626,2
627,3
628,2
629,2
630,3
631,2
632,2
633,3
634,2
635,2
636,2
637,3
638,2
639,3
640,3
641,2
642,2
643,2
644,3
645,3
646,2
647,2
648,2
649,2
650,3
651,2
652,3
653,2
654,2
655,2
656,2
657,3
658,2
659,2
660,2
661,2
662,2
663,2
664,2
665,3
666,2
667,3
668,2
669,2
670,3
671,3
672,2
673,2
674,2
675,3
676,2
677,2
678,2
679,3
680,3
681,2
682,3
683,2
684,2
685,2
686,3
687,3
688,2
689,3
690,3
691,3
692,2
693,2
694,3
695,3
696,3
697,3
698,3
699,2
700,2
701,3
702,2
703,3
704,3
705,3
706,3
707,2
708,3
709,2
710,3
711,2
712,3
713,3
714,2
715,2
716,3
717,3
718,2
719,3
720,3
721,3
722,3
723,2
724,2
725,2
726,3
727,3
728,2
729,2
730,3
731,3
732,2
733,3
734,2
735,2
736,2
737,2
738,2
739,3
740,3
741,3
742,3
743,2
744,3
745,3
746,3
747,2
748,2
749,3
750,1
751,3
752,3
753,2
754,1
755,3
756,3
757,3
758,2
759,3
760,2
761,3
762,2
763,2
764,2
765,3
766,2
767,3
768,3
769,2
770,2
771,2
772,2
773,3
774,3
775,2
776,2
777,2
778,3
779,2
780,2
781,2
782,2
783,3
784,3
785,2
786,3
787,3
788,2
789,2
790,3
791,2
792,2
793,2
794,2
795,2
796,3
797,2
798,3
799,2
800,2
801,3
802,2
803,3
804,2
805,2
806,2
807,3
808,2
809,3
810,2
811,3
812,2
813,3
814,3
815,3
816,3
817,2
818,2
819,2
820,2
821,3
822,2
823,3
824,3
825,2
826,2
827,2
828,2
829,2
830,3
831,3
832,2
833,2
834,2
835,2
836,2
837,3
838,3
839,3
840,2
841,2
842,3
843,2
844,2
845,3
846,3
847,2
848,2
849,2
850,3
851,2
852,3
853,2
854,3
855,3
856,3
857,2
858,3
859,2
860,2
861,3
862,3
863,3
864,3
865,3
866,2
867,3
868,3
869,5
870,3
871,2
872,2
873,3
874,3
875,3
876,2
877,2
878,2
879,2
880,2
881,3
882,3
883,3
884,2
885,2
886,2
887,4
888,3
889,2
890,2
891,2
892,3
893,2
894,3
895,3
896,3
897,2
898,2
899,2
900,3
901,3
902,2
903,3
904,3
905,3
906,3
907,3
908,3
909,3
910,3
911,2
912,2
913,3
914,2
915,3
916,3
917,3
918,3
919,2
920,2
921,3
922,2
923,3
924,2
925,2
926,2
927,2
928,3
929,2
930,3
931,3
932,2
933,3
934,3
935,2
936,2
937,2
938,3
939,3
940,2
941,3
942,3
943,2
944,2
945,3
946,2
947,2
948,2
949,2
950,3
951,2
952,5
953,1
954,2
955,2
956,2
957,2
958,3
959,2
960,2
961,2
962,3
963,2
964,3
965,2
966,3
967,3
968,2
969,2
970,2
971,3
972,3
973,2
974,2
975,2
976,2
977,2
978,3
979,3
980,3
981,2
982,2
983,3
984,2
985,1
986,2
987,3
988,2
989,2
990,3
991,3
992,2
993,3
994,3
995,2
996,2
997,2
998,3
999,2
1000,2
1001,3
1002,2
1003,2
1004,3
1005,2
1006,2
1007,3
1008,3
1009,2
1010,2
1011,1
1012,3
1013,3
1014,2
1015,3
1016,2
1017,2
1018,2
1019,3
1020,3
1021,2
