Total Objects,Time (ms)
4,29
5,9
6,8
7,9
8,10
9,9
10,19
11,17
12,18
13,24
14,15
15,12
16,10
17,9
18,7
19,9
20,11
21,7
22,8
23,8
24,7
25,7
26,6
27,6
28,10
29,22
30,10
31,7
32,14
33,8
34,7
35,7
36,6
37,7
38,9
39,12
40,5
41,7
42,5
43,5
44,11
45,11
46,5
47,6
48,5
49,6
50,5
51,11
52,7
53,5
54,6
55,9
56,5
57,6
58,9
59,5
60,5
61,7
62,7
63,5
64,7
65,7
66,6
67,7
68,10
69,11
70,12
71,12
72,9
73,7
74,6
75,6
76,9
77,5
78,5
79,5
80,5
81,7
82,13
83,5
84,6
85,5
86,5
87,5
88,7
89,4
90,5
91,7
92,5
93,4
94,11
95,5
96,4
97,5
98,5
99,4
100,5
101,5
102,4
103,5
104,8
105,4
106,4
107,6
108,5
109,9
110,10
111,5
112,4
113,4
114,5
115,7
116,8
117,5
118,9
119,5
120,5
121,7
122,6
123,5
124,5
125,4
126,4
127,9
128,6
129,5
130,5
131,23
132,4
133,5
134,6
135,6
136,5
137,5
138,9
139,4
140,8
141,5
142,12
143,12
144,4
145,7
146,9
147,5
148,4
149,7
150,4
151,5
152,7
153,5
154,7
155,4
156,8
157,5
158,6
159,7
160,7
161,7
162,8
163,7
164,4
165,7
166,6
167,4
168,12
169,7
170,8
171,6
172,7
173,8
174,10
175,9
176,7
177,9
178,9
179,7
180,5
181,4
182,8
183,4
184,4
185,5
186,5
187,5
188,8
189,6
190,7
191,8
192,10
193,5
194,5
195,5
196,8
197,7
198,5
199,6
200,4
201,4
202,4
203,4
204,8
205,4
206,5
207,4
208,5
209,6
210,18
211,12
212,15
213,14
214,10
215,8
216,6
217,7
218,7
219,8
220,12
221,5
222,6
223,9
224,10
225,5
226,6
227,8
228,6
229,7
230,14
231,7
232,7
233,15
234,5
235,8
236,13
237,5
238,11
239,7
240,8
241,8
242,13
243,7
244,7
245,7
246,8
247,7
248,10
249,10
250,12
251,8
252,6
253,6
254,8
255,14
256,10
257,10
258,11
259,8
260,14
261,4
262,7
263,5
264,4
265,4
266,5
267,10
268,9
269,11
270,10
271,6
272,12
273,12
274,5
275,13
276,6
277,14
278,12
279,12
280,8
281,11
282,6
283,13
284,12
285,5
286,8
287,12
288,6
289,12
290,13
291,10
292,6
293,13
294,6
295,6
296,7
297,5
298,8
299,9
300,6
301,9
302,5
303,8
304,5
305,13
306,6
307,12
308,5
309,14
310,9
311,5
312,6
313,6
314,7
315,7
316,7
317,9
318,6
319,12
320,9
321,6
322,11
323,6
324,8
325,11
326,11
327,5
328,12
329,10
330,12
331,10
332,9
333,10
334,12
335,10
336,10
337,11
338,13
339,13
340,8
341,5
342,5
343,7
344,9
345,12
346,11
347,13
348,10
349,6
350,13
351,7
352,5
353,11
354,4
355,11
356,7
357,6
358,7
359,8
360,15
361,7
362,12
363,11
364,7
365,7
366,8
367,6
368,7
369,10
370,6
371,8
372,5
373,13
374,13
375,8
376,6
377,9
378,12
379,7
380,11
381,13
382,6
383,7
384,8
385,6
386,7
387,6
388,7
389,9
390,5
391,13
392,5
393,11
394,7
395,12
396,6
397,6
398,6
399,10
400,6
401,7
402,5
403,4
404,5
405,5
406,9
407,5
408,6
409,6
410,18
411,12
412,10
413,5
414,15
415,15
416,8
417,5
418,14
419,6
420,12
421,7
422,6
423,7
424,5
425,13
426,6
427,6
428,5
429,8
430,9
431,5
432,4
433,4
434,5
435,6
436,5
437,5
438,5
439,5
440,5
441,12
442,6
443,6
444,7
445,9
446,6
447,6
448,5
449,9
450,6
451,5
452,4
453,10
454,4
455,11
456,5
457,6
458,13
459,10
460,6
461,8
462,5
463,11
464,4
465,5
466,8
467,12
468,6
469,7
470,6
471,6
472,7
473,5
474,4
475,8
476,5
477,10
478,5
479,8
480,11
481,11
482,11
483,6
484,10
485,9
486,5
487,11
488,9
489,5
490,5
491,6
492,7
493,5
494,8
495,8
496,4
497,9
498,4
499,6
500,5
501,12
502,10
503,6
504,10
505,10
506,5
507,13
508,7
509,11
510,6
511,12
512,5
513,6
514,12
515,12
516,8
517,10
518,9
519,11
520,9
521,11
522,6
523,9
524,9
525,7
526,52
527,11
528,4
529,5
530,11
531,7
532,8
533,12
534,11
535,10
536,11
537,7
538,12
539,5
540,9
541,13
542,11
543,10
544,10
545,5
546,12
547,5
548,11
549,8
550,5
551,7
552,5
553,9
554,5
555,7
556,8
557,6
558,8
559,5
560,4
561,8
562,12
563,11
564,7
565,10
566,10
567,6
568,52
569,5
570,12
571,11
572,6
573,7
574,4
575,4
576,8
577,9
578,11
579,11
580,9
581,9
582,9
583,10
584,4
585,7
586,10
587,10
588,12
589,4
590,11
591,8
592,9
593,10
594,5
595,8
596,9
597,11
598,10
599,10
600,4
601,4
602,5
603,5
604,15
605,5
606,4
607,9
608,6
609,11
610,5
611,4
612,10
613,6
614,5
615,8
616,9
617,5
618,8
619,25
620,9
621,12
622,11
623,11
624,5
625,8
626,4
627,8
628,4
629,8
630,4
631,5
632,12
633,7
634,10
635,7
636,15
637,6
638,8
639,8
640,7
641,10
642,10
643,7
644,8
645,8
646,8
647,13
648,7
649,10
650,8
651,8
652,7
653,7
654,9
655,10
656,0
657,11
