Total Objects,Memory Usage (MB)
4,47.193359375
5,50.69140625
6,21.501953125
7,24.0
8,26.501953125
9,28.501953125
10,31.0
11,33.501953125
12,36.0
13,38.0
14,40.501953125
15,43.001953125
16,45.0
17,47.501953125
18,50.0
19,52.501953125
20,54.501953125
21,57.0
22,59.0
23,61.501953125
24,63.501953125
25,66.0
26,68.501953125
27,70.501953125
28,73.0
29,75.501953125
30,77.501953125
31,80.0
32,30.29443359375
33,32.79638671875
34,34.796630859375
35,38.29443359375
36,40.79638671875
37,42.79638671875
38,45.29443359375
39,47.29443359375
40,49.79638671875
41,51.79638671875
42,54.29443359375
43,56.29443359375
44,58.79638671875
45,60.79638671875
46,63.29443359375
47,65.29443359375
48,67.79638671875
49,69.79638671875
50,72.29443359375
51,74.29443359375
52,76.79638671875
53,78.79638671875
54,81.29443359375
55,35.79638671875
56,37.79638671875
57,40.29443359375
58,42.29443359375
59,44.79638671875
60,46.79638671875
61,48.79638671875
62,51.29443359375
63,53.29443359375
64,55.79638671875
65,57.79638671875
66,60.29443359375
67,62.29443359375
68,64.79638671875
69,66.79638671875
70,69.29443359375
71,71.29443359375
72,73.79638671875
73,75.79638671875
74,77.81007385253906
75,38.0
76,40.501953125
77,42.501953125
78,45.0
79,47.0
80,49.0
81,51.501953125
82,53.502197265625
83,56.0
84,58.0
85,60.0
86,62.501953125
87,64.501953125
88,67.0
89,69.0
90,71.0
91,73.501953125
92,75.501953125
93,78.0
94,80.0
95,82.0
96,43.501953125
97,45.51564025878906
98,48.0
99,50.0
100,52.501953125
101,54.501953125
102,57.0
103,59.0
104,61.0
105,63.501953125
106,65.501953125
107,67.50782775878906
108,70.0
109,72.0
110,74.501953125
111,76.501953125
112,78.501953125
113,81.0
114,83.0
115,85.501953125
116,48.44775390625
117,50.44775390625
118,52.94580078125
119,54.94580078125
120,57.44775390625
121,59.45362854003906
122,61.44775390625
123,63.94580078125
124,65.94580078125
125,67.94580078125
126,70.44775390625
127,72.44775390625
128,74.94580078125
129,76.94580078125
130,78.94580078125
131,81.44775390625
132,83.44775390625
133,85.94580078125
134,87.94580078125
135,52.9375
136,55.439453125
137,57.439453125
138,59.9375
139,61.9375
140,63.9375
141,66.439453125
142,68.439453125
143,70.439453125
144,72.9375
145,74.9375
146,76.9375
147,79.439453125
148,81.439453125
149,83.9375
150,85.9375
151,87.9375
152,56.501953125
153,58.501953125
154,60.51564025878906
155,63.0
156,65.0
157,67.501953125
158,69.501953125
159,71.501953125
160,74.0
161,76.0
162,78.0
163,80.50196838378906
164,82.501953125
165,84.501953125
166,87.0
167,89.0
168,60.3076171875
169,62.31349182128906
170,64.3076171875
171,66.8056640625
172,68.8056640625
173,70.8056640625
174,73.3076171875
175,75.3076171875
176,77.3076171875
177,79.8056640625
178,81.8056640625
179,84.3076171875
180,86.3076171875
181,88.3076171875
182,90.8056640625
183,63.375
184,65.375
185,67.876953125
186,69.876953125
187,71.89064025878906
188,74.375
189,76.375
190,78.876953125
191,80.876953125
192,82.876953125
193,85.375
194,87.375
195,89.375
196,63.47576141357422
197,65.46949768066406
198,67.48318481445312
199,69.96754455566406
200,71.96754455566406
201,73.96754455566406
202,76.46949768066406
203,78.46949768066406
204,80.96754455566406
205,82.96754455566406
206,84.96754455566406
207,87.46949768066406
