Total Objects,Time (ms)
4,45
5,46
6,32
7,34
8,33
9,35
10,31
11,36
12,38
13,34
14,34
15,27
16,29
17,28
18,30
19,39
20,23
21,22
22,31
23,30
24,27
25,27
26,23
27,28
28,43
29,42
30,37
31,24
32,34
33,24
34,27
35,29
36,21
37,25
38,39
39,32
40,21
41,33
42,17
43,18
44,27
45,18
46,26
47,23
48,35
49,18
50,19
51,29
52,18
53,19
54,36
55,18
56,17
57,34
58,16
59,19
60,31
61,18
62,20
63,33
64,24
65,21
66,21
67,41
68,22
69,29
70,32
71,28
72,26
73,23
74,24
75,73
76,18
77,18
78,34
79,17
80,23
81,38
82,20
83,17
84,26
85,27
86,16
87,30
88,31
89,15
90,18
91,30
92,16
93,17
94,29
95,20
96,30
97,17
98,28
99,17
100,24
101,27
102,14
103,22
104,26
105,15
106,18
107,19
108,16
109,22
110,19
111,15
112,27
113,14
114,28
115,27
116,23
117,15
118,24
119,14
120,20
121,27
122,15
123,19
124,28
125,16
126,20
127,31
128,17
129,17
130,33
131,20
132,15
133,24
134,19
135,24
136,17
137,35
138,18
139,26
140,17
141,28
142,41
143,34
144,22
145,29
146,16
147,18
148,25
149,27
150,16
151,18
152,28
153,14
154,31
155,21
156,35
157,30
158,21
159,17
160,26
161,17
162,21
163,30
164,19
165,23
166,21
167,26
168,30
169,24
170,25
171,25
172,16
173,27
174,33
175,27
176,32
177,31
178,30
179,27
180,33
181,15
182,26
183,30
184,15
185,32
186,31
187,14
188,29
189,25
190,25
191,31
192,19
193,23
194,22
195,29
196,26
197,19
198,27
199,23
200,15
201,28
202,20
203,17
204,13
205,14
206,22
207,14
208,26
209,16
210,180
211,70
212,47
213,36
214,49
215,50
216,57
217,37
218,38
219,40
220,36
221,45
222,40
223,55
224,28
225,21
226,34
227,17
228,53
229,68
230,41
231,32
232,18
233,25
234,59
235,36
236,42
237,46
238,43
239,49
240,26
241,38
242,36
243,24
244,22
245,26
246,30
247,46
248,41
249,32
250,23
251,139
252,31
253,29
254,47
255,27
256,20
257,39
258,41
259,51
260,50
261,23
262,35
263,31
264,25
265,23
266,29
267,31
268,40
269,41
270,48
271,47
272,31
273,45
274,39
275,35
276,32
277,24
278,51
279,29
280,46
281,99
282,23
283,45
284,47
285,48
286,24
287,39
288,55
289,28
290,45
291,38
292,21
293,43
294,58
295,27
296,57
297,52
298,40
299,24
300,22
301,53
302,19
303,29
304,54
305,28
306,38
307,33
308,51
309,19
310,39
311,33
312,58
313,21
314,23
315,21
316,50
317,23
318,53
319,37
320,42
321,17
322,46
323,59
324,51
325,47
326,31
327,33
328,21
329,21
330,21
331,20
332,19
333,48
334,25
335,48
336,42
337,46
338,43
339,23
340,24
341,19
342,39
343,22
344,33
345,28
346,31
347,53
348,42
349,21
350,80
351,19
352,24
353,57
354,19
355,49
356,44
357,20
358,35
359,25
360,30
361,48
362,48
363,39
364,55
365,26
366,48
367,33
368,16
369,35
370,15
371,41
372,25
373,39
374,35
375,25
376,22
377,35
378,28
379,24
380,40
381,37
382,23
383,48
384,27
385,18
386,24
387,39
388,15
389,54
390,20
391,41
392,20
393,44
394,18
395,22
396,16
397,22
398,60
399,26
400,32
401,18
402,20
403,29
404,22
405,35
406,28
407,16
408,21
409,35
410,56
411,22
412,26
413,16
414,42
415,27
416,30
417,16
418,46
419,18
420,31
421,20
422,21
423,34
424,20
425,39
426,37
427,16
428,16
429,22
430,22
431,17
432,27
433,25
434,45
435,24
436,32
437,21
438,22
439,27
440,21
441,43
442,21
443,22
444,18
445,44
446,21
447,24
448,37
449,20
450,19
451,16
452,21
453,39
454,48
455,37
456,37
457,15
458,29
459,42
460,19
461,25
462,47
463,15
464,19
465,34
466,33
467,36
468,27
469,38
470,19
471,44
472,22
473,24
474,27
475,37
476,23
477,88
478,15
479,42
480,19
481,40
482,45
483,29
484,25
485,46
486,39
487,23
488,28
489,22
490,26
491,30
492,22
493,18
494,25
495,52
496,17
497,44
498,19
499,41
500,18
501,40
502,44
503,24
504,52
505,38
506,31
507,19
508,40
509,30
510,40
511,30
512,24
513,17
514,38
515,51
516,31
517,21
518,45
519,42
520,39
521,44
522,43
523,50
524,40
525,48
526,47
527,40
528,19
529,21
530,48
531,36
532,26
533,35
534,23
535,30
536,51
537,37
538,30
539,37
540,21
541,43
542,25
543,24
544,53
545,25
546,38
547,18
548,38
549,17
550,19
551,19
552,34
553,96
554,14
555,37
556,15
557,33
558,17
559,24
560,26
561,31
562,25
563,20
564,26
565,44
566,43
567,44
568,27
569,20
570,27
571,28
572,39
573,14
574,17
575,23
576,24
577,51
578,36
579,26
580,42
581,38
582,40
583,43
584,42
585,18
586,39
587,20
588,45
589,16
590,43
591,42
592,41
593,45
594,38
595,26
596,42
597,30
598,43
599,43
600,26
601,16
602,37
603,19
604,35
605,25
606,24
607,29
608,23
609,41
610,86
611,14
612,23
613,42
614,44
615,45
616,29
617,42
618,19
619,28
620,47
621,21
622,23
623,39
624,22
625,28
626,18
627,53
628,31
629,45
630,51
631,25
632,39
633,20
634,21
635,31
636,22
637,48
638,29
639,32
640,86
641,44
642,63
643,47
644,30
645,45
646,44
647,49
648,38
649,42
650,49
651,31
652,32
653,26
654,19
655,36
656,46
657,27
658,33
659,46
660,66
661,32
662,61
663,34
664,38
665,54
666,28
667,17
668,57
669,19
670,33
671,38
672,68
673,39
674,23
675,36
676,28
677,27
678,30
679,23
680,38
681,41
682,15
683,29
684,25
685,28
686,18
687,40
688,32
689,38
690,31
691,30
692,10
693,27
694,16
695,25
696,36
697,45
698,34
699,17
700,34
701,12
702,23
703,30
704,65
705,32
706,47
707,53
708,36
709,22
710,20
711,29
712,34
713,38
714,16
715,37
716,21
717,33
718,32
719,38
720,45
721,28
722,17
723,16
724,33
725,46
726,21
727,48
728,24
729,17
730,30
731,32
732,24
733,30
734,33
735,18
736,18
737,32
738,9
739,82
740,26
741,29
742,63
743,43
744,30
745,13
746,20
747,50
748,15
749,35
750,57
751,29
752,55
753,16
754,42
755,64
756,24
757,50
758,59
759,32
760,31
761,51
762,45
763,17
764,14
765,31
766,36
767,16
768,21
769,30
770,23
771,15
772,52
773,19
774,32
775,33
776,18
777,26
778,54
779,19
780,29
781,36
782,31
783,27
784,17
785,33
786,39
787,46
788,48
789,48
790,32
791,45
792,53
793,34
794,22
795,31
796,28
797,24
798,43
799,34
800,57
801,47
802,48
803,31
