Total Objects,Time (ms)
1,17
2,15
3,15
4,15
5,14
6,13
7,14
8,14
9,12
10,12
11,15
12,11
13,13
14,11
15,9
16,14
17,9
18,10
19,10
20,10
21,10
22,11
23,10
24,10
25,9
26,25
27,10
28,11
29,10
30,9
31,9
32,11
33,9
34,11
35,9
36,11
37,9
38,9
39,10
40,9
41,9
42,9
43,12
44,8
45,9
46,8
47,9
48,9
49,8
50,8
51,9
52,8
53,8
54,9
55,7
56,8
57,8
58,8
59,8
60,8
61,7
62,8
63,8
64,10
65,9
66,8
67,8
68,9
69,8
70,8
71,8
72,8
73,8
74,8
75,8
76,9
77,8
78,8
79,8
80,8
81,9
82,8
83,9
84,9
85,8
86,8
87,9
88,8
89,8
90,8
91,8
92,8
93,8
94,7
95,8
96,8
97,8
98,8
99,7
100,8
101,8
102,8
103,7
104,8
105,7
106,7
107,10
108,7
109,16
110,8
111,7
112,7
113,8
114,7
115,7
116,7
117,7
118,7
119,8
120,7
121,8
122,7
123,7
124,7
125,7
126,7
127,7
128,9
129,8
130,8
131,7
132,7
133,7
134,7
135,7
136,7
137,7
138,7
139,7
140,7
141,7
142,7
143,6
144,7
145,8
146,6
147,6
148,7
149,7
150,8
151,7
152,7
153,7
154,8
155,7
156,6
157,7
158,7
159,7
160,14
161,7
162,6
163,7
164,7
165,6
166,6
167,7
168,7
169,7
170,7
171,8
172,14
173,6
174,6
175,7
176,7
177,6
178,7
179,7
180,6
181,7
182,6
183,6
184,7
185,7
186,7
187,7
188,6
189,11
190,8
191,7
192,8
193,7
194,6
195,6
196,7
197,6
198,6
199,7
200,6
201,6
202,13
203,6
204,8
205,6
206,6
207,7
208,7
209,6
210,6
211,8
212,7
213,7
214,7
215,8
216,6
217,6
218,6
219,6
220,6
221,6
222,7
223,7
224,6
225,6
226,7
227,6
228,7
229,6
230,7
231,7
232,15
233,7
234,5
235,6
236,6
237,7
238,6
239,6
240,7
241,6
242,6
243,7
244,6
245,6
246,7
247,6
248,7
